,Assists,GP,Goals,Name,Points,Year
0,,,,Vyacheslav Bykov,,1992
1,,,,Andrei Khomutov,,1992
2,,,,Petr Malkov,,1992
3,,,,Roberto Lavoie,,1992
4,,,,Yuri Leonov,,1992
5,,,,Gilles Thibaudeau,,1992
6,,,,Chad Silver,,1992
7,,,,Peter Jaks,,1992
8,,,,Manuele Celio,,1992
9,,,,Ales Polcar,,1992
10,,,,Misko Antisin,,1992
11,,,,Anton Stastny,,1992
12,,,,Sergei Priakhin,,1992
13,,,,Ken Yaremchuk,,1992
14,,,,Christian Weber,,1992
15,,,,Keith Fair,,1992
16,,,,Anders Eldebrink,,1992
17,,,,Alan Haworth,,1992
18,,,,Ramil Yuldashev,,1992
19,,,,Sergio Soguel,,1992
20,,,,Samuel Balmer,,1992
