,Assists,GP,Goals,Name,Points,Year
0,,,,Norman Dupont,,1988
1,,,,Jean-Francois Sauve,,1988
2,,,,Kent Johansson,,1988
3,,,,Ross Yates,,1988
4,,,,Merlin Malinowski,,1988
5,,,,Lance Nethery,,1988
6,,,,Peter Jaks,,1988
7,,,,Paul Geddes,,1988
8,,,,Manuele Celio,,1988
9,,,,Felix Hollenstein,,1988
10,,,,Dale McCourt,,1988
11,,,,Kelly Glowa,,1988
12,,,,Bob Mongrain,,1988
