,Assists,GP,Goals,Name,Points,Year
0,,,,Norman Dupont,,1990
1,,,,"Don ""Red"" Laurence",,1990
2,,,,Alan Haworth,,1990
3,,,,Don McLaren,,1990
4,,,,Colin Muller,,1990
5,,,,Laurent Stehlin,,1990
6,,,,Peter Jaks,,1990
7,,,,John Fritsche,,1990
8,,,,Anton Stastny,,1990
9,,,,Adrian Hotz,,1990
10,,,,Felix Hollenstein,,1990
11,,,,Thomas Vrabec,,1990
12,,,,Andy Ton,,1990
13,,,,Dale McCourt,,1990
14,,,,Patrice Lefebvre,,1990
15,,,,Kent Nilsson,,1990
16,,,,Ross Yates,,1990
17,,,,Paul Boutilier,,1990
18,,,,Gaston Gingras,,1990
19,,,,Peter Schlagenhauf,,1990
20,,,,Dan Hodgson,,1990
21,,,,Willy Kohler,,1990
22,,,,Keith Fair,,1990
