,Assists,GP,Goals,Name,Points,Year
0,,,,Jean-Francois Sauve,,1987
1,,,,Kent Johansson,,1987
2,,,,Ross Yates,,1987
3,,,,Kirk Bowman,,1987
4,,,,Norman Dupont,,1987
5,,,,Kelly Glowa,,1987
6,,,,Peter Jaks,,1987
7,,,,Adrian Hotz,,1987
8,,,,Gil Montandon,,1987
