,Assists,GP,Goals,Name,Points,Year
0,,,,Randy Robitaille,,2010
1,,,,Josh Holden,,2010
2,,,,Hnat Domenichelli,,2010
3,,,,Damien Brunner,,2010
4,,,,Tony Salmelainen,,2010
