,Assists,GP,Goals,Name,Points,Year
0,,,,Guido Lindemann,,1982
1,,,,Ron Wilson,,1982
2,,,,Bruno Wittwer,,1982
3,,,,Claude Noel,,1982
4,,,,Bryan Lefley,,1982
5,,,,Reto Dekumbis,,1982
6,,,,Steve Metzger,,1982
7,,,,Pietro Cunti,,1982
8,,,,Peter Schranz,,1982
9,,,,Dave Gardner,,1982
