,Assists,GP,Goals,Name,Points,Year
0,,,,Juraj Kolnik,,2009
1,,,,Kimmo Rintanen,,2009
2,,,,Patrick Thoresen,,2009
3,,,,Stacy Roest,,2009
4,,,,Byron Ritchie,,2009
5,,,,Petteri Nummelin,,2009
6,,,,Martin Kariya,,2009
