,Assists,GP,Goals,Name,Points,Year
0,,,,Kelly Kisio,,1983
1,,,,Guido Lindemann,,1983
2,,,,Ron Wilson,,1983
3,,,,Daniel Poulin,,1983
4,,,,Dave Gardner,,1983
5,,,,Guy Charron,,1983
6,,,,Reto Dekumbis,,1983
7,,,,Pietro Cunti,,1983
8,,,,Bernard Bauer,,1983
9,,,,Rick Tschumi,,1983
