,Amateur Team,GP,Name,Overall Pick,Year
0,Granby (QMJHL),1294,Pierre Turgeon,1,1987
1,London (OHL),1524,Brendan Shanahan,2,1987
2,Portland (WHL),1457,Glen Wesley,3,1987
3,Medicine Hat (WHL),211,Wayne McBean,4,1987
4,Seattle (WHL),510,Chris Joseph,5,1987
5,Portland (WHL),323,Dave Archibald,6,1987
6,Peterborough (OHL),1417,Luke Richardson,7,1987
7,Chicoutimi (QMJHL),106,Jimmy Waite,8,1987
8,Kingston (OHL),156,Bryan Fogarty,9,1987
9,New Westminster (WCHL),406,Jay More,10,1987
10,Longueuil (QMJHL),508,Yves Racine,11,1987
11,North Bay (OHL),16,Keith Osborne,12,1987
12,Medicine Hat (WHL),241,Dean Chynoweth,13,1987
13,Granby (QMJHL),1037,Stephane Quintal,14,1987
14,Swift Current (WHL),1378,Joe Sakic,15,1987
15,Belleville (OHL),926,Bryan Marchment,16,1987
16,Ottawa (OHL),1015,Andrew Cassels,17,1987
17,Peterborough (OHL),831,Jody Hull,18,1987
18,Michigan (CCHA),193,Darren Rumble,19,1987
19,Kitchener (OHL),82,Brad Miller,20,1987
20,Swift Current (WHL),229,Ricard Persson,21,1987
21,Regina (WHL),125,Rob Murphy,22,1987
22,Ostersund (Sweden),848,Stephane Matteau,23,1987
23,Laval (QMJHL),286,Rick Tabaracci,24,1987
24,Hull (QMJHL),329,Mark Fitzpatrick,25,1987
25,Cornwall (OHL),350,Daniel Marois,26,1987
26,Medicine Hat (WHL),151,Ryan McGill,27,1987
27,Chicoutimi (QMJHL),15,Jeff Harding,28,1987
28,Swift Current (WHL),188,Daniel Lacroix,29,1987
29,St. Michael's Jr. B (OJHL),23,Gord Kruppke,30,1987
30,Granby (QMJHL),967,John LeClair,31,1987
31,Prince Albert (WHL),500,Jeff Hackett,32,1987
32,Bellows (High-VT),1143,Eric Desjardins,33,1987
33,Oshawa (OHL),737,Adam Burt,34,1987
34,Medicine Hat (WHL),18,Bob Wilkie,35,1987
35,Ottawa (OHL),320,Brad Werenka,36,1987
36,Brynas Gavle (Sweden),1289,Mathieu Schneider,37,1987
37,Granby (QMJHL),81,Jamie Leach,38,1987
38,North Bay (OHL),139,Kevin Kaminski,39,1987
39,Kitchener (OHL),351,John McIntyre,40,1987
40,Swift Current (WHL),396,Cam Russell,41,1987
41,Northern Michigan (WCHA),22,Kevin Miehm,42,1987
42,Peterborough (OHL),120,Steve Maltais,43,1987
43,Cornwall (OHL),236,Robert Nordmark,44,1987
44,Trois-Rivieres (QMJHL),55,Martin Hostak,45,1987
45,Laval (QMJHL),462,Geoff Smith,46,1987
46,Hamilton (OHL),20,Peter Eriksson,47,1987
47,Saskatoon (WHL),2,Brian Sullivan,48,1987
48,Guelph (OHL),709,Mike Sullivan,49,1987
49,Hull (QMJHL),738,Joe Sacco,50,1987
50,London (OHL),449,Kip Miller,51,1987
51,Portland (WHL),4,George Maneluk,52,1987
52,Peterborough (OHL),11,Matt DelGuidice,53,1987
53,Ottawa (OHL),1,Tyler Larter,54,1987
54,Spokane (WHL),403,Terry Yake,55,1987
55,Sudbury (OHL),6,Andy Rymsha,56,1987
56,Cornwall (OHL),331,Kevin Dean,57,1987
57,Shawinigan (QMJHL),783,Mike Eastwood,58,1987
58,Lulea (Sweden),12,Ken Gernander,59,1987
59,Peterborough (OHL),796,Ted Donato,60,1987
60,Oshawa (OHL),794,Shaun Van Allen,61,1987
61,Sparta Praha (Czech),43,Ben Hankinson,62,1987
62,St. Albert (AJHL),777,Garry Valk,63,1987
63,HV 71 Jonkoping (Sweden),911,Shawn McEachern,64,1987
64,Springfield Jr. B,309,Damian Rhodes,65,1987
65,Hibbing (High-MN),368,Garth Snow,66,1987
66,New Westminster (WCHL),22,Rob Robinson,67,1987
67,JyP HT Jyvaskyla (Finland),894,Rob DiMaio,68,1987
68,Boston University (H-East),3,Matt Glennon,69,1987
69,Pickering Jr. B,6,Les Kuntar,70,1987
70,Medford (High-MA),28,Kyosti Karjalainen,71,1987
71,Michigan State (CCHA),1,Stephen Tepper,72,1987
72,Choate Academy (High-CT),5,Peter Ciavaglia,73,1987
73,Saskatoon (WHL),2,Tomas Srsen,74,1987
74,North Bay (OHL),728,Jim Dowd,75,1987
75,Brandon (WHL),491,Guy Hebert,76,1987
76,St. Anselm College (ECAC-E),33,Chris Winnes,77,1987
77,Sault Ste. Marie (OHL),9,Markku Kyllonen,78,1987
78,Denver (WCHA),1084,Theoren Fleury,79,1987
79,Greenway (High-MN),39,Jarmo Myllys,80,1987
80,Brandon (WHL),13,Jaroslav Sevcik,81,1987
81,Western Michigan (CCHA),72,Joe Day,82,1987
82,Djurgarden (Sweden),93,Mark Osiecki,83,1987
83,New Hampton School (High-NH),65,Ian Herbers,84,1987
84,Belmont Hill (High-MA),3,David Littman,85,1987
85,Culver Military Academy (High-IN),182,Ed Ronan,86,1987
86,Hill Murray (High-MN),16,Neil Eisenhut,87,1987
87,Jokerit Helsinki (KHL),18,Mikael Lindholm,88,1987
88,Hamilton (OHL),46,Magnus Svensson,89,1987
89,Duluth-Denfield (High-MN),4,Igor Vyazmikin,90,1987
90,Pembroke (CCHL),,,91,1987
91,MoDo Ornskoldsvik (Sweden),,,92,1987
92,Wisconsin (WCHA),,,93,1987
93,Yale (ECAC),,,94,1987
94,Pardubice (Czech),,,95,1987
95,Greenway (High-MN),,,96,1987
96,Dukla Jihlava (Czech-2),,,97,1987
97,Catholic Memorial (High-MA),,,98,1987
98,Moose Jaw (WHL),,,99,1987
99,Duluth East (High-MN),,,100,1987
