,Amateur Team,GP,Name,Overall Pick,Year
0,ZPS Zlin (Czech),1395,Roman Hamrlik,1,1992
1,Dynamo Moscow (Russia),850,Alexei Yashin,2,1992
2,Medicine Hat (WHL),768,Mike Rathje,3,1992
3,Windsor (OHL),453,Todd Warriner,4,1992
4,Dynamo Moscow (Russia),863,Darius Kasparaitis,5,1992
5,Windsor (OHL),1025,Cory Stillman,6,1992
6,Nichols (High-NY),72,Brandon Convery,7,1992
7,Sudbury (OHL),208,Robert Petrovicky,8,1992
8,Dukla Trencin (Slovakia),571,Andrei Nazarov,9,1992
9,Dynamo Moscow (Russia),30,David Cooper,10,1992
10,Medicine Hat (WHL),450,Sergei Krivokrasov,11,1992
11,CSKA Moscow (Russia),55,Joe Hulbig,12,1992
12,St. Sebastian's (High-MA),1301,Sergei Gonchar,13,1992
13,Traktor Chelyabinsk (KHL),77,Jason Bowen,14,1992
14,Tri-City (WHL),112,Dmitri Kvartalnov,15,1992
15,San Diego IHL (IHL),132,Sergei Bautin,16,1992
16,Dynamo Moscow (Russia),1008,Jason Smith,17,1992
17,Regina (WHL),954,Martin Straka,18,1992
18,Skoda Plzen (Czech),167,David Wilkie,19,1992
19,Kamloops (WHL),700,Grant Marshall,20,1992
20,TJ Vitkovice (Czech),92,Peter Ferraro,21,1992
21,Ottawa (OHL),3,Chad Penney,22,1992
22,Ottawa (OHL),164,Drew Bannister,23,1992
23,Waterloo (USHL),716,Boris Mironov,24,1992
24,North Bay (OHL),26,Paul Brousseau,25,1992
25,Sault Ste. Marie (OHL),38,Tuomas Gronman,26,1992
26,CSKA Moscow (Russia),62,Chris O'Sullivan,27,1992
27,Hull (QMJHL),172,Jim Carey,28,1992
28,Tacoma (WHL),621,Valeri Bure,29,1992
29,Catholic Memorial (High-MA),13,Jarkko Varvio,30,1992
30,Lada Togliatti (KHL),1,Jozef Cierny,31,1992
31,Catholic Memorial (High-MA),642,Jeff Shantz,32,1992
32,Spokane (WHL),795,Igor Korolev,33,1992
33,HPK Hameenlinna (Finland),1,Justin Hocking,34,1992
34,ZTK Zvolen (Slovakia),864,Michael Peca,35,1992
35,Regina (WHL),1,Sergei Klimovich,36,1992
36,Freiburg (Germany),765,Sergei Brylin,37,1992
37,Dynamo Moscow (Russia),11,Mike Fountain,38,1992
38,Spokane (WHL),758,Darren McCarty,39,1992
39,Ottawa (OHL),628,Andrei Nikolishin,40,1992
40,Dynamo Moscow (Russia),903,Mattias Norstrom,41,1992
41,CSKA Moscow (Russia),13,Brent Gretzky,42,1992
42,Moose Jaw (WHL),279,Patrick Traverse,43,1992
43,Kingston (OHL),325,Manny Fernandez,44,1992
44,Oshawa (OHL),54,Stefan Ustorf,45,1992
45,Bellevile,58,Mathias Johansson,46,1992
46,Dynamo Moscow (Russia),588,Sergei Zholtok,47,1992
47,AIK Solna (Sweden),15,Jarrett Deuling,48,1992
48,Belleville (OHL),126,Jan Vopat,49,1992
49,Shawinigan (QMJHL),207,Jeremy Stevenson,50,1992
50,Khimik Voskresensk (Russia-2),92,Vitali Karamnov,51,1992
51,Laval (QMJHL),83,Vitali Prokhorov,52,1992
52,ESV Kaufbeuren (German-2),1072,Kirk Maltby,53,1992
53,Farjestad (Sweden),619,Cale Hulse,54,1992
54,Riga (Latvia-Jr.),923,Craig Rivet,55,1992
55,Kamloops (WHL),7,Sylvain Cloutier,56,1992
56,Chemopetrol Litvinov (Russia),30,Martin Gendron,57,1992
57,Guelph (OHL),457,Eric Cairns,58,1992
58,Skoda Plzen (Czech),11,Radek Hamr,59,1992
59,Cornwall (OHL),360,Aaron Gavey,60,1992
60,Shawinigan (QMJHL),24,Jan Caloun,61,1992
61,Dynamo Moscow (Russia),162,Nikolai Borschevsky,62,1992
62,North Bay (OHL),655,Robert Svehla,63,1992
63,Spartak Moscow (KHL),58,Kevin Smyth,64,1992
64,Owen Sound (OHL),9,Dean Melanson,65,1992
65,Portland (WHL),9,Jason McBain,66,1992
66,Moose Jaw (WHL),834,Matthew Barnaby,67,1992
67,Kingston (OHL),29,Mark Visheau,68,1992
68,St. Sebastian's (High-MA),74,Chris Ferraro,69,1992
69,Guelph (OHL),64,Kevin Brown,70,1992
70,St. Hyacinthe (QMJHL),875,Jere Lehtinen,71,1992
71,Detroit (OHL),4,Marc Lamothe,72,1992
72,Sparta Praha (Czech),22,Ralph Intranuovo,73,1992
73,Sault Ste. Marie (OHL),154,Brantt Myhres,74,1992
74,Chemopetrol Litvinov (Russia),2,Daniel Guerard,75,1992
75,Beauport (QMJHL),632,Marcus Ragnarsson,76,1992
76,Spartak Moscow (KHL),155,Sami Helenius,77,1992
77,Dukla Trencin (Slovakia),263,Yuri Khmylev,78,1992
78,Moose Jaw (WHL),23,Joaquin Gage,79,1992
79,St. Hyacinthe (QMJHL),12,Brian Loney,80,1992
80,Portland (WHL),32,Jeff Shevalier,81,1992
81,Drummondville (QMJHL),19,Scott Bailey,82,1992
82,Beauport (QMJHL),3,Philippe DeRouville,83,1992
83,London (OHL),1108,Adrian Aucoin,84,1992
84,Waterloo (USHL),267,Michal Sykora,85,1992
85,Prince Albert (WHL),2,Paxton Schulte,86,1992
86,Belleville (OHL),477,Derek Armstrong,87,1992
87,Kiekko-Espoo (Finland),364,Joel Bouchard,88,1992
88,Saskatoon (WHL),73,Jiri Dopita,89,1992
89,Krylja Sovetov (Russia),560,Rem Murray,90,1992
90,Tri-City (WHL),54,Grigori Panteleev,91,1992
91,Kingston (OHL),85,Dan Trebil,92,1992
92,Peterborough (OHL),4,Jason MacDonald,93,1992
93,GPD Midgets,22,Derek Wilkinson,94,1992
94,Saskatoon (WHL),4,Patrik Augusta,95,1992
95,Sault Ste. Marie (OHL),248,Ken Belanger,96,1992
96,Lethbridge (WHL),1083,Ian Laperriere,97,1992
97,Victoriaville (QMJHL),15,Mike Prokopec,98,1992
98,Djurgarden (Sweden),4,Geordie Kinnear,99,1992
99,St. Paul (USHL),7,Christian Proulx,100,1992
100,Lukko Rauma (Finland),310,Ryan VandenBussche,101,1992
101,Jokerit Helsinki (KHL),3,Ryan Mulhern,102,1992
102,Dizelist Penza,7,Jason Widmer,103,1992
103,Skoda Plzen (Czech),133,Juha Lind,104,1992
104,Spokane (WHL),991,Stephane Yelle,105,1992
105,Kingston (MJHL),93,Steve Passmore,106,1992
106,Jokerit Helsinki (KHL),15,Todd Simon,107,1992
107,Krylja Sovetov (Russia),799,Nikolai Khabibulin,108,1992
108,Portland (WHL),79,Marko Tuomainen,109,1992
109,Ohio State (CCHA),419,Mattias Timander,110,1992
110,North Bay (OHL),236,Jeff Toms,111,1992
111,Spokane (WHL),12,Brian Bonin,112,1992
112,Michigan (CCHA),674,Anson Carter,113,1992
113,Peterborough (OHL),545,Jonas Hoglund,114,1992
114,Verdun (QMJHL),169,Chris Herperger,115,1992
115,Springfield Jr. B,155,Steven Halko,116,1992
116,Boston University (H-East),43,Mark Wotton,117,1992
117,Reading (High-MA),634,Dan McGillis,118,1992
118,Tacoma (WHL),33,Vladimir Vorobiev,119,1992
119,CSKA Moscow (Russia),49,Tomas Jelinek,120,1992
120,Michigan (CCHA),11,Victor Ignatjev,121,1992
121,Verdun (QMJHL),260,Nathan Dempsey,122,1992
122,Tacoma (WHL),16,Andrei Vasilyev,123,1992
123,Spokane (WHL),2,Denis Chervyakov,124,1992
124,Nacka (Sweden),3,Ryan Bach,125,1992
125,Dynamo Moscow (Russia),,,126,1992
126,Dynamo Moscow (Russia),,,127,1992
127,Sudbury (OHL),,,128,1992
128,Verdun (QMJHL),,,129,1992
129,Ottawa (OHL),,,130,1992
130,North Bay (OHL),,,131,1992
131,Sokol Kiev (Russia),,,132,1992
132,DS Olomouc (Czech-2),,,133,1992
133,Springfield Jr. B,,,134,1992
134,Michigan State (CCHA),,,135,1992
135,Riga (Latvia-Jr.),,,136,1992
136,Ottawa (OHL),,,137,1992
137,Bloomington-Jefferson (High-MN),,,138,1992
138,Traktor Chelyabinsk (KHL),,,139,1992
139,Zetor Brno (Czech),,,140,1992
140,St. Thomas Jr. B (GOJHL),,,141,1992
141,Owen Sound (OHL),,,142,1992
142,Sault Ste. Marie (OHL),,,143,1992
143,Ottawa (CCHL),,,144,1992
144,Detroit (OHL),,,145,1992
145,DS Olomouc (Czech-2),,,146,1992
146,Trois-Rivieres (QMJHL),,,147,1992
147,Hull (QMJHL),,,148,1992
148,Dukla Jihlava (Czech-2),,,149,1992
149,ZPS Zlin (Czech),,,150,1992
150,Culver Military Academy (High-IN),,,151,1992
151,Dynamo-2 Moscow (Russia),,,152,1992
152,Ottawa (OHL),,,153,1992
153,Thunder Bay (USHL),,,154,1992
154,CSKA Moscow (Russia),,,155,1992
155,Torpedo Ust-Kamenogorsk (Russia-2),,,156,1992
156,Windsor (OHL),,,157,1992
157,Drummondville (QMJHL),,,158,1992
158,Tri-City (WHL),,,159,1992
159,Lethbridge (WHL),,,160,1992
160,Cornwall (OHL),,,161,1992
161,Peterborough (OHL),,,162,1992
162,Chemopetrol Litvinov (Russia),,,163,1992
163,St. Jean (QMJHL),,,164,1992
164,Oshawa (OHL),,,165,1992
165,Niagara Falls (OHL),,,166,1992
166,Sault Ste. Marie (OHL),,,167,1992
167,Miami (Ohio) (CCHA),,,168,1992
168,Canterbury (High-CT),,,169,1992
169,Niagara Falls (OHL),,,170,1992
170,Brandon (WHL),,,171,1992
171,Spokane (WHL),,,172,1992
172,Cornwall (OHL),,,173,1992
173,Canterbury (High-CT),,,174,1992
174,Hull (QMJHL),,,175,1992
175,Lethbridge (WHL),,,176,1992
176,Spartak Moscow (KHL),,,177,1992
177,Jokerit Helsinki Jr. (Finland-Jr.),,,178,1992
178,Tri-City (WHL),,,179,1992
179,Spartak Moscow (KHL),,,180,1992
180,Sherwook Park (AJHL),,,181,1992
