,Amateur Team,GP,Name,Overall Pick,Year
0,Sarnia (OHL),344,Nail Yakupov,1,2012
1,Everett (WHL),247,Ryan Murray,2,2012
2,Sarnia (OHL),397,Alex Galchenyuk,3,2012
3,Edmonton (WHL),37,Griffin Reinhart,4,2012
4,Moose Jaw (WHL),370,Morgan Rielly,5,2012
5,Rogle Jr. (Sweden-Jr.),353,Hampus Lindholm,6,2012
6,Red Deer (WHL),290,Mathew Dumba,7,2012
7,Portland (WHL),118,Derrick Pouliot,8,2012
8,USA U-18 (USHL),321,Jacob Trouba,9,2012
9,Peterborough (OHL),72,Slater Koekkoek,10,2012
10,Leksand (Sweden-2),311,Filip Forsberg,11,2012
11,Quebec (QMJHL),217,Mikhail Grigorenko,12,2012
12,Kitchener (OHL),186,Radek Faksa,13,2012
13,Dubuque (USHL),334,Zemgus Girgensons,14,2012
14,Ottawa (OHL),345,Cody Ceci,15,2012
15,Plymouth (OHL),371,Tom Wilson,16,2012
16,Slavia (Czech),309,Tomas Hertl,17,2012
17,Jokerit (Finland),258,Teuvo Teravainen,18,2012
18,Ufa 2 (Russia-Jr.),141,Andrey Vasilevskiy,19,2012
19,Oshawa (OHL),171,Scott Laughton,20,2012
20,Stanstead College (High-QC),55,Mark Jankowski,21,2012
21,London (OHL),283,Olli Maatta,22,2012
22,Dubuque (USHL),142,Michael Matheson,23,2012
23,Belleville (OHL),18,Malcolm Subban,24,2012
24,Green Bay (USHL),14,Jordan Schmaltz,25,2012
25,Belleville (OHL),111,Brendan Gaunce,26,2012
26,Edmonton (WHL),3,Henrik Samuelsson,27,2012
27,USA U-18 (USHL),150,Brady Skjei,28,2012
28,USA U-18 (USHL),64,Stefan Matteau,29,2012
29,Barrie (OHL),288,Tanner Pearson,30,2012
30,Brynas Jr. (Sweden-Jr.),4,Oscar Dansk,31,2012
31,Edmonton (WHL),3,Mitchell Moroz,32,2012
32,Frolunda (Sweden),52,Sebastian Collberg,33,2012
33,Karpat (Finland),106,Ville Pokka,34,2012
34,Guelph (OHL),1,Matt Finn,35,2012
35,USA U-18 (USHL),215,Nicolas Kerdiles,36,2012
36,Djurgarden (Sweden),7,Pontus Aberg,37,2012
37,Michigan (CCHA),139,Phillip Di Giuseppe,38,2012
38,Saskatoon (WHL),52,Lukas Sutter,39,2012
39,Brampton (OHL),169,Dylan Blujus,40,2012
40,Plymouth (OHL),265,Mitchell Heard,41,2012
41,USA U-18 (USHL),227,Patrick Sieloff,42,2012
42,MODO Jr. (Sweden-Jr.),29,Ludwig Bystrom,43,2012
43,Wisconsin (WCHA),262,Jake McCabe,44,2012
44,Corpus Christi (NAHL),147,Anthony Stolarz,45,2012
45,Baie-Comeau (QMJHL),57,Raphael Bussieres,46,2012
46,Guelph (OHL),74,Brock McGinn,47,2012
47,Rouyn-Noranda (QMJHL),112,Dillon Fournier,48,2012
48,Halifax (QMJHL),140,Martin Frk,49,2012
49,Kelowna (WHL),8,Colton Sissons,50,2012
50,Saskatoon (WHL),3,Dalton Thrower,51,2012
51,Shattuck-St. Mary's (High-MN),139,Teddy Blueger,52,2012
52,Exeter (High-NH),5,Brian Hart,53,2012
53,Prince Albert (WHL),3,Mike Winther,54,2012
54,London (OHL),62,Chris Tierney,55,2012
55,St. John's Prep (High-MA),200,Sam Kurker,56,2012
56,Rimouski (QMJHL),59,Alexandre Mallet,57,2012
57,Vancouver (WCHL),103,Jordan Martinook,58,2012
58,Kent School (High-CT),44,Cristoval Nieves,59,2012
59,Kelowna (WHL),223,Damon Severson,60,2012
60,Whitby (OJHL),244,Devin Shore,61,2012
61,Jokerit Jr. (Finland-Jr.),50,Joonas Korpisalo,62,2012
62,Prince George (BCHL),57,Jujhar Khaira,63,2012
63,Kamloops (WHL),156,Tim Bozon,64,2012
64,Erie (OHL),3,Adam Pelech,65,2012
65,South Shore (EJHL),25,Jimmy Vesey,66,2012
66,Brother Rice High (High-MI),222,Mackenzie MacEachern,67,2012
67,Shattuck-St. Mary's (High-MN),52,John Draeger,68,2012
