,Amateur Team,GP,Name,Overall Pick,Year
0,Long Beach (IHL),455,Patrik Stefan,1,1999
1,MoDo Ornskoldsvik (Sweden),1286,Daniel Sedin,2,1999
2,MoDo Ornskoldsvik (Sweden),1310,Henrik Sedin,3,1999
3,Calgary (WHL),78,Pavel Brendl,4,1999
4,Erie (OHL),697,Tim Connolly,5,1999
5,Barrie (OHL),4,Brian Finley,6,1999
6,Calgary (WHL),198,Kris Beech,7,1999
7,Sudbury (OHL),859,Taylor Pyatt,8,1999
8,Moose Jaw (WHL),295,Jamie Lundmark,9,1999
9,Belleville (OHL),240,Branislav Mezei,10,1999
10,Seattle (WHL),325,Oleg Saprykin,11,1999
11,Barrie (OHL),76,Denis Shvidki,12,1999
12,Jokerit Helsinki (KHL),66,Jani Rita,13,1999
13,Michigan (CCHA),140,Jeff Jillson,14,1999
14,Seattle (WHL),449,David Tanabe,15,1999
15,Wisconsin (WCHA),876,Barret Jackman,16,1999
16,Regina (WHL),144,Konstantin Koltsov,17,1999
17,Cherepovets (KHL),35,Kirill Safronov,18,1999
18,St. Petersburg (KHL),10,Barrett Heisten,19,1999
19,U. of Maine (H-East),605,Nick Boynton,20,1999
20,Ottawa (OHL),12,Maxime Ouellet,21,1999
21,Quebec (QMJHL),302,Steve McCarthy,22,1999
22,Kootenay (WHL),3,Mikhail Kuleshov,23,1999
23,Ambri-Piotta (Swiss),790,Martin Havlat,24,1999
24,Cherepovets (KHL),26,Kristian Kudroc,25,1999
25,Trinec (Czech),38,Michal Sivek,26,1999
26,JYP HT Jyvaskyla Jr. (Finland-Jr.),1,Luke Sellars,27,1999
27,Michalovce (Slovakia-2),8,Charlie Stephens,28,1999
28,Poldi Kladno (Czech),83,Michael Ryan,29,1999
29,Ottawa (OHL),9,Jonas Andersson,30,1999
30,Guelph (OHL),3,Ross Lupaschuk,31,1999
31,Bos. College High (High-MA),50,Milan Bartovic,32,1999
32,AIK Solna Jr. (Sweden-2),211,Alexei Semenov,33,1999
33,Prince Albert (WHL),76,Nolan Yonkman,34,1999
34,Dukla Trencin Jr. (Slovak-Jr.),237,Alex Auld,35,1999
35,Sudbury (OHL),70,Tony Salmelainen,36,1999
36,Kelowna (WHL),484,Mike Commodore,37,1999
37,Boston University (H-East),695,Jordan Leopold,38,1999
38,CSKA Moscow (Russia),18,Martin Grenier,39,1999
39,North Bay (OHL),125,Sheldon Keefe,40,1999
40,HIFK Helsinki (Finland),1,Simon Lajeunesse,41,1999
41,North Dakota (WCHA),2,Brett Lysak,42,1999
42,Cherepovets (KHL),62,Matt Murley,43,1999
43,Minnesota (WCHA),682,Adam Hall,44,1999
44,Quebec (QMJHL),1,Brad Ralph,45,1999
45,Cherepovets (KHL),140,Andrew Hutchinson,46,1999
46,Barrie (OHL),190,Doug Janik,47,1999
47,Moncton (QMJHL),237,Jeremy Van Hoof,48,1999
48,Regina (WHL),197,Matt Carkner,49,1999
49,Kingston (OHL),6,Peter Reynolds,50,1999
50,RPI (ECAC),9,Mike Zigomanis,51,1999
51,Michigan State (CCHA),2,Jan Lasak,52,1999
52,Oshawa (OHL),25,Dan Jancevski,53,1999
53,Michigan State (CCHA),770,Evgeny Konstantinov,54,1999
54,U. of Maine (H-East),9,Zdenek Blatny,55,1999
55,Ottawa (OHL),523,Niklas Hagman,56,1999
56,Ottawa (OHL),552,Jason Jaspers,57,1999
57,Peterborough (OHL),182,Brett Scheffelmaier,58,1999
58,Notre Dame (CCHA),1,Frantisek Kaberle,59,1999
59,London (OHL),628,Craig Anderson,60,1999
60,Barrie (OHL),1,Mattias Weinhandl,61,1999
61,Jokerit Helsinki Jr. (Finland-Jr.),28,Adam Hauser,62,1999
62,Cherepovets (KHL),95,Niclas Havelid,63,1999
63,Kingston (OHL),111,Brad Fast,64,1999
64,Zvolen (Slovakia),75,Peter Smrek,65,1999
65,London (OHL),589,Sebastien Caron,66,1999
66,Ak Bars Kazan 2 (Russia-2),393,Jimmie Olvestad,67,1999
67,Seattle (WHL),833,Kyle Wanvig,68,1999
68,Bratislava Jr.,173,Mike Comrie,69,1999
69,HIFK Helsinki (Finland),10,Branko Radivojevic,70,1999
70,Sudbury (OHL),240,Chris Kelly,71,1999
71,North Bay (OHL),317,Mathias Tjarnqvist,72,1999
72,Seattle (WHL),647,Rob Zepp,73,1999
73,Ohio State (CCHA),23,Juraj Kolnik,74,1999
74,Medicine Hat (WHL),589,Brian McGrattan,75,1999
75,MoDo Ornskoldsvik (Sweden),38,Ryan Malone,76,1999
76,Guelph (OHL),9,Kaspars Astashenko,77,1999
77,Troja (Sweden-3),732,Derek MacKenzie,78,1999
78,Brynas Gavle (Sweden),22,Justin Mapletoft,79,1999
79,Shawinigan (QMJHL),158,Roman Tvrdon,80,1999
80,Minnesota (WCHA),11,Garrett Bembridge,81,1999
81,Winchendon (High-MA),3,Ryan Miller,82,1999
82,Malmo (Sweden),57,Jordan Krestanovich,83,1999
83,Prince George (WHL),110,Niko Dimitrakos,84,1999
84,Des Moines (USHL),1,Timo Helbling,85,1999
85,Rimouski (QMJHL),2,Bjorn Melin,86,1999
86,St. John's (High-MA),32,Martin Prusek,87,1999
87,Djurgarden (Sweden),18,Michael Leighton,88,1999
88,Kootenay (WHL),92,Matt Underhill,89,1999
89,Boston University (H-East),881,Damian Surma,90,1999
90,Michigan (CCHA),630,Kent McDonell,91,1999
91,Belleville (OHL),1,Fedor Fedorov,92,1999
92,Belleville (OHL),1,Riku Hahl,93,1999
93,London (OHL),1062,Martin Erat,94,1999
94,Barrie (OHL),1053,Tom Kostopoulos,95,1999
95,Rogle Angelholm (Sweden),48,Vaclav Pletka,96,1999
96,Boston University (H-East),4,Layne Ulmer,97,1999
97,Seattle (WHL),408,Henrik Zetterberg,98,1999
98,Plymouth (OHL),3,Radim Vrbata,99,1999
99,Ilves Tampere Jr. (Finland-Jr.),474,Alexandre Giroux,100,1999
100,Rimouski (QMJHL),486,Jeff MacMillan,101,1999
101,HV 71 Jonkoping (Sweden),177,Garnet Exelby,102,1999
102,Kingston (OHL),348,Colin Hemingway,103,1999
103,Sudbury (OHL),3,George Parros,104,1999
104,CSKA Moscow (Russia),3,Radek Martinek,105,1999
105,Lada Togliatti 2 (Russia-3),199,Petr Tenkrat,106,1999
106,Prince Albert (WHL),518,Alexander Khavanov,107,1999
107,Moncton (QMJHL),63,Goran Bezina,108,1999
108,Calgary (WHL),264,Pierre Hedin,109,1999
109,Ottawa (OHL),23,Jeff Finger,110,1999
110,Northeastern (H-East),21,Douglas Murray,111,1999
111,Huddinge (Sweden),42,Tommi Santala,112,1999
112,Bowling Green (CCHA),,Mikko Eloranta,113,1999
113,Kamloops (WHL),,Darren Haydar,114,1999
114,Omaha (USHL),,Noah Clarke,115,1999
115,Hull (QMJHL),,Hannes Hyvonen,116,1999
116,Regina (WHL),,,117,1999
117,Lukko Rauma (Finland),,,118,1999
118,Calgary (WHL),,,119,1999
119,Vastra Frolunda Jr. (Sweden-Jr.),,,120,1999
120,Lada Togliatti (KHL),,,121,1999
121,Kosice Jr. (Slovak-Jr.),,,122,1999
122,Peterborough (OHL),,,123,1999
123,CSK VVS Samara (Russia-3),,,124,1999
124,MoDo Ornskoldsvik Jr. (Sweden-Jr.),,,125,1999
125,Brampton (OHL),,,126,1999
126,Cincinnati (IHL),,,127,1999
127,Sudbury (OHL),,,128,1999
128,Spokane (WHL),,,129,1999
129,Red Deer (WHL),,,130,1999
130,Kamloops (WHL),,,131,1999
131,Dukla Trencin Jr. (Slovak-Jr.),,,132,1999
132,Victoriaville (QMJHL),,,133,1999
133,Belleville (OHL),,,134,1999
134,Wisconsin (WCHA),,,135,1999
135,Sarnia (OHL),,,136,1999
136,Saskatoon (WHL),,,137,1999
137,Soo Indians (NAHL),,,138,1999
138,Val d'Or (QMJHL),,,139,1999
139,Greenway (High-MN),,,140,1999
140,Spartak Moscow (KHL),,,141,1999
141,Lake Superior State (CCHA),,,142,1999
142,Deerfield Academy (High-MA),,,143,1999
143,Zvolen Jr. (Slovak-Jr.),,,144,1999
144,Victoriaville (QMJHL),,,145,1999
145,Calgary (WHL),,,146,1999
146,Ottawa (OHL),,,147,1999
147,Slavia Praha Jr. (Czech-Jr.),,,148,1999
148,Krylja Sovetov (Russia),,,149,1999
149,Des Moines (USHL),,,150,1999
