,Amateur Team,GP,Name,Overall Pick,Year
0,Victoriaville (QMJHL),616,Alexandre Daigle,1,1993
1,Peterborough (OHL),1167,Chris Pronger,2,1993
2,Kingston (OHL),1092,Chris Gratton,3,1993
3,U. of Maine (H-East),989,Paul Kariya,4,1993
4,Medicine Hat (WHL),1153,Rob Niedermayer,5,1993
5,Dynamo Moscow (Russia),897,Viktor Kozlov,6,1993
6,Oshawa (OHL),1244,Jason Arnott,7,1993
7,MoDo Ornskoldsvik (Sweden),750,Niklas Sundstrom,8,1993
8,Detroit (OHL),671,Todd Harvey,9,1993
9,Sherbrooke (QMJHL),586,Jocelyn Thibault,10,1993
10,Seattle (WHL),890,Brendan Witt,11,1993
11,Rogle Angelholm (Sweden),686,Kenny Jonsson,12,1993
12,Prince Albert (WHL),435,Denis Pederson,13,1993
13,Portland (WHL),567,Adam Deadmarsh,14,1993
14,Skelleftea (Sweden),387,Mats Lindgren,15,1993
15,London (OHL),2,Nick Stajduhar,16,1993
16,London (OHL),552,Jason Allison,17,1993
17,Malmo (Sweden),375,Landon Wilson,18,1993
18,Dubuque (USHL),336,Mike Wilson,19,1993
19,Sudbury (OHL),1124,Saku Koivu,20,1993
20,TPS Turku (Finland),572,Anders Eriksson,21,1993
21,MoDo Ornskoldsvik (Sweden),1159,Todd Bertuzzi,22,1993
22,Guelph (OHL),540,Kevyn Adams,23,1993
23,Hull (QMJHL),7,Stefan Bergkvist,24,1993
24,Miami (Ohio) (CCHA),122,Radim Bicanek,25,1993
25,Leksand (Sweden),951,Shean Donovan,26,1993
26,Dukla Jihlava (Czech-2),30,Tyler Moss,27,1993
27,Ottawa (OHL),22,Nikolai Tsulygin,28,1993
28,Kingston (OHL),20,Scott Langkow,29,1993
29,Salavat Yulayev Ufa (KHL),899,Jay Pandolfo,30,1993
30,Portland (WHL),543,David Vyborny,31,1993
31,Boston University (H-East),3,Lee Sorochan,32,1993
32,Sparta Praha (Czech),1109,Jamie Langenbrunner,33,1993
33,Lethbridge (WHL),741,Janne Niinimaa,34,1993
34,Cloquet (High-MN),3,Maxim Bets,35,1993
35,Karpat Oulu (Finland),51,Denis Tsygurov,36,1993
36,Spokane (WHL),934,Brendan Morrison,37,1993
37,Lada Togliatti (KHL),1135,Bryan McCabe,38,1993
38,Penticton (BCHL),348,Kevin Weekes,39,1993
39,Spokane (WHL),3,Shayne Toporowski,40,1993
40,Owen Sound (OHL),372,Jamie Allison,41,1993
41,Prince Albert (WHL),105,Vlastimil Kroupa,42,1993
42,Kristall Elektrostal (Russia),287,Rory Fitzpatrick,43,1993
43,Detroit (OHL),37,Eric Manlow,44,1993
44,Chemopetrol Litvinov (Russia),86,Domenic Pittis,45,1993
45,Swift Current (WHL),17,Allan Egeland,46,1993
46,Sudbury (OHL),76,Valeri Karpov,47,1993
47,Andover (High-MA),7,Chris Armstrong,48,1993
48,Swift Current (WHL),382,Ville Peltonen,49,1993
49,Kitchener (OHL),5,Alexander Kerch,50,1993
50,Springfield Olympics,122,Maxim Galanov,51,1993
51,Lethbridge (WHL),171,Dave Roche,52,1993
52,Victoriaville (QMJHL),454,Jamie Rivers,53,1993
53,Kiev (Russia),410,Krzysztof Oliwa,54,1993
54,Tacoma (WHL),62,Vladimir Chebaturkin,55,1993
55,Traktor Chelyabinsk (KHL),7,Jeff Mitchell,56,1993
56,Moose Jaw (WHL),48,Patrick Boileau,57,1993
57,HIFK Helsinki (Finland),1108,Vinny Prospal,58,1993
58,Detroit (OHL),691,Marek Malik,59,1993
59,Pardaugava Riga (KHL),251,Sebastien Bordeleau,60,1993
