,Amateur Team,GP,Name,Overall Pick,Year
0,Regina (WHL),556,Doug Wickenheiser,1,1980
1,Portland (WHL),1195,Dave Babych,2,1980
2,Montreal (QMJHL),1196,Denis Savard,3,1980
3,Peterborough (OHL),1615,Larry Murphy,4,1980
4,Regina (WHL),511,Darren Veitch,5,1980
5,Kitchener (OHL),1409,Paul Coffey,6,1980
6,Oshawa (OHL),569,Rick Lanz,7,1980
7,Cornwall (OHL),80,Fred Arthur,8,1980
8,Brantford (OHL),727,Mike Bullard,9,1980
9,Ottawa (OHL),578,Jim Fox,10,1980
10,Regina (WHL),343,Mike Blaisdell,11,1980
11,Kingston (OHL),251,Rik Wilson,12,1980
12,Montreal (QMJHL),193,Denis Cyr,13,1980
13,Chatham (GOJHL),214,Jerome Dupont,14,1980
14,Toronto (OHL),168,Brad Palmer,15,1980
15,Victoria (WHL),1111,Brent Sutter,16,1980
16,Red Deer (AJHL),701,Barry Pederson,17,1980
17,Victoria (WHL),390,Paul Gagne,18,1980
18,Windsor (OHL),250,Steve Patrick,19,1980
19,Brandon (WHL),30,Mike Stothers,20,1980
20,Kingston (OHL),4,Joe Ward,21,1980
21,Seattle (WHL),656,Moe Mantha,22,1980
22,Toronto (OHL),598,Normand Rochefort,23,1980
23,Quebec (QMJHL),819,Craig Muni,24,1980
24,Kingston (OHL),705,Bob McGill,25,1980
25,Victoria (WHL),536,Ric Nattress,26,1980
26,Brantford (OHL),424,Steve Ludzik,27,1980
27,Niagara Falls (OHL),78,Michel Galarneau,28,1980
28,Hull (QMJHL),135,Ken Solheim,29,1980
29,Medicine Hat (WHL),2,Tony Curtale,30,1980
30,Brantford (OHL),366,Kevin LaVallee,31,1980
31,Brantford (OHL),561,Greg Terrion,32,1980
32,Brantford (OHL),39,Dave Morrison,33,1980
33,Peterborough (OHL),499,Mike Allison,34,1980
34,Sudbury (OHL),667,Don Beaupre,35,1980
35,Victoria (WHL),677,Kelly Hrudey,36,1980
36,Sudbury (OHL),895,Steve Konroyd,37,1980
37,Medicine Hat (WHL),508,John Chabot,38,1980
38,Oshawa (OHL),134,Mike Moller,39,1980
39,Hull (QMJHL),83,Fred Boimistruck,40,1980
40,Lethbridge (WHL),57,Murray Eaves,41,1980
41,St. Lambert,22,John Newberry,42,1980
42,Cornwall (OHL),919,Mark Osborne,43,1980
43,Michigan (CCHA),84,Andy Schliebener,44,1980
44,Nanaimo (BCHL),162,Mickey Volcan,45,1980
45,Niagara Falls (OHL),257,Randy Boyd,46,1980
46,LaSalle,641,Steve Bozek,47,1980
47,Windsor (OHL),509,Randy Velischek,48,1980
48,Peterborough (OHL),328,Jim Pavese,49,1980
49,North Dakota (WCHA),442,Torrie Robertson,50,1980
50,Ottawa (OHL),414,Sean McKenna,51,1980
51,Northern Michigan (CCHA),915,Troy Murray,52,1980
52,Providence (ECAC),726,Tom Fergus,53,1980
53,Kitchener (OHL),1256,Craig Ludwig,54,1980
54,Victoria (WHL),1,Rick LaFerriere,55,1980
55,Sherbrooke (QMJHL),446,Jay Miller,56,1980
56,St. Albert (AJHL),552,Carey Wilson,57,1980
57,Trochu,1251,Jari Kurri,58,1980
58,London (OHL),176,Marc Crawford,59,1980
59,Peterborough (OHL),588,Kevin McClelland,60,1980
60,U. of North Dakota (WCHA),48,Tony Feltrin,61,1980
61,Bloomington (High-MN),1127,Bernie Nicholls,62,1980
62,Smooth Rock Falls,768,Stew Gavin,63,1980
63,Peterborough (OHL),447,Bob Brooke,64,1980
64,Shawinigan (QMJHL),837,Greg Gilbert,65,1980
65,New Hampshire (ECAC),821,Steve Kasper,66,1980
66,Dartmouth (ECAC),6,Jeff Teal,67,1980
67,Val Marie,325,Jim Wiemer,68,1980
68,Jokerit Helsinki (KHL),49,Ed Cooper,69,1980
69,Cornwall (OHL),576,Basil McRae,70,1980
70,Niagara Falls (OHL),243,Timo Blomqvist,71,1980
71,Victoria (WHL),468,Walt Poddubny,72,1980
72,Kingston (OHL),6,Darrell May,73,1980
73,Toronto (OHL),30,Darren Jensen,74,1980
74,Yale (ECAC),416,Doug Shedden,75,1980
