,Amateur Team,GP,Name,Overall Pick,Year
0,U.S. National U-18 (USNTDP),631,Erik Johnson,1,2006
1,Peterborough (OHL),824,Jordan Staal,2,2006
2,U. of North Dakota (WCHA),780,Jonathan Toews,3,2006
3,Brynas Gavle (Sweden),795,Nicklas Backstrom,4,2006
4,Minnesota (WCHA),895,Phil Kessel,5,2006
5,Drummondville (QMJHL),702,Derick Brassard,6,2006
6,Des Moines (USHL),655,Kyle Okposo,7,2006
7,Everett (WHL),297,Peter Mueller,8,2006
8,Cape Breton (QMJHL),394,James Sheppard,9,2006
9,Poldi Kladno (Czech),709,Michael Frolik,10,2006
10,Lewiston (QMJHL),282,Jonathan Bernier,11,2006
11,Barrie (OHL),734,Bryan Little,12,2006
12,Poldi Kladno (Czech),446,Jiri Tlusty,13,2006
13,Spokane (WHL),533,Michael Grabner,14,2006
14,Ilves Tampere ( ),1,Riku Helenius,15,2006
15,Prince George (WHL),26,Ty Wishart,16,2006
16,Des Moines (USHL),560,Trevor Lewis,17,2006
17,Kingston (OHL),645,Chris Stewart,18,2006
18,Michigan (CCHA),45,Mark Mitera,19,2006
19,Apple Valley (High-MN),718,David Fischer,20,2006
20,Owen Sound (OHL),383,Bobby Sanguinetti,21,2006
21,Gatineau (QMJHL),676,Claude Giroux,22,2006
22,Lokomotiv Yaroslavl 2 (Russia-3),13,Semyon Varlamov,23,2006
23,Vasteras (Sweden-2),5,Dennis Persson,24,2006
24,Vasteras (Sweden-2),755,Patrik Berglund,25,2006
25,Everett (WHL),70,Leland Irving,26,2006
26,Rouyn-Noranda (QMJHL),34,Ivan Vishnevskiy,27,2006
27,Sudbury (OHL),6,Nick Foligno,28,2006
28,U.S. National U-18 (USNTDP),1,Chris Summers,29,2006
29,Saginaw (OHL),249,Matthew Corrente,30,2006
30,Vitkovice ( ),575,Tomas Kana,31,2006
31,Brainerd (High-MN),183,Carl Sneep,32,2006
32,Krylja Sovetov ( ),139,Igor Makarov,33,2006
33,Sparta Praha Jr. ( ),669,Michal Neuvirth,34,2006
34,Baie-Comeau (QMJHL),506,Francois Bouchard,35,2006
35,Ottawa (OHL),153,Jamie McGinn,36,2006
36,Cherepovets ( ),549,Yury Alexandrov,37,2006
37,Halifax (QMJHL),47,Bryce Swan,38,2006
38,Sioux Falls (USHL),791,Andreas Nodl,39,2006
39,Everett (WHL),3,Ondrej Fiala,40,2006
40,Kingston (OHL),606,Cory Emmerton,41,2006
41,U.S. National U-18 (USNTDP),55,Mike Ratchuk,42,2006
42,Moose Jaw (WHL),351,Riley Holzapfel,43,2006
43,Magnitogorsk (Russia),18,Nikolai Kulemin,44,2006
44,Des Moines (USHL),129,Jeff Petry,45,2006
45,Sodertalje (Sweden),348,Jhonas Enroth,46,2006
46,Belleville (OHL),4,Shawn Matthias,47,2006
47,Quebec (QMJHL),187,Joe Ryan,48,2006
48,Kootenay (WHL),313,Ben Maxwell,49,2006
49,Vancouver (WCHL),279,Milan Lucic,50,2006
50,U.S. National U-18 (USNTDP),474,Nigel Williams,51,2006
51,Burnaby (BCHL),581,Keith Seabrook,52,2006
52,Acadie-Bathurst (QMJHL),696,Mathieu Carle,53,2006
53,Lokomotiv Yaroslavl 2 (Russia-3),48,Artem Anisimov,54,2006
54,Lada Togliatti (KHL),160,Denis Bodrov,55,2006
55,U.S. National U-18 (USNTDP),82,Blake Geoffrion,56,2006
56,Windsor (OHL),6,Mike Weber,57,2006
57,Lokomotiv Yaroslavl 2 (Russia-3),14,Alexander Vasyunov,58,2006
58,Brandon (WHL),154,Codey Burki,59,2006
59,Assat Pori ( ),1,Jesse Joensuu,60,2006
60,U. Of Maine ( ),91,Simon Danis-Pepin,61,2006
61,Huddinge ( ),3,Dick Axelsson,62,2006
62,U.S. National U-18 (USNTDP),293,Jamie McBain,63,2006
63,Linkoping ( ),7,Jonas Junland,64,2006
64,U.S. National U-18 (USNTDP),2,Brian Strait,65,2006
65,Calgary (WHL),76,Ryan White,66,2006
66,Alemetjevsk (Russia),133,Kirill Tulupov,67,2006
67,Green Bay (USHL),472,Eric Gryba,68,2006
68,London (OHL),47,Steve Mason,69,2006
69,Vastra Frolunda Jr. ( ),161,Robin Figren,70,2006
70,Moncton (QMJHL),1,Brad Marchand,71,2006
71,Oshawa (OHL),42,Cal Clutterbuck,72,2006
72,Everett (WHL),7,Brady Calla,73,2006
73,Miami (Ohio) (CCHA),5,Jeff Zatkoff,74,2006
74,Owen Sound (OHL),1,Theo Peckham,75,2006
75,Sodertalje Jr. (Sweden-Jr.),124,Tony Lagerstrom,76,2006
76,CSKA Moscow 2 (Russia),18,Vladimir Zharkov,77,2006
77,Salisbury (High-CT),520,Kevin Quick,78,2006
78,Bowling Green ( ),488,Jon Matsumoto,79,2006
79,Thief River Falls (High-MN),8,Michael Forney,80,2006
80,U.S. National U-18 (USNTDP),3,Mike Carman,81,2006
81,Bjorkloven Jr. ( ),476,Daniel Rahimi,82,2006
82,Brampton (OHL),317,John de Gray,83,2006
83,Halifax (QMJHL),46,Ryan Hillier,84,2006
84,Plymouth (OHL),1,Tom Sestito,85,2006
85,Seattle (WHL),515,Bud Holloway,86,2006
86,Plymouth (OHL),98,John Armstrong,87,2006
87,Vastra Frolunda (Sweden),15,Jonas Ahnelov,88,2006
88,Warroad (High-MN),88,Aaron Marvin,89,2006
89,Brampton (OHL),1,Aaron Snow,90,2006
90,HK Riga 2000 ( ),366,Kaspars Daugavins,91,2006
91,Hammarby (Sweden),,Daniel Larsson,92,2006
92,Sarnia (OHL),,Harrison Reed,93,2006
93,Omaha (USHL),,Ryan Turek,94,2006
94,Kingston (OHL),,Ben Shutron,95,2006
95,U.S. National U-18 (USNTDP),,Joe Palmer,96,2006
96,Mississauga (OHL),,Oskar Osala,97,2006
97,Oshawa (OHL),,James Delory,98,2006
98,Red Deer (WHL),,James Reimer,99,2006
99,U.S. National U-18 (USNTDP),,Rhett Rakhshani,100,2006
