,Amateur Team,GP,Name,Overall Pick,Year
0,Prince Albert (WHL),1179,Chris Phillips,1,1996
1,Salavat Yulayev Ufa (KHL),496,Andrei Zyuzin,2,1996
2,Val d'Or (QMJHL),822,J.P. Dumont,3,1996
3,Barrie (OHL),3,Alexandre Volchkov,4,1996
4,Sault Ste. Marie (OHL),231,Ric Jackman,5,1996
5,Kitchener (OHL),627,Boyd Devereaux,6,1996
6,Minnesota (WCHA),545,Erik Rasmussen,7,1996
7,Medicine Hat (WHL),44,Johnathan Aitken,8,1996
8,Las Vegas (IHL),917,Ruslan Salei,9,1996
9,Red Deer (WHL),209,Lance Ward,10,1996
10,Tri-City (WHL),82,Dan Focht,11,1996
11,Regina (WHL),60,Josh Holden,12,1996
12,Regina (WHL),1107,Derek Morris,13,1996
13,Boston College (H-East),798,Marty Reasoner,14,1996
14,Pembroke (CCHL),1293,Dainius Zubrus,15,1996
15,Hull (QMJHL),5,Mario Larocque,16,1996
16,Tri-City (WHL),113,Jaroslav Svejkovsky,17,1996
17,Moose Jaw (WHL),57,Matt Higgins,18,1996
18,Shawinigan (QMJHL),5,Matthieu Descoteaux,19,1996
19,Djurgarden (Sweden),521,Marcus Nilson,20,1996
20,Landshut (Germany),938,Marco Sturm,21,1996
21,Sarnia (OHL),973,Daniel Briere,22,1996
22,Ottawa (OHL),32,Peter Ratchuk,23,1996
23,Drummondville (QMJHL),49,Jesse Wallin,24,1996
24,Shattuck-St. Mary's (High-MN),969,Cory Sarich,25,1996
25,Red Deer (WHL),12,Pavel Skrbek,26,1996
26,Saskatoon (WHL),337,Dan LaCouture,27,1996
27,Poldi Kladno (Czech),341,Josh Green,28,1996
28,Springfield,18,Remi Royer,29,1996
29,Medicine Hat (WHL),6,Chris Hajt,30,1996
30,St. Hyacinthe (QMJHL),1426,Matt Cullen,31,1996
31,Guelph (OHL),19,Marek Posmyk,32,1996
32,Brandon (WHL),73,Marian Cisar,33,1996
33,Medicine Hat (WHL),55,Travis Brigley,34,1996
34,St. Cloud State (WCHA),524,Steve Begin,35,1996
35,Dukla Jihlava (Czech-2),2,Jeff Paul,36,1996
36,Slovan Bratislava (KHL),552,Jan Bulis,37,1996
