,Amateur Team,GP,Name,Overall Pick,Year
0,Erie (OHL),189,Connor McDavid,1,2015
1,Boston University (H-East),197,Jack Eichel,2,2015
2,Erie (OHL),18,Dylan Strome,3,2015
3,London (OHL),141,Mitchell Marner,4,2015
4,Boston College (H-East),222,Noah Hanifin,5,2015
5,Sarnia (OHL),126,Pavel Zacha,6,2015
6,Brandon (WHL),144,Ivan Provorov,7,2015
7,Michigan (Big Ten),136,Zach Werenski,8,2015
8,Halifax (QMJHL),96,Timo Meier,9,2015
9,TPS (Finland),144,Mikko Rantanen,10,2015
10,Kingston (OHL),83,Lawson Crouse,11,2015
11,Togliatti 2 (Russia-Jr.),1,Denis Gurianov,12,2015
12,Saint John (QMJHL),56,Jakub Zboril,13,2015
13,Swift Current (WHL),65,Jake Debrusk,14,2015
14,Sault Ste. Marie (OHL),76,Zachary Senyshyn,15,2015
15,Seattle (WHL),43,Mathew Barzal,16,2015
16,Youngstown (USHL),2,Kyle Connor,17,2015
17,Saint John (QMJHL),70,Thomas Chabot,18,2015
18,Cape Breton (QMJHL),17,Evgeny Svechnikov,19,2015
19,Farjestad (Sweden),67,Joel Eriksson Ek,20,2015
20,USA U-18 (USHL),131,Colin White,21,2015
21,Magnitogorsk 2 (Russia-Jr.),21,Ilya Samsonov,22,2015
22,Waterloo (USHL),2,Brock Boeser,23,2015
23,Ottawa (OHL),4,Travis Konecny,24,2015
24,USA U-18 (USHL),118,Jack Roslovic,25,2015
25,Everett (WHL),16,Noah Juulsen,26,2015
26,Frolunda Jr. (Sweden-Jr.),1,Jacob Larsson,27,2015
27,Shawinigan (QMJHL),66,Anthony Beauvillier,28,2015
28,Linkoping Jr. (Sweden-Jr.),21,Gabriel Carlsson,29,2015
29,Kelowna (WHL),140,Nicholas Merkley,30,2015
30,Sherbrooke (QMJHL),141,Jeremy Roy,31,2015
31,USA U-18 (USHL),22,Christian Fischer,32,2015
32,Saginaw (OHL),1,Mitchell Stephens,33,2015
33,Erie (OHL),26,Travis Dermott,34,2015
34,Karpat (Finland),10,Sebastian Aho,35,2015
35,Victoriaville (QMJHL),5,Gabriel Gagne,36,2015
36,Tri-City (WHL),2,Brandon Carlo,37,2015
37,Portland (WHL),56,Paul Bittner,38,2015
38,Boston University (H-East),1,A.J. Greer,39,2015
39,Baie Comeau (QMJHL),1,Nicolas Meloche,40,2015
40,Seattle (WHL),3,Ryan Gropp,41,2015
41,Barrie (OHL),3,MacKenzie Blackwood,42,2015
42,Kosice (Slovakia),10,Erik Cernak,43,2015
43,Peterborough (OHL),86,Matthew Spencer,44,2015
44,Omaha (USHL),2,Jakob Forsbacka Karlsson,45,2015
45,Charlottetown (QMJHL),33,Daniel Sprong,46,2015
46,Prince George (WHL),2,Jansen Harkins,47,2015
47,Charlottetown (QMJHL),10,Filip Chlapik,48,2015
48,Ilves (Finland),117,Roope Hintz,49,2015
49,USA U-18 (USHL),,Jordan Greenway,50,2015
50,Prince Albert (WHL),,Brendan Guhle,51,2015
51,Rouyn-Noranda (QMJHL),,Jeremy Lauzon,52,2015
52,Barrie (OHL),,Rasmus Andersson,53,2015
53,Niagara (OHL),,Graham Knott,54,2015
54,Gatineau (QMJHL),,Yakov Trenin,55,2015
55,Niagara (OHL),,Vince Dunn,56,2015
56,Zurich (Swiss),,Jonas Siegenthaler,57,2015
57,HV 71 Jr. (Sweden-Jr.),,Kevin Stenlund,58,2015
58,JYP 2 (Finland-2),,Julius Nattinen,59,2015
59,Farjestad (Sweden),,Oliver Kylington,60,2015
60,USA U-18 (USHL),,Jeremy Bracco,61,2015
61,AIK (Sweden-2),,Robin Kovacs,62,2015
62,Sudbury (OHL),,Kyle Capobianco,63,2015
63,Shawinigan (QMJHL),,Dennis Yan,64,2015
64,Lethbridge (WHL),,Andrew Nielsen,65,2015
65,Acadie-Bathurst (QMJHL),,Guillaume Brisebois,66,2015
66,Sault Ste. Marie (OHL),,Blake Speers,67,2015
67,Riga 2 (Russia-Jr.),,Martins Dzierkals,68,2015
68,Seattle (WHL),,Keegan Kolesar,69,2015
69,Brynas Jr. (Sweden-Jr.),,Felix Sandstrom,70,2015
70,Rouyn-Noranda (QMJHL),,Jean-Christophe Beaudin,71,2015
71,Oshawa (OHL),,Anthony Cirelli,72,2015
72,Green Bay (USHL),,Vili Saarijarvi,73,2015
73,SKA St. Petersburg 2 (Russia-Jr.),,Alexander Dergachyov,74,2015
74,Kladno (Czech-2),,Daniel Vladar,75,2015
75,Portland (WHL),,Adin Hill,76,2015
76,Blainville-Boisbriand (QMJHL),,Samuel Montembeault,77,2015
77,Cedar Rapids (USHL),,Erik Foley,78,2015
78,Regina (WHL),,Sergey Zborovskiy,79,2015
79,Green Bay (USHL),,Brent Gates,80,2015
80,USA U-18 (USHL),,Brendan Warren,81,2015
81,Oshawa (OHL),,Mitchell Vande Sompel,82,2015
82,Brynas (Sweden),,Jens Looke,83,2015
83,Kamloops (WHL),,Deven Sideroff,84,2015
84,Waterloo (USHL),,Thomas Novak,85,2015
85,Lawrence Academy (High-MA),,Mike Robinson,86,2015
86,Djurgarden Jr. (Sweden-Jr.),,Lukas Vejdemo,87,2015
87,Owen Sound (OHL),,Thomas Schemitsch,88,2015
88,Assat (Finland),,Aleksi Saarela,89,2015
89,Topeka (NAHL),,Matej Tomek,90,2015
90,Chicago (USHL),,Dennis Gilbert,91,2015
91,Moorhead (High-MN),,William Borgen,92,2015
92,Quebec (QMJHL),,Callum Booth,93,2015
93,Red Deer (WHL),,Adam Musil,94,2015
94,Modo Jr. (Sweden-Jr.),,Jesper Lindgren,95,2015
95,Chicoutimi (QMJHL),,Nicolas Roy,96,2015
96,Sault Ste. Marie (OHL),,Colton White,97,2015
97,Saint John (QMJHL),,Samuel Dove-McFalls,98,2015
98,Regina (WHL),,Austin Wagner,99,2015
99,Val d'Or (QMJHL),,Anthony Richard,100,2015
100,Dynamo Moscow (Russia),,Andrei Mironov,101,2015
101,Zurich (Swiss),,Denis Malgin,102,2015
102,London (OHL),,Chris Martenet,103,2015
103,Ufa 2 (Russia-Jr.),,Mikhail Vorobyov,104,2015
104,Regina (WHL),,Jesse Gabrielle,105,2015
105,Spokane (WHL),,Adam Helewka,106,2015
106,Muskegon (USHL),,Christian Wolanin,107,2015
107,Pardubice (Czech),,Michael Spacek,108,2015
108,HV 71 Jr. (Sweden-Jr.),,Filip Ahl,109,2015
109,Linkoping U18 (Sweden-Jr.),,Joren Van Pottelberghe,110,2015
110,Liberec Jr. (Czech-Jr.),,Ales Stezka,111,2015
111,Tri-City (WHL),,Parker Wotherspoon,112,2015
112,Prince George (WHL),,Brad Morrison,113,2015
