,Amateur Team,GP,Name,Overall Pick,Year
195,Mississauga St. Michael's (OHL),,Kyle Neuber,197,2009
196,Wenatchee (NAHL),,Nic Dowd,198,2009
197,Indiana (USHL),,Michael Cichy,199,2009
198,Mechel Chelyabinsk (Russia-2),,Mikhail Pashnin,200,2009
199,Saskatoon (WHL),,Gaelan Patterson,201,2009
200,Duluth East (High-MN),,Max Tardy,202,2009
201,Waterloo (USHL),,Jordan Samuels-Thomas,203,2009
202,Cowichan Valley (BCHL),,Curtis Gedig,204,2009
203,PEI (QMJHL),,Benjamin Casavant,205,2009
204,Nepean (CJHL),,Ben Sexton,206,2009
205,Eisbaren Jrs. Berlin (German-3),,Dominik Bielke,207,2009
206,Red Deer (WHL),,Tommi Kivisto,208,2009
207,Quebec (QMJHL),,David Gilbert,209,2009
208,HV 71 Jonkoping Jr. (Sweden-Jr.),,Adam Almqvist,210,2009
209,Karpat Oulu Jr. ( ),,Petteri Simila,211,2009
