,Amateur Team,GP,Name,Overall Pick,Year
0,London (OHL),650,John Tavares,1,2009
1,MoDo Ornskoldsvik ( ),606,Victor Hedman,2,2009
2,Brampton (OHL),633,Matt Duchene,3,2009
3,Vancouver (WCHL),557,Evander Kane,4,2009
4,Brandon (WHL),496,Brayden Schenn,5,2009
5,Leksand (Sweden-2),556,Oliver Ekman-Larsson,6,2009
6,London (OHL),470,Nazem Kadri,7,2009
7,Brandon (WHL),1,Scott Glennie,8,2009
8,Spokane (WHL),249,Jared Cowen,9,2009
9,Timra ( ),366,Magnus Paajarvi,10,2009
10,Windsor (OHL),375,Ryan Ellis,11,2009
11,Oshawa (OHL),304,Calvin de Haan,12,2009
12,Peterborough (OHL),374,Zack Kassian,13,2009
13,Drummondville (QMJHL),564,Dmitry Kulikov,14,2009
14,Guelph (OHL),260,Peter Holland,15,2009
15,Eden Prairie (High-MN),561,Nick Leddy,16,2009
16,Skelleftea (Sweden),113,David Rundblad,17,2009
17,Omaha (USHL),50,Louis Leblanc,18,2009
18,Andover (High-MA),362,Chris Kreider,19,2009
19,Djurgarden (Sweden),308,Jacob Josefson,20,2009
20,Chicago Steel (USHL),427,John Moore,21,2009
21,Minnesota (WCHA),165,Jordan Schroeder,22,2009
22,Skelleftea (Sweden),93,Tim Erixon,23,2009
23,Farjestad ( ),530,Marcus Johansson,24,2009
24,Rimouski (QMJHL),157,Jordan Caron,25,2009
25,U.S. National U-18 (USNTDP),403,Kyle Palmieri,26,2009
26,Shawinigan (QMJHL),124,Philippe Paradis,27,2009
27,Camrose (AJHL),54,Dylan Olsen,28,2009
28,Lethbridge (WHL),193,Carter Ashton,29,2009
29,Saint John (QMJHL),4,Simon Despres,30,2009
30,Blues Espoo (Finland),77,Mikko Koskinen,31,2009
31,Red Deer (WHL),632,Landon Ferraro,32,2009
32,Erie (OHL),12,Ryan O'Reilly,33,2009
33,Vastra Frolunda Jr. ( ),515,Carl Klingberg,34,2009
34,Barrie (OHL),23,Kyle Clifford,35,2009
35,U.S. National U-18 (USNTDP),9,Chris Brown,36,2009
36,Brampton (OHL),371,Mat Clark,37,2009
37,Des Moines (USHL),401,Alex Chiasson,38,2009
38,Brynas Gavle (Sweden),215,Jakob Silfverberg,39,2009
39,Timra ( ),94,Anton Lander,40,2009
40,Edina (High-MN),82,Zach Budish,41,2009
41,Shawinigan (QMJHL),212,Charles-Olivier Roussel,42,2009
42,U.S. National U-18 (USNTDP),84,William Wrenn,43,2009
43,U.S. National U-18 (USNTDP),224,Drew Shore,44,2009
44,U.S. National U-18 (USNTDP),315,Jeremy Morin,45,2009
45,Vastra Frolunda Jr. ( ),3,Robin Lehner,46,2009
46,Kingston (OHL),189,Ethan Werek,47,2009
47,Portland (WHL),345,Brett Ponich,48,2009
48,Saskatoon (WHL),1,Stefan Elliott,49,2009
49,U.S. National U-18 (USNTDP),226,Kenny Ryan,50,2009
50,N.H. Jr. Monarchs (EJHL),407,Brian Dumoulin,51,2009
51,Trinec (Czech),13,Richard Panik,52,2009
52,Brynas Gavle Jr. (Sweden-Jr.),100,Anton Rodin,53,2009
53,Lewiston (QMJHL),16,Eric Gelinas,54,2009
54,Novokuznetsk (KHL),385,Dmitry Orlov,55,2009
55,U.S. National U-18 (USNTDP),1,Kevin Lynch,56,2009
56,Kingston (OHL),293,Taylor Doherty,57,2009
57,Windsor (OHL),2,Jesse Blacker,58,2009
58,Georgetown (OJHL),426,Brandon Pirri,59,2009
59,Zvolen (Slovakia),92,Tomas Tatar,60,2009
60,Chicago Steel (USHL),113,Philip Samuelsson,61,2009
61,Lulea Jr. (Sweden-Jr.),34,Anders Nilsson,62,2009
62,Little Falls (High-MN),128,Ben Hanowski,63,2009
63,Kelowna (WHL),26,Tyson Barrie,64,2009
64,Blues Espoo Jr. (Finland-Jr.),1,Joonas Nattinen,65,2009
65,Kootenay (WHL),241,Brayden McNabb,66,2009
66,Fargo (USHL),250,Josh Birkholz,67,2009
67,Plymouth (OHL),439,Jamie Devane,68,2009
68,St. Michael's (OJHL),402,Reilly Smith,69,2009
69,Guelph (OHL),387,Taylor Beck,70,2009
70,Minnetonka (High-MN),23,Troy Hesketh,71,2009
71,Guelph (OHL),138,Michael Latta,72,2009
72,Djurgarden (Sweden),45,Alexander Urbom,73,2009
73,Chilliwack (WHL),497,Ryan Howse,74,2009
74,Victoriaville (QMJHL),156,Andrej Nestrasil,75,2009
75,Magnitogorsk 2 (Russia-3),369,Igor Bobkov,76,2009
76,Plymouth (OHL),1,Matt Hackett,77,2009
77,Lada Togliatti (KHL),405,Sergei Andronov,78,2009
78,Hotchkiss (High-CT),318,Mac Bennett,79,2009
79,U.S. National U-18 (USNTDP),34,Ryan Bourque,80,2009
80,Saskatoon (WHL),21,Adam Morrison,81,2009
81,Everett (WHL),50,Cameron Abney,82,2009
82,Western Michigan (CCHA),9,Kevin Connauton,83,2009
83,Rouyn-Noranda (QMJHL),99,Nicolas Deslauriers,84,2009
84,Swift Current (WHL),207,Cody Eakin,85,2009
85,Prince Albert (WHL),1,Ryan Button,86,2009
86,Brynas Gavle (Sweden),84,Simon Bertilsson,87,2009
87,Skelleftea Jr. (Sweden-Jr.),95,Mattias Lindstrom,88,2009
88,Totino Grace (High-MN),321,Dan Delisle,89,2009
89,Rimouski (QMJHL),285,Gleason Fournier,90,2009
90,Fargo (USHL),29,Mike Lee,91,2009
91,Mississauga St. Michael's (OHL),4,Casey Cizikas,92,2009
92,Barrie (OHL),87,Alex Hutchings,93,2009
93,Moncton (QMJHL),50,David Savard,94,2009
94,Montreal (QMJHL),446,Jean-Francois Berube,95,2009
95,Medicine Hat (WHL),110,Linden Vey,96,2009
96,Saginaw (OHL),324,Jordan Szwarz,97,2009
97,Waterloo (USHL),31,Craig Smith,98,2009
98,Vernon (BCHL),96,Kyle Bigos,99,2009
99,Miami (Ohio) (CCHA),122,Chris Wideman,100,2009
100,Ilves Tampere (Finland),2,Toni Rajala,101,2009
101,Mora (Sweden-2),24,Mattias Ekholm,102,2009
102,Calgary (WHL),37,Kris Foucault,103,2009
103,Sudbury (OHL),31,Marcus Foligno,104,2009
104,Red Deer (WHL),1,Justin Weller,105,2009
105,JYP HT Jyvaskyla Jr. ( ),27,Sami Vatanen,106,2009
106,Owen Sound (OHL),6,Garrett Wilson,107,2009
107,Kamloops (WHL),20,Tyler Shattock,108,2009
108,Dynamo-2 Moscow (Russia-3),5,Alexander Avtsin,109,2009
109,Roseau (High-MN),322,Nick Oliver,110,2009
110,Skare (Sweden-3),344,Henrik Bjorklund,111,2009
111,Windsor (OHL),16,Lane MacDermid,112,2009
112,Nepean (CJHL),119,Jeremy Price,113,2009
113,Sioux City (USHL),2,Seth Helgeson,114,2009
114,Waterloo (USHL),,Patrick Wey,115,2009
115,Shattuck-St. Mary's (High-MN),,Alex Fallstrom,116,2009
116,Saginaw (OHL),,Eddie Pasquale,117,2009
117,Everett (WHL),,Byron Froese,119,2009
118,Guelph (OHL),,Ben Chiarot,120,2009
119,Shawinigan (QMJHL),,Nick Petersen,121,2009
120,Lokomotiv Yaroslavl 2 (Russia-3),,Anton Klementyev,122,2009
121,Delbarton (High-NJ),,Alex Velischek,123,2009
122,Boston University ( ),,Kieran Millan,124,2009
123,Saginaw (OHL),,Cody Sol,125,2009
124,Owen Sound (OHL),,David Kolomatis,126,2009
125,Ceske Budejovice (Czech),,Roman Horak,127,2009
126,Philadelphia Jr. Flyers (USMAAA),,Eric Knodel,128,2009
127,Edmonton ( ),,Tomas Vincour,129,2009
128,Drummondville (QMJHL),,Mike Hoffman,130,2009
129,Guelph (OHL),,Matt Kennedy,131,2009
130,Baie-Comeau (QMJHL),,Gabriel Bourque,132,2009
131,Cape Breton (QMJHL),,Olivier Roy,133,2009
132,Malden Catholic (High-MA),,Mark Adams,134,2009
133,Okotoks (AJHL),,Corban Knight,135,2009
134,Tri-City (USHL),,Radoslav Illo,136,2009
135,Exeter (High-NH),,Thomas Larkin,137,2009
136,South Kent School (High-CT),,Wade Megan,138,2009
137,Drummondville (QMJHL),,Gabriel Dumont,139,2009
138,Owen Sound (OHL),,Scott Stajcer,140,2009
139,Surrey (BCHL),,Spencer Bennett,141,2009
140,Moncton (QMJHL),,Nic Riopel,142,2009
141,Vastra Frolunda Jr. ( ),,Peter Andersson,143,2009
142,Okotoks (AJHL),,Derek Rodwell,144,2009
143,Mississauga St. Michael's (OHL),,Brett Flemming,145,2009
144,Cedar Rapids (USHL),,Jeff Costello,146,2009
145,London (OHL),,Phil Varone,147,2009
146,Oshawa (OHL),,Michael Zador,148,2009
147,Djurgarden (Sweden),,Marcus Kruger,149,2009
148,Green Bay (USHL),,Nick Jensen,150,2009
149,Belleville (OHL),,Andy Bathgate,151,2009
150,Edina (High-MN),,Anders Lee,152,2009
151,Shawinigan (QMJHL),,Dave Labrecque,153,2009
152,U.S. National U-18 (USNTDP),,Brandon Maxwell,154,2009
153,Kamloops (WHL),,Jimmy Bubnick,155,2009
154,Mississauga St. Michael's (OHL),,Michael Pelech,156,2009
155,Kelowna (WHL),,Evan Bloodoff,157,2009
156,U.S. National U-18 (USNTDP),,Jerry D'Amigo,158,2009
157,Penticton (BCHL),,Curtis McKenzie,159,2009
158,Ottawa (OHL),,Corey Cowick,160,2009
159,Red Deer (WHL),,Darcy Kuemper,161,2009
160,Erie (OHL),,Jaroslav Janus,162,2009
161,Blues Espoo Jr. (Finland-Jr.),,Jere Sallinen,163,2009
162,Miami (Ohio) (CCHA),,Connor Knapp,164,2009
163,Windsor (OHL),,Scott Timmins,165,2009
164,Oshawa (OHL),,Scott Valentine,166,2009
165,Malmo Jr. ( ),,Anton Blomqvist,167,2009
166,Erie (OHL),,David Shields,168,2009
167,Kingston (OJHL),,Dustin Walsh,169,2009
168,Sudbury (OHL),,Dan Maggio,170,2009
169,TPS Turku Jr. ( ),,Joni Ortio,171,2009
170,Windsor (OHL),,Eric Wellwood,172,2009
171,Merrimack ( ),,Joe Cannata,173,2009
172,Shawinigan (QMJHL),,Ashton Bernard,174,2009
173,Regina (WHL),,Garrett Mitchell,175,2009
174,Kitchener (OHL),,Tyler Randell,176,2009
175,Cumberland (CJHL),,David Pacan,177,2009
176,Kalpa Kuopio Jr. (Finland-Jr.),,Rasmus Rissanen,178,2009
177,Calgary (WHL),,Brandon Kozun,179,2009
178,Kelowna (WHL),,Mitch Callahan,180,2009
179,Linkoping ( ),,Viktor Ekbom,181,2009
180,Shattuck-St. Mary's (High-MN),,Erik Haula,182,2009
181,Shattuck-St. Mary's (High-MN),,Kirill Gotovets,183,2009
182,Nobles (High-MA),,Gus Young,184,2009
183,Spokane (WHL),,Levko Koper,185,2009
184,Sault Ste. Marie (OHL),,Jordan Nolan,186,2009
185,Saint John (QMJHL),,Steven Anthony,187,2009
186,Peterborough (OHL),,Barron Smith,188,2009
187,Prince George (WHL),,Marek Viedensky,189,2009
188,Avon Old Farms (High-CT),,Brad Peltz,190,2009
189,Lincoln (USHL),,Michael Sdao,191,2009
190,Westside (BCHL),,Cam Reid,192,2009
191,Dallas Stars AAA (MWEHL),,Anthony Hamburg,193,2009
192,Shawinigan (QMJHL),,Maxime Legault,194,2009
193,Cedar Rapids (USHL),,Paul Phillips,195,2009
194,St. Cloud State (WCHA),,Oliver Lauridsen,196,2009
