,Amateur Team,GP,Name,Overall Pick,Year
0,Cornwall (OHL),1188,Dale Hawerchuk,1,1981
1,Ottawa (OHL),535,Doug Smith,2,1981
2,St. John's (High-MA),1178,Bob Carpenter,3,1981
3,Sault Ste. Marie (OHL),1731,Ron Francis,4,1981
4,Oshawa (OHL),828,Joe Cirella,5,1981
5,Portland (WHL),605,Jim Benning,6,1981
6,Brantford (OHL),628,Mark Hunter,7,1981
7,Victoria (WHL),868,Grant Fuhr,8,1981
8,Prince Albert (WHL),1280,James Patrick,9,1981
9,Regina (WHL),897,Garth Butcher,10,1981
10,Lethbridge (WHL),815,Randy Moller,11,1981
11,Oshawa (OHL),697,Tony Tanti,12,1981
12,Niagara Falls (OHL),48,Ron Meighan,13,1981
13,Chicoutimi (QMJHL),75,Normand Leveille,14,1981
14,Kitchener (OHL),1416,Al MacInnis,15,1981
15,Sault Ste. Marie (OHL),18,Steve Smith,16,1981
16,Poldi Kladno (Czech),541,Gilbert Delorme,17,1981
17,Chicoutimi (QMJHL),288,Paul Boutilier,18,1981
18,Farjestad (Sweden),730,Scott Arniel,19,1981
19,Warburg,616,Claude Loiselle,20,1981
20,Sherbrooke (QMJHL),34,Gary Yaremchuk,21,1981
21,Cornwall (OHL),51,Rich Chernomaz,22,1981
22,Windsor (OHL),137,Dave Donnelly,23,1981
23,Portland (WHL),89,Steve Gatzos,24,1981
24,London (OHL),5,Todd Strueby,25,1981
25,Victoria (WHL),556,Jan Erixon,26,1981
26,St. Albert (AJHL),6,Mike Sands,27,1981
27,Sault Ste. Marie (OHL),31,Tom Hirsch,28,1981
28,Regina (WHL),167,Luc Dufour,29,1981
29,Skelleftea (Sweden),12,Rich Costello,30,1981
30,Sudbury (OHL),245,Hannu Virta,31,1981
31,Brynas Gavle (Sweden),717,Dean Kennedy,32,1981
32,Patrick Henry (High-MN),1651,Chris Chelios,33,1981
33,St. Paul (High-MN),528,Gord Dineen,34,1981
34,Chicoutimi (QMJHL),13,Jyrki Seppa,35,1981
35,Karlstad (Sweden),113,Corrado Micalef,36,1981
36,Pickering,2,Eric Calder,37,1981
37,TPS Turku (Finland),143,Uli Hiemer,38,1981
38,Brandon (WHL),14,Tom Thornbury,39,1981
39,Moose Jaw (WHL),338,Peter Sundstrom,40,1981
40,Turku (Finland-2),10,Mark Morrison,41,1981
41,Sault Ste. Marie (OHL),105,Jean-Marc Lanthier,42,1981
42,Ilves Tampere (Finland),26,Jean-Marc Gaulin,43,1981
43,Sherbrooke (QMJHL),1,Darrel Anholt,44,1981
44,Cornwall (OHL),5,Ernie Godden,45,1981
45,ESV Kaufbeuren (German-2),781,Mike Vernon,46,1981
46,Parry Sound,14,Ron Handy,47,1981
47,Fussen,15,Ken Strong,48,1981
48,Niagara Falls (OHL),1,Colin Chisholm,49,1981
49,Bjorkloven (Sweden-2),690,Paul MacDermid,50,1981
50,Victoria (WHL),554,Gord Donnelly,51,1981
51,Sorel (QMJHL),26,Neal Coulter,52,1981
52,Sorel (QMJHL),14,Dave Michayluk,53,1981
53,Calgary (WHL),9,Mike Hoffman,54,1981
54,Windsor (OHL),125,Norm Schmidt,55,1981
55,Calgary (WHL),16,Paul Houck,56,1981
56,Sault Ste. Marie (OHL),882,John Vanbiesbrouck,57,1981
57,Peterborough (OHL),187,Wendell Young,58,1981
58,Kingston (OHL),338,Clint Malarchuk,59,1981
59,Calgary (WHL),4,Perry Pelensky,60,1981
60,Windsor (OHL),2,Scott McLellan,61,1981
61,Sherbrooke (QMJHL),1,Jeff Eatough,62,1981
62,Toronto (OHL),6,Marty Dallman,63,1981
63,Kapuskasing,166,Kjell Dahlin,64,1981
64,Regina (WHL),39,Marc Behrend,65,1981
65,Sault Ste. Marie (OHL),91,Larry Trader,66,1981
66,Brantford (OHL),154,Steve Rooney,67,1981
67,Grand Rapids (High-MN),7,Mike Siltala,68,1981
68,Thunder Bay (USHL),246,Peter Sidorkiewicz,69,1981
69,Oshawa (OHL),2,Edward Lee,70,1981
70,Kelowna (WHL),59,Dan Bourbonnais,71,1981
71,Sault Ste. Marie (OHL),317,Moe Lemay,72,1981
72,Kitchener (OHL),615,Gerard Gallant,73,1981
73,Portland (WHL),922,Bruce Driver,74,1981
74,Portland (WHL),57,Jim McGeough,75,1981
75,Grand Rapids (High-MN),804,Steve Smith,76,1981
76,Niagara Falls (OHL),556,Rod Buskas,77,1981
77,Jonkoping,345,Marc Habscheid,78,1981
78,Thunder Bay (USHL),90,Stu Kulak,79,1981
79,Cornwall (OHL),853,Mike Eagles,80,1981
80,RPI (ECAC),117,Paul Guay,81,1981
81,Timra IK (Sweden-2),299,Greg Stefan,82,1981
82,Timra (Sweden-2),158,Jeff Larmer,83,1981
83,Brandon (WHL),41,John Mokosak,84,1981
84,Wisconsin (WCHA),3,Risto Jalo,85,1981
85,London (OHL),2,Bruce Holloway,86,1981
86,Fenwick,16,Jim Archibald,87,1981
87,Canton (High-MA),163,Mats Thelin,88,1981
88,Kingston (OHL),659,Tom Kurvers,89,1981
89,Montreal (QMJHL),9,Dan McFall,90,1981
90,Oshawa (OHL),652,Rick Zombo,91,1981
91,Oakville,1028,Gaetan Duchesne,92,1981
92,Toronto (OHL),73,Mitch Lamoureux,93,1981
93,Sorel (QMJHL),541,Petri Skriko,94,1981
94,Princeton (ECAC),153,Dale DeGray,95,1981
95,London (OHL),98,Gates Orlando,96,1981
96,Williams Lake,8,Dan Brennan,97,1981
97,Cornwall (OHL),42,Alain Vigneault,98,1981
98,Toronto (OHL),22,Dean Defazio,99,1981
99,Peterborough (OHL),80,Miloslav Horava,100,1981
100,Turku (Finland-2),102,Frank Caprice,101,1981
101,Calgary (WHL),317,Scott Bjugstad,102,1981
102,Calgary (WHL),3,Don Sylvestri,103,1981
103,Sudbury (OHL),102,Len Hachborn,104,1981
104,Ottawa (OHL),57,Allan Tuer,105,1981
105,Billerica (High-MA),236,Robert Nordmark,106,1981
106,Sherbrooke (QMJHL),5,John Johannson,107,1981
107,Wisconsin (WCHA),105,Chris Valentine,108,1981
108,Kitchener (OHL),4,Marc Magnan,109,1981
109,Billings,841,Dave Hannan,110,1981
110,London (OHL),97,Gord Sherven,111,1981
111,Medicine Hat (WHL),142,Kari Takko,112,1981
112,Saskatoon (WHL),13,Bruce Eakin,113,1981
113,Belmont (High-MA),132,Richard Zemlak,114,1981
114,Victoria (WHL),,,115,1981
115,Kitchener (OHL),,,116,1981
116,St. Paul (USHL),,,117,1981
117,Mount St. Charles (High-RI),,,118,1981
118,Brookline (High-MA),,,119,1981
119,Oshawa (OHL),,,120,1981
120,Chicoutimi (QMJHL),,,121,1981
121,Ottawa (OHL),,,122,1981
122,Chatham (GOJHL),,,123,1981
123,Paddock Pool (GLJHL),,,124,1981
124,AIK Solna (Sweden),,,125,1981
125,Kingston (OHL),,,126,1981
126,Stockholm (Sweden-2),,,127,1981
127,Oshawa (OHL),,,128,1981
128,Kitchener (OHL),,,129,1981
129,Victoria (WHL),,,130,1981
130,Ilves Tampere (Finland),,,131,1981
131,Toronto (OHL),,,132,1981
132,Winnipeg (WHL),,,133,1981
133,Porcupine Plain,,,134,1981
134,Grand Rapids (High-MN),,,135,1981
135,Regina (WHL),,,136,1981
136,Kosice (Slovakia),,,137,1981
137,Lethbridge (WHL),,,138,1981
138,Moose Jaw (WHL),,,139,1981
139,AIK Solna (Sweden),,,140,1981
140,St. Paul (High-MN),,,141,1981
141,Prince Albert (WHL),,,142,1981
142,Turku (Finland-2),,,143,1981
143,Skagen (High-MN),,,144,1981
144,Minnesota-Duluth (WCHA),,,145,1981
145,Stockholm (Sweden-2),,,146,1981
146,Turku (Finland-2),,,147,1981
147,Buffalo Jr. (OJHL),,,148,1981
148,Austin Prep (High-MA),,,149,1981
149,Jokerit Helsinki (KHL),,,150,1981
150,Chicoutimi (QMJHL),,,151,1981
151,Quebec (QMJHL),,,152,1981
152,Shawinigan (QMJHL),,,153,1981
153,Oshawa (OHL),,,154,1981
154,Vancouver (WCHL),,,155,1981
155,Helsinki (Finland),,,156,1981
156,SaiPa (Finland),,,157,1981
157,Quebec (QMJHL),,,158,1981
158,Falun (Sweden-2),,,159,1981
159,Turku (Finland-2),,,160,1981
160,Sept-Iles,,,161,1981
161,Oshawa (OHL),,,162,1981
162,Providence (ECAC),,,163,1981
163,Providence (ECAC),,,164,1981
164,North Dakota (WCHA),,,165,1981
165,Bloomington (High-MN),,,166,1981
166,Trois-Rivieres (QMJHL),,,167,1981
167,Hamilton (OHL),,,168,1981
168,St. Mary's (MIAC),,,169,1981
169,Moncton (QMJHL),,,170,1981
170,Providence (ECAC),,,171,1981
171,St. Paul (USHL),,,172,1981
172,Arlington Catholic (High-MA),,,173,1981
173,Victoria (WHL),,,174,1981
174,Brantford (OHL),,,175,1981
175,Poldi SNOP Kladno (Czech),,,176,1981
176,Anoka (High-MN),,,177,1981
177,London (OHL),,,178,1981
178,Sorel (QMJHL),,,179,1981
179,Billings,,,180,1981
180,Minnesota (WCHA),,,181,1981
181,Clarkson (ECAC),,,182,1981
182,Matignon (High-MA),,,183,1981
183,Brantford (OHL),,,184,1981
184,New York,,,185,1981
185,Regina (WHL),,,186,1981
186,Edina (High-MN),,,187,1981
187,Torono,,,188,1981
188,Burlington (OJHL),,,189,1981
189,Vitkovice (Czech),,,190,1981
190,Lulea (Sweden),,,191,1981
191,Wisconsin (WCHA),,,192,1981
192,Kitchener (OHL),,,193,1981
193,Sorel (QMJHL),,,194,1981
194,Lethbridge (WHL),,,195,1981
195,Brantford (OHL),,,196,1981
196,Weyburn (SJHL),,,197,1981
197,Drummondville (QMJHL),,,198,1981
198,Shawinigan (QMJHL),,,199,1981
199,Assat Pori (Finland),,,200,1981
200,Hull (QMJHL),,,201,1981
201,St. Paul (High-MN),,,202,1981
202,Sherbrooke (QMJHL),,,203,1981
203,Saskatoon (WHL),,,204,1981
204,Coaldale,,,205,1981
205,Prince Albert (WHL),,,206,1981
206,Cornell (ECAC),,,207,1981
207,Belleville (OHL),,,208,1981
208,Spokane (WHL),,,209,1981
209,Niagara Falls (OHL),,,210,1981
210,Minnesota (High-MN),,,211,1981
