,Amateur Team,GP,Name,Overall Pick,Year
0,Rimouski (QMJHL),845,Sidney Crosby,1,2005
1,Owen Sound (OHL),710,Bobby Ryan,2,2005
2,U.S. National U-18 (USNTDP),773,Jack Johnson,3,2005
3,Sudbury (OHL),610,Benoit Pouliot,4,2005
4,Tri-City (WHL),552,Carey Price,5,2005
5,Vancouver (WCHL),299,Gilbert Brule,6,2005
6,U.S. National U-18 (USNTDP),368,Jack Skille,7,2005
7,Saskatoon (WHL),516,Devin Setoguchi,8,2005
8,Moorhead (High-MN),209,Brian Lee,9,2005
9,Val d'Or (QMJHL),36,Luc Bourdon,10,2005
10,Sodertalje Jr. (Sweden-Jr.),902,Anze Kopitar,11,2005
11,Sudbury (OHL),742,Marc Staal,12,2005
12,Chicoutimi (QMJHL),33,Marek Zagrapan,13,2005
13,Cornell (ECAC),666,Sasha Pokulok,14,2005
14,Erie (OHL),106,Ryan O'Marra,15,2005
15,Lewiston (QMJHL),331,Alex Bourret,16,2005
16,Ceske Budejovice (Czech-2),42,Martin Hanzal,17,2005
17,Guelph (OHL),435,Ryan Parent,18,2005
18,Kitchener (OHL),74,Jakub Kindl,19,2005
19,Moose Jaw (WHL),173,Kenndal McArdle,20,2005
20,Ilves Tampere Jr. (Finland-Jr.),647,Tuukka Rask,21,2005
21,Kitchener (OHL),848,Matt Lashoff,22,2005
22,Sodertalje (Sweden-2),13,Niclas Bergfors,23,2005
23,Warroad (High-MN),21,T.J. Oshie,24,2005
24,St. Michael's Jr. B (OJHL),781,Andrew Cogliano,25,2005
25,Sarnia (OHL),434,Matt Pelech,26,2005
26,Sioux Falls (USHL),15,Joe Finley,27,2005
27,Virginia (High-MN),131,Matt Niskanen,28,2005
28,Windsor (OHL),690,Steve Downie,29,2005
29,Presov,40,Vladimir Mihalik,30,2005
30,Portland (WHL),874,Brendan Mikkelson,31,2005
31,Brandon (WHL),165,Tyler Plante,32,2005
32,Plymouth (OHL),1,James Neal,33,2005
33,U.S. National U-18 (USNTDP),1,Ryan Stoa,34,2005
34,Quebec (QMJHL),11,Marc-Edouard Vlasic,35,2005
35,Shattuck-St. Mary's (High-MN),98,Taylor Chorney,36,2005
36,Seattle (WHL),395,Scott Jackson,37,2005
37,U.S. National U-18 (USNTDP),599,Jeff Frazee,38,2005
38,Vitkovice Jr. (Czech-Jr.),127,Petr Kalus,39,2005
39,Portland (WHL),805,Michael Sauer,40,2005
40,Poldi Kladno Jr. (Czech-Jr.),341,Ondrej Pavelec,41,2005
41,Cedar Rapids (USHL),22,Justin Abdelkader,42,2005
42,Erie (OHL),546,Mike Blunden,43,2005
43,Denver (WCHA),447,Paul Stastny,44,2005
44,Drummondville (QMJHL),151,Guillaume Latendresse,45,2005
45,Calgary (WHL),76,Dustin Kohn,46,2005
46,Ohio State (CCHA),663,Tom Fritsche,47,2005
47,Koln (Germany),1,Philip Gogulla,48,2005
48,Lewiston (QMJHL),702,Chad Denny,49,2005
49,Rimouski (QMJHL),4,Dany Roussin,50,2005
50,Camrose (AJHL),139,Mason Raymond,51,2005
51,Seattle (WHL),540,Chris Durand,52,2005
52,South Surrey (BCHL),7,Andrew Kozek,53,2005
53,Boston College (H-East),1,Dan Bertram,54,2005
54,Sudbury (OHL),17,Adam McQuaid,55,2005
55,Lewiston (QMJHL),550,Marc-Andre Cliche,56,2005
56,Kamloops (WHL),59,Matt Kassian,57,2005
57,Minnesota (WCHA),10,Nate Hagemo,58,2005
58,Drummondville (QMJHL),2,Pier-Olivier Pelletier,59,2005
59,Camrose (AJHL),219,T.J. Fast,60,2005
60,Shattuck-St. Mary's (High-MN),317,Michael Gergen,61,2005
61,Val d'Or (QMJHL),78,Kris Letang,62,2005
62,U.S. National U-18 (USNTDP),112,Jason Bailey,63,2005
63,Saskatoon (WHL),66,Joe Barnes,64,2005
64,Kelowna (WHL),75,Kristofer Westblom,65,2005
65,Calgary (WHL),390,Brodie Dupont,66,2005
66,Medicine Hat (WHL),278,Kris Russell,67,2005
67,Belleville (OHL),11,Evan Brophey,68,2005
68,Medicine Hat (WHL),9,Gord Baldwin,69,2005
69,Lokomotiv Yaroslavl 2 (Russia-3),1,Vitali Anikeyenko,70,2005
70,Sarnia (OHL),579,Rich Clune,71,2005
71,Avon Old Farms (High-CT),132,Jonathan Quick,72,2005
72,Kingston (OHL),43,Radek Smolenak,73,2005
73,Peterborough (OHL),802,Dan Ryder,74,2005
74,Ilves Tampere Jr. (Finland-Jr.),444,Perttu Lindgren,75,2005
75,St. George's (High-RI),388,Shea Guthrie,76,2005
76,Saskatoon (WHL),659,Dalyn Flatt,77,2005
77,HIFK Helsinki (Finland),87,Teemu Laakso,78,2005
78,Vancouver (WCHL),4,Cody Franson,79,2005
79,Djurgarden Jr. (Sweden-Jr.),1,Christofer Lofberg,80,2005
80,London (OHL),8,Danny Syvret,81,2005
81,Brampton (OHL),2,Phil Oreskovic,82,2005
82,Blues Espoo Jr. (Finland-Jr.),548,Mikko Lehtonen,83,2005
83,Kitchener (OHL),2,Mark Fraser,84,2005
84,Texas (NAHL),396,Ben Bishop,85,2005
85,Breck (High-MN),1,Robby Dee,86,2005
86,P.E.I. (QMJHL),229,Marc-Andre Gragnani,87,2005
87,Michigan (CCHA),116,T.J. Hensick,88,2005
88,Sault Ste. Marie (OHL),145,Chris Lawrence,89,2005
89,Plymouth (OHL),389,Dan Collins,90,2005
90,Moncton (QMJHL),477,Oskars Bartulis,91,2005
91,Kosice (Slovakia),1,Marek Bartanus,92,2005
92,Lewiston (QMJHL),1,Olivier Legault,93,2005
93,Sparta Praha Jr. (Czech-Jr.),1,Jakub Vojta,94,2005
94,Mississauga (OHL),9,Cody Bass,95,2005
95,Sioux City (USHL),12,Chris Butler,96,2005
96,Moorhead (High-MN),60,Chris VandeVelde,97,2005
97,Chelyabinsk (Russia-2),162,Ilya Zubov,98,2005
98,Kitchener (OHL),3,Patrick Davis,99,2005
99,Bowling Green (CCHA),4,Jonathan Sigalet,100,2005
