,Amateur Team,GP,Name,Overall Pick,Year
0,Saskatoon (WHL),793,Wendel Clark,1,1985
1,Michigan State (CCHA),634,Craig Simpson,2,1985
2,Kitchener (OHL),695,Craig Wolanin,3,1985
3,London (OHL),549,Jim Sandlak,4,1985
4,Calgary (WHL),838,Dana Murzyn,5,1985
5,Hamilton (OHL),321,Brad Dalgarno,6,1985
6,Ostersunds IK (Sweden),966,Ulf Dahlen,7,1985
7,Regina (WHL),470,Brent Fedyk,8,1985
8,Sudbury (OHL),38,Craig Duncanson,9,1985
9,Oshawa (OHL),7,Dan Gratton,10,1985
10,Prince Albert (WHL),1103,Dave Manson,11,1985
11,Drummondville (QMJHL),71,Jose Charbonneau,12,1985
12,Sault Ste. Marie (OHL),830,Derek King,13,1985
13,Vastra Frolunda (Sweden),1109,Calle Johansson,14,1985
14,Kitchener (OHL),36,David Latta,15,1985
15,Minneapolis SW (High-MN),596,Tom Chorske,16,1985
16,Waltham (High-MA),3,Ryan Stewart,17,1985
17,Kamloops (WHL),280,Yvon Corriveau,18,1985
18,Toronto (OHL),19,Scott Metcalfe,19,1985
19,Kingston (OHL),19,Glen Seabrooke,20,1985
20,Peterborough (OHL),27,Lee Giffin,21,1985
21,Edmonton (WHL),820,Sean Burke,22,1985
22,Oshawa (OHL),72,Troy Gamble,23,1985
23,Toronto (OHL),155,Kay Whitmore,24,1985
24,Medicine Hat (WHL),1257,Joe Nieuwendyk,25,1985
25,Peterborough (OHL),666,Mike Richter,26,1985
26,Cornell (ECAC),105,Jeff Sharples,27,1985
27,Abington (High-NY),119,Alain Cote,28,1985
28,Kelowna (WHL),1157,Eric Weinrich,29,1985
29,Bjorkloven (Sweden-2),8,Todd Richards,30,1985
30,Quebec (QMJHL),323,Brad Lauer,31,1985
31,North Yarmouth (High-ME),863,Benoit Hogue,32,1985
32,Armstrong (High-MN),146,Jason Lafreniere,33,1985
33,Regina (WHL),343,Herb Raglan,34,1985
34,St. Jean (QMJHL),531,John Druce,35,1985
35,Hamilton (OHL),42,Dave Thomlinson,36,1985
36,Kingston (OHL),771,Nelson Emerson,37,1985
37,Eastend,43,Myles O'Connor,38,1985
38,Leksand Jrs. (Sweden-Jr.),5,Rocky Dundas,39,1985
39,Peterborough (OHL),751,Steve Chiasson,40,1985
40,Kamloops (WHL),12,Stephane Roy,41,1985
41,Thunder Bay (USHL),647,Bill Ranford,42,1985
42,Brandon (WHL),708,Jeff Finley,43,1985
43,Stratford,13,Max Middendorf,44,1985
44,Notre Dame (SJHL),11,Bruce Racine,45,1985
45,Lindsay,215,Daniel Berthiaume,46,1985
46,Spokane (WHL),107,Rob Murray,47,1985
47,Winnipeg (WHL),5,Michael Ware,48,1985
48,Sodertalje (Sweden-2),30,Mike Berger,49,1985
49,Guelph (OHL),193,Dan Vincelette,50,1985
50,Granby (QMJHL),8,Martin Desjardins,51,1985
51,New Westminster (WCHL),792,Brent Gilchrist,52,1985
52,Ottawa (OHL),161,Roger Johansson,53,1985
53,Hotchkiss (High-CT),1022,Fredrik Olausson,54,1985
54,Portland (WHL),846,Bill Houlder,55,1985
55,Brantford (OHL),28,Jeff Serowik,56,1985
56,Sudbury (OHL),49,Steve Gotaas,57,1985
57,Northeastern (H-East),771,Robert Kron,58,1985
58,Tulsa,218,Chris Luongo,59,1985
59,Chicoutimi (QMJHL),46,Petr Prajsler,60,1985
