,Amateur Team,GP,Name,Overall Pick,Year
0,Oshawa (OHL),760,Eric Lindros,1,1991
1,Spokane (WHL),575,Pat Falloon,2,1991
2,Kamloops (WHL),1263,Scott Niedermayer,3,1991
3,Boston University (H-East),819,Scott Lachance,4,1991
4,Michigan (CCHA),839,Aaron Ward,5,1991
5,MoDo Ornskoldsvik (Sweden),708,Peter Forsberg,6,1991
6,Hamilton (OHL),107,Alek Stojanov,7,1991
7,Saskatoon (WHL),796,Richard Matvichuk,8,1991
8,St. Hyacinthe (QMJHL),634,Patrick Poulin,9,1991
9,Laval (QMJHL),991,Martin Lapointe,10,1991
10,Detroit Compuware (NAHL),1256,Brian Rolston,11,1991
11,Swift Current (WHL),613,Tyler Wright,12,1991
12,Granby (QMJHL),748,Philippe Boucher,13,1991
13,Detroit (OHL),134,Pat Peake,14,1991
14,Dynamo Moscow (Russia),1316,Alex Kovalev,15,1991
15,MoDo Ornskoldsvik (Sweden),1117,Markus Naslund,16,1991
16,Seattle (WHL),1009,Glen Murray,17,1991
17,Sudbury (OHL),2,Niklas Sundblad,18,1991
18,AIK Solna (Sweden),961,Martin Rucinsky,19,1991
19,Litvinov (Czech),17,Trevor Halverson,20,1991
20,North Bay (OHL),996,Dean McAmmond,21,1991
21,Prince Albert (WHL),1330,Ray Whitney,22,1991
22,Spokane (WHL),362,Rene Corbet,23,1991
23,Drummondville (QMJHL),1,Eric Lavigne,24,1991
24,Hull (QMJHL),684,Ziggy Palffy,25,1991
25,AC Nitra (Slovakia),1001,Steve Staios,26,1991
26,Niagara Falls (OHL),285,Jim Campbell,27,1991
27,Lawrence Academy (High-MA),812,Jassen Cullimore,28,1991
28,Peterborough (OHL),875,Sandis Ozolinsh,29,1991
29,Dynamo Riga (KHL),521,Jamie Pushor,30,1991
30,TJ Zlin (Czech),366,Jason Dawe,31,1991
31,Lethbridge (WHL),52,Jeff Nelson,32,1991
32,Prince Albert (WHL),25,Rusty Fitzgerald,33,1991
33,Peterborough (OHL),957,Jozef Stumpel,34,1991
34,Peterborough (OHL),8,Francois Groleau,35,1991
35,Prince Albert (WHL),17,Guy Leveque,36,1991
36,Lethbridge (WHL),196,Craig Darby,37,1991
37,Duluth East (High-MN),106,Dody Wood,38,1991
38,Springfield Jr. B,50,Rich Brennan,39,1991
39,AC Nitra (Slovakia),859,Yanic Perreault,40,1991
40,Shawinigan (QMJHL),254,Jamie McLennan,41,1991
41,Cornwall (OHL),30,Dmitri Filimonov,42,1991
42,Albany Academy,35,Yanick Dupre,43,1991
43,Sudbury (OHL),260,Sean Pronger,44,1991
44,Seattle (WHL),736,Sandy McCarthy,45,1991
45,Tabor Academy (High-MA),744,Chris Osgood,46,1991
46,Trois-Rivieres (QMJHL),8,Fredrik Bremberg,47,1991
47,Lethbridge (WHL),790,Steve Konowalchuk,48,1991
48,Dynamo Moscow (Russia),920,Michael Nylander,49,1991
49,Drummondville (QMJHL),106,Yves Sarault,50,1991
50,Bowling Green (CCHA),26,Marcel Cousineau,51,1991
51,Laval (QMJHL),187,Nathan LaFayette,52,1991
52,Hamden (High-CT),557,Dave Karpa,53,1991
53,Medicine Hat (WHL),121,Milan Hnilicka,54,1991
54,Djurgarden (Sweden),699,Igor Kravchuk,55,1991
55,Cushing Academy (High-MA),12,Peter Ambroziak,56,1991
56,Sudbury (OHL),110,Vladimir Vujtek,57,1991
57,Portland (WHL),6,Mike Torchia,58,1991
58,HPK Hameenlinna Jr. (Finland-Jr.),84,Jim Storm,59,1991
59,Lethbridge (WHL),1068,Mike Knuble,60,1991
60,St. Jean (QMJHL),12,Keith Redmond,61,1991
61,Beauport (QMJHL),1085,Alexei Zhitnik,62,1991
62,Minnesota-Duluth (WCHA),11,Brad Tiley,63,1991
63,Tri-City (WHL),113,Aris Brimanis,64,1991
64,Cornwall (OHL),3,Zac Boyer,65,1991
65,Brandon (WHL),2,Patrick Labrecque,66,1991
66,Spokane (WHL),341,Juha Ylonen,67,1991
67,Ferris State (CCHA),5,Steve Junker,68,1991
68,Sudbury (OHL),139,Dan Kesa,69,1991
69,Poldi Kladno (Czech),145,Mike Kennedy,70,1991
70,CSKA Moscow (Russia),26,Yan Kaminsky,71,1991
71,Ottawa (OHL),246,Steve Shields,72,1991
72,Tri-City (WHL),25,Alexei Kudashov,73,1991
73,Kitchener (OHL),777,Bill Lindsay,74,1991
74,Michigan Tech (WCHA),745,Mariusz Czerkawski,75,1991
75,Kalamazoo (NAHL),1,Pauli Jaks,76,1991
76,Richfield (High-MN),193,Rob Valicevic,77,1991
77,Longueuil (QMJHL),43,John Namestnikov,78,1991
78,Bowling Green (CCHA),142,Mark Lawrence,79,1991
79,Kingston (OHL),786,Dmitry Yushkevich,80,1991
80,Sokol Kiev (Russia),1224,Sean O'Donnell,81,1991
81,Virginia (High-MN),547,Brian Holzinger,82,1991
82,Clarkson (ECAC),382,Oleg Petrov,83,1991
83,Sault Ste. Marie (OHL),312,Bruce Gardiner,84,1991
84,Anoka (High-MN),16,Jaroslav Otevrel,85,1991
85,Bowling Green (CCHA),32,Martin Prochazka,86,1991
86,Owen Sound (OHL),377,Andreas Johansson,87,1991
87,Kamloops (WHL),215,Andrei Lomakin,88,1991
88,Sudbury (OHL),233,David Oliver,89,1991
89,St. Jean (QMJHL),34,Chris Snell,90,1991
90,Kiekko-Espoo (Finland),11,Dave Morissette,91,1991
91,Spokane (WHL),68,Ed Patterson,92,1991
92,Westminster (High-CT),34,Kelly Fairchild,93,1991
93,Trois-Rivieres (QMJHL),7,Terry Hollinger,94,1991
94,Prince Albert (WHL),407,Janne Laukkanen,95,1991
95,Vermont (ECAC),556,Dmitri Mironov,96,1991
96,U. of British Columbia (CWUAA),108,Corey Hirsch,97,1991
97,CSKA Moscow (Russia),674,Brian Savage,98,1991
98,Dynamo Moscow (Russia),7,Chris Kenady,99,1991
99,RPI (ECAC),1,Sean Gauthier,100,1991
100,Michigan (CCHA),72,Scott Fraser,101,1991
101,Krylja Sovetov (Russia),4,David Struch,102,1991
102,Tri-City (WHL),98,Dale Craigwell,103,1991
103,Hull (QMJHL),739,Igor Ulanov,104,1991
104,Culver Military Academy (High-IN),1,Jamie Ram,105,1991
105,GKS Tychy (Poland),1,Alexander Andrievski,106,1991
106,Roseau (High-MN),18,Doug Friedman,107,1991
107,Ambri-Piotta (Swiss),2,Neil Little,108,1991
108,Minnetonka,3,Marko Jantunen,109,1991
109,Merritt (BCHL),2,Mikhail Kravets,110,1991
110,Vasteras (Sweden-2),3,Brian Wiseman,111,1991
111,Lethbridge (WHL),54,Andrei Trefilov,112,1991
112,Owen Sound (OHL),3,Mike Gaul,113,1991
113,Detroit Red Wings (OHL),,,114,1991
114,Seattle (WHL),,,115,1991
115,Medicine Hat (WHL),,,116,1991
116,Torpedo Nizhny Novogord (Russia-2),,,117,1991
117,Detroit (OHL),,,118,1991
118,Northern Michigan (WCHA),,,119,1991
119,Sokol Kiev (Russia),,,120,1991
120,Prince Albert (WHL),,,121,1991
121,Torpedo Yaroslavl (KHL),,,122,1991
122,Sudbury (OHL),,,123,1991
123,Detroit Red Wings (OHL),,,124,1991
124,Leksand (Sweden),,,125,1991
125,Nichols (High-NY),,,126,1991
126,CSKA Moscow (Russia),,,127,1991
127,Sudbury (OHL),,,128,1991
128,Miami (Ohio) (CCHA),,,129,1991
129,Ottawa (OHL),,,130,1991
130,Colgate (ECAC),,,131,1991
131,Wisconsin (WCHA),,,132,1991
132,TJ Zlin (Czech),,,133,1991
133,Djurgarden (Sweden),,,134,1991
134,Poldi Kladno (Czech),,,135,1991
135,Falun (Sweden-2),,,136,1991
136,Brown (ECAC),,,137,1991
137,Dynamo Moscow (Russia),,,138,1991
138,Spokane (WHL),,,139,1991
139,Oshawa (OHL),,,140,1991
140,South Kent School (High-CT),,,141,1991
141,CSKA Moscow (Russia),,,142,1991
142,Oshawa (OHL),,,143,1991
143,Michigan (CCHA),,,144,1991
144,Ottawa (OHL),,,145,1991
145,Shawinigan (QMJHL),,,146,1991
146,Edina Kennedy (High-MN),,,147,1991
147,Kamloops (WHL),,,148,1991
148,Haverford (High-PA),,,149,1991
149,Trinity-Pawling (High-NY),,,150,1991
150,Michigan State (CCHA),,,151,1991
151,Grand Rapids (High-MN),,,152,1991
152,Lethbridge (WHL),,,153,1991
153,Powell River (BCHL),,,154,1991
154,Warroad (High-MN),,,155,1991
155,Reipas Lahti (Finland),,,156,1991
156,Ferris State (CCHA),,,157,1991
157,Hull (QMJHL),,,158,1991
158,Ottawa (OHL),,,159,1991
159,Krylja Sovetov (Russia),,,160,1991
160,Armstrong (High-MN),,,161,1991
161,Dukla Jihlava (Czech-2),,,162,1991
162,Kamloops (WHL),,,163,1991
163,Dubuque (USHL),,,164,1991
164,Niagara Falls (OHL),,,165,1991
165,Thunder Bay (USHL),,,166,1991
166,Dukla Jihlava (Czech-2),,,167,1991
167,London (OHL),,,168,1991
168,Kamloops (WHL),,,169,1991
169,Belmont Hill (High-MA),,,170,1991
170,Miami (Ohio) (CCHA),,,171,1991
171,Park (High-MN),,,172,1991
172,Longueuil (QMJHL),,,173,1991
173,Michigan State (CCHA),,,174,1991
174,St. Paul (USHL),,,175,1991
175,Niagara Falls (OHL),,,176,1991
176,Waterloo (USHL),,,177,1991
177,Niagara (OJHL),,,178,1991
178,Drummondville (QMJHL),,,179,1991
179,Niagara Falls (OHL),,,180,1991
180,Kingston (OHL),,,181,1991
181,Armstrong (High-MN),,,182,1991
182,Prince Albert (WHL),,,183,1991
183,St. Paul (USHL),,,184,1991
184,Western Michigan (CCHA),,,185,1991
185,Laval (QMJHL),,,186,1991
186,Anoka (High-MN),,,187,1991
187,Western Michigan (CCHA),,,188,1991
188,Sault Ste. Marie (OHL),,,189,1991
189,St. Jean (QMJHL),,,190,1991
190,Spartak Moscow (KHL),,,191,1991
191,Omaha (USHL),,,192,1991
192,Dartmouth (ECAC),,,193,1991
193,Merrimack (H-East),,,194,1991
194,Saskatoon (WHL),,,195,1991
195,Western Michigan (CCHA),,,196,1991
196,Osseo (High-MN),,,197,1991
197,Choate Academy (High-CT),,,198,1991
198,Oshawa (OHL),,,199,1991
199,Omaha (USHL),,,200,1991
200,North Bay (OHL),,,201,1991
201,Hingham (High-MA),,,202,1991
202,Khimik Voskresensk (Russia-2),,,203,1991
203,Rome Free Academy (High-NY),,,204,1991
204,Kitchener (OHL),,,205,1991
205,Cornwall (OHL),,,206,1991
206,Clarkson (ECAC),,,207,1991
207,Kitchener (OHL),,,208,1991
208,Hamilton (OHL),,,209,1991
209,Valerengen (Norway),,,210,1991
210,St. Lawrence (ECAC),,,211,1991
211,Granby (QMJHL),,,212,1991
212,Michigan Tech (WCHA),,,213,1991
213,Greenway (High-MN),,,214,1991
214,Laval (QMJHL),,,215,1991
215,Michigan State (CCHA),,,216,1991
216,Krylja Sovetov (Russia),,,217,1991
217,Farjestad (Sweden),,,218,1991
218,Colgate (ECAC),,,219,1991
219,Dynamo Moscow (Russia),,,220,1991
220,Cranbrook (High-MI),,,221,1991
221,Boston University (H-East),,,222,1991
222,Arlington Catholic (High-MA),,,223,1991
223,Leksand (Sweden),,,224,1991
224,Western Michigan (CCHA),,,225,1991
225,RPI (ECAC),,,226,1991
226,Moose Jaw (WHL),,,227,1991
227,Kamloops (WHL),,,228,1991
228,Matignon (High-MA),,,229,1991
229,Michigan State (CCHA),,,230,1991
230,Medicine Hat (WHL),,,231,1991
231,CSKA Moscow (Russia),,,232,1991
232,Krylja Sovetov (Russia),,,233,1991
233,Lethbridge (WHL),,,234,1991
234,Torpedo Yaroslavl (KHL),,,235,1991
235,Moose Jaw (WHL),,,236,1991
236,Rochester (USHL),,,237,1991
237,Deerfield Academy (High-MA),,,238,1991
238,Reipas Lahti (Finland),,,239,1991
239,Longueuil (QMJHL),,,240,1991
240,Duluth East (High-MN),,,241,1991
241,Rice Memorial (High-MA),,,242,1991
242,SKA Leningrad (KHL),,,243,1991
243,Drummondville (QMJHL),,,244,1991
244,Alaska-Fairbanks (NCAA-Ind.),,,245,1991
245,North Dakota (WCHA),,,246,1991
246,Dynamo Moscow (Russia),,,247,1991
247,Belleville (OHL),,,248,1991
248,RPI (ECAC),,,249,1991
249,Kauniainen GrlFK,,,250,1991
250,Ohio State (CCHA),,,251,1991
251,Wexford Jr. B (MJHL),,,252,1991
252,Kelowna (BCHL),,,253,1991
253,Karpat Oulu (Finland),,,254,1991
254,Lake Superior State (CCHA),,,255,1991
255,Sudbury (OHL),,,256,1991
256,Michigan (CCHA),,,257,1991
257,Ilves Tampere (Finland),,,258,1991
258,Springfield Jr. B,,,259,1991
259,Dynamo Berlin (Germany),,,260,1991
260,Dynamo Moscow (Russia),,,261,1991
261,St. Lawrence (ECAC),,,262,1991
262,Springfield Jr. B,,,263,1991
263,Lake Forest (High-IL),,,264,1991
