,Amateur Team,GP,Name,Overall Pick,Year
0,Red Deer (WHL),441,Ryan Nugent-Hopkins,1,2011
1,Kitchener (OHL),485,Gabriel Landeskog,2,2011
2,Saint John (QMJHL),362,Jonathan Huberdeau,3,2011
3,Skelleftea (Sweden),399,Adam Larsson,4,2011
4,Niagara (OHL),320,Ryan Strome,5,2011
5,Djurgarden (Sweden),391,Mika Zibanejad,6,2011
6,Barrie (OHL),352,Mark Scheifele,7,2011
7,Drummondville (QMJHL),478,Sean Couturier,8,2011
8,Niagara (OHL),404,Dougie Hamilton,9,2011
9,Farjestad (Sweden),384,Jonas Brodin,10,2011
10,Saskatoon (WHL),8,Duncan Siemens,11,2011
11,Kitchener (OHL),160,Ryan Murphy,12,2011
12,Portland (WHL),256,Sven Baertschi,13,2011
13,Northeastern (H-East),168,Jamie Oleksiak,14,2011
14,USA U-18 (USHL),341,J.T. Miller,15,2011
15,Assat (Finland),160,Joel Armia,16,2011
16,Saint John (QMJHL),270,Nathan Beaulieu,17,2011
17,Prince Albert (WHL),2,Mark McNeill,18,2011
18,Farjestad (Sweden),247,Oscar Klefbom,19,2011
19,USA U-18 (USHL),315,Connor Murphy,20,2011
20,Plymouth (OHL),99,Stefan Noesen,21,2011
21,USA U-18 (USHL),103,Tyler Biggs,22,2011
22,Portland (WHL),79,Joseph Morrow,23,2011
23,Peterborough (OHL),12,Matt Puempel,24,2011
24,Mississauga St. Michael's (OHL),181,Stuart Percy,25,2011
25,Victoriaville (QMJHL),263,Phillip Danault,26,2011
26,London (OHL),31,Vladislav Namestnikov,27,2011
27,Saint John (QMJHL),295,Zack Phillips,28,2011
28,Oshawa (OHL),4,Nicklas Jensen,29,2011
29,Plymouth (OHL),36,Rickard Rakell,30,2011
30,Vancouver (WCHL),37,David Musil,31,2011
31,Portland (WHL),79,Ty Rattie,32,2011
32,USA U-18 (USHL),184,Rocco Grimaldi,33,2011
33,Youngstown (USHL),86,Scott Mayfield,34,2011
34,Saint John (QMJHL),322,Tomas Jurco,35,2011
35,Boston University (H-East),4,Adam Clendening,36,2011
36,Oshawa (OHL),164,Boone Jenner,37,2011
37,Almtuna (Sweden-2),9,Magnus Hellberg,38,2011
38,USA U-18 (USHL),247,John Gibson,39,2011
39,Windsor (OHL),302,Alexander Khokhlachev,40,2011
40,Slavia Praha (Czech),431,Dmitrij Jaskin,41,2011
41,Leksand (Sweden-2),170,Victor Rask,42,2011
42,Saginaw (OHL),224,Brandon Saad,43,2011
43,Sarnia (OHL),192,Brett Ritchie,44,2011
44,HIFK Jr. (Finland-Jr.),317,Markus Granlund,45,2011
45,Moose Jaw (WHL),135,Joel Edmundson,46,2011
46,Boston University (H-East),4,Matthew Nieto,47,2011
47,Montreal (QMJHL),11,Xavier Ouellet,48,2011
48,Chicoutimi (QMJHL),113,Christopher Gibson,49,2011
49,Frolunda (Sweden),244,Johan Sundstrom,50,2011
50,Jokerit Jr. (Finland-Jr.),78,Alexander Ruuttu,51,2011
51,Karpat (Finland),32,Miikka Salomaki,52,2011
52,Vasteras Jr. (Sweden-Jr.),41,William Karlsson,53,2011
53,London (OHL),30,Scott Harrington,54,2011
54,Sault Ste. Marie (OHL),347,Ryan Sproul,55,2011
55,Oshawa (OHL),126,Lucas Lessio,56,2011
56,Portland (WHL),13,Tyler Wotherspoon,57,2011
57,CSKA Jr. (Russia-Jr.),287,Nikita Kucherov,58,2011
58,Rogle Angleholm (Sweden-2),59,Rasmus Bengtsson,59,2011
