,Amateur Team,GP,Name,Overall Pick,Year
114,Sokol Kiev (Russia),,,115,1990
115,Dukla Trencin (Slovakia),,,116,1990
116,Rochester (USHL),,,117,1990
117,Springfield Jr. B,,,118,1990
118,Uppsala (Sweden-2),,,119,1990
119,Kitchener (OHL),,,120,1990
120,St. Paul's (High-NH),,,121,1990
121,Jokerit Helsinki (KHL),,,122,1990
122,Northwood School (High-NY),,,123,1990
123,Stoneham (High-MA),,,124,1990
124,Trinity-Pawling (High-NY),,,125,1990
125,Spokane (WHL),,,126,1990
126,Michigan State (CCHA),,,127,1990
127,Ferris State (CCHA),,,128,1990
128,Kitchener (OHL),,,129,1990
129,Tappara Tampere (Finland),,,130,1990
130,Michigan Tech (WCHA),,,131,1990
131,Governor Dummer (High-MA),,,132,1990
132,CHZ Litvinov (Czech),,,133,1990
133,Rochester (USHL),,,134,1990
134,Dukla Trencin (Slovakia),,,135,1990
135,Governor Dummer (High-MA),,,136,1990
136,Roseville (High-MN),,,137,1990
137,Trinity-Pawling (High-NY),,,138,1990
138,Choate Academy (High-CT),,,139,1990
139,Cushing Academy (High-MA),,,140,1990
140,VSZ Kosice (Slovakia),,,141,1990
141,Krylja Sovetov (Russia),,,142,1990
142,Western Michigan (CCHA),,,143,1990
143,Culver Military Academy (High-IN),,,144,1990
144,Michigan (CCHA),,,145,1990
145,Dynamo Moscow (Russia),,,146,1990
146,Hotchkiss (High-CT),,,147,1990
147,CSKA Moscow (Russia),,,148,1990
148,Oshawa (OHL),,,149,1990
149,Michigan State (CCHA),,,150,1990
150,AIK Solna (Sweden),,,151,1990
151,Boston University (H-East),,,152,1990
152,Longueuil (QMJHL),,,153,1990
153,Lake Superior State (CCHA),,,154,1990
154,Lethbridge (WHL),,,155,1990
155,Kosice (Slovakia),,,156,1990
156,Michigan (CCHA),,,157,1990
157,Dynamo Moscow (Russia),,,158,1990
158,London (OHL),,,159,1990
159,Roseau (High-MN),,,160,1990
160,Vasteras (Sweden-2),,,161,1990
161,Clarkson (ECAC),,,162,1990
162,Clarkson (ECAC),,,163,1990
163,Dukla Jihlava (Czech-2),,,164,1990
164,Portland (WHL),,,165,1990
165,Zetor Brno (Czech),,,166,1990
166,Hill-Murray (High-MN),,,167,1990
167,Waterloo (USHL),,,168,1990
168,Humboldt (Sweden-Jr.),,,169,1990
169,Victoria (WHL),,,170,1990
170,Hill-Murray (High-MN),,,171,1990
171,Lukko Rauma (Finland),,,172,1990
172,Slovan Bratislava (KHL),,,173,1990
173,Avon Old Farms (High-CT),,,174,1990
174,St. Hyacinthe (QMJHL),,,175,1990
175,Minnesota-Duluth (WCHA),,,176,1990
176,Bowling Green (CCHA),,,177,1990
177,Dukla Jihlava (Czech-2),,,178,1990
178,Ceske Budejovice (Czech-2),,,179,1990
179,Melfort (SJHL),,,180,1990
180,Beverly (High-MA),,,181,1990
181,Assat Pori (Finland),,,182,1990
182,Nipawin (OJHL),,,183,1990
183,Owen Sound (OHL),,,184,1990
184,Sparta Praha (Czech),,,185,1990
185,Delbarton (High-NJ),,,186,1990
186,Niagara Falls (OHL),,,187,1990
187,Cushing Academy (High-MA),,,188,1990
188,Minot (SJHL),,,189,1990
189,U. of Manitoba (CWUAA),,,190,1990
190,Prince Albert (WHL),,,191,1990
191,Avon Old Farms (High-CT),,,192,1990
192,Bloomington-Kennedy (High-MN),,,193,1990
193,Canterbury (High-CT),,,194,1990
194,Culver Military Academy (High-IN),,,195,1990
195,HV 71 Jonkoping (Sweden),,,196,1990
196,Ottawa (OHL),,,197,1990
197,Providence (H-East),,,198,1990
198,Arlington Catholic (High-MA),,,199,1990
199,Seattle (WHL),,,200,1990
200,U. of Maine (H-East),,,201,1990
201,Monona Grove (High-NY),,,202,1990
202,KooKoo Kouvola (Finland),,,203,1990
203,Valerengen (Norway),,,204,1990
204,Brockton (High-MA),,,205,1990
205,Skoda Plzen (Czech),,,206,1990
206,Duluth East (High-MN),,,207,1990
207,Laval (QMJHL),,,208,1990
208,Victoria (WHL),,,209,1990
209,Mount St. Charles (High-RI),,,210,1990
210,Jokerit Helsinki (KHL),,,211,1990
211,North Bay (OHL),,,212,1990
212,Duluth-Denfield (High-MN),,,213,1990
213,Djurgarden (Sweden),,,214,1990
214,Michigan State (CCHA),,,215,1990
215,St. Lawrence (ECAC),,,216,1990
216,Windsor (OHL),,,217,1990
217,Furuset,,,218,1990
218,Colgate (ECAC),,,219,1990
219,Northfield-Mt. Hermon (High-MA),,,220,1990
220,Khimik Voskresensk (Russia-2),,,221,1990
221,Peterborough (OHL),,,222,1990
222,Wayzata (High-MN),,,223,1990
223,Khimik Voskresensk (Russia-2),,,224,1990
224,Prince Albert (WHL),,,225,1990
225,Clarkson (ECAC),,,226,1990
226,Kitchener (OHL),,,227,1990
227,Belmont Hill (High-MA),,,228,1990
228,Niagara Falls (OHL),,,229,1990
229,Alaska-Fairbanks (NCAA-Ind.),,,230,1990
230,Ilves Tampere (Finland),,,231,1990
231,Lake Superior State (CCHA),,,232,1990
232,Roseau (High-MN),,,233,1990
233,Colorado College (WCHA),,,234,1990
234,Detroit Compuware (NAHL),,,235,1990
235,Colgate (ECAC),,,236,1990
236,West High (High-WI),,,237,1990
237,London (OHL),,,238,1990
238,Governor Dummer (High-MA),,,239,1990
239,Tabor Academy (High-MA),,,240,1990
240,Xaverian (High-MA),,,241,1990
241,Krylja Sovetov (Russia),,,242,1990
242,Alaska-Anchorage (NCAA-Ind.),,,243,1990
243,Laval (QMJHL),,,244,1990
244,Northeastern (H-East),,,245,1990
245,Kiekko-Espoo (Finland),,,246,1990
246,Torpedo Jaroslav (KHL),,,247,1990
247,Lethbridge (WHL),,,248,1990
248,Sparta Praha (Czech),,,249,1990
249,Belleville (OHL),,,250,1990
250,,,,251,1990
251,,,,252,1990
