,Amateur Team,GP,Name,Overall Pick,Year
0,Nacka (Sweden),1346,Mats Sundin,1,1989
1,Kamloops (WHL),126,Dave Chyzowski,2,1989
2,Belleville (OHL),941,Scott Thornton,3,1989
3,Tri-City (WHL),1136,Stu Barnes,4,1989
4,Springfield Jr. B,1263,Bill Guerin,5,1989
5,Sudbury (OHL),69,Adam Bennett,6,1989
6,John Marshall (High-MN),467,Doug Zmolek,7,1989
7,North Dakota (WCHA),1,Jason Herter,8,1989
8,Vernon (BCHL),526,Jason Marshall,9,1989
9,Dukla Jihlava (Czech-2),1314,Bobby Holik,10,1989
10,Regina (WHL),1049,Mike Sillinger,11,1989
11,Belleville (OHL),269,Rob Pearson,12,1989
12,Seattle (WHL),1,Lindsay Vallis,13,1989
13,Regina (WHL),642,Kevin Haller,14,1989
14,Niagara Falls (OHL),394,Jamie Heward,15,1989
15,Regina (WHL),27,Shayne Stevenson,16,1989
16,Kitchener (OHL),6,Jason Miller,17,1989
17,Medicine Hat (WHL),719,Olaf Kolzig,18,1989
18,Tri-City (WHL),329,Steven Rice,19,1989
19,Kitchener (OHL),6,Steve Bancroft,20,1989
20,Belleville (OHL),1154,Adam Foote,21,1989
21,Sault Ste. Marie (OHL),970,Travis Green,22,1989
22,Spokane (WHL),646,Kent Manderville,23,1989
23,Notre Dame (SJHL),1,Dan Ratushny,24,1989
24,Cornell (ECAC),115,Jarrod Skalde,25,1989
25,Oshawa (OHL),423,Mike Craig,26,1989
26,Guelph (OHL),1009,Patrice Brisebois,27,1989
27,Oshawa (OHL),630,Bob Boughner,28,1989
28,Deerfield Academy (High-MA),785,Greg Johnson,29,1989
29,Laval (QMJHL),56,Patrik Juhlin,30,1989
30,London (OHL),415,Byron Dafoe,31,1989
31,Sault Ste. Marie (OHL),530,Paul Laus,32,1989
32,Thunder Bay (USHL),121,Brent Thompson,33,1989
33,Vasteras (Sweden-2),26,Steve Larouche,34,1989
34,Portland (WHL),414,Ted Drury,35,1989
35,Kitchener (OHL),90,Stephane Morin,36,1989
36,Niagara Falls (OHL),27,Jason Zent,37,1989
37,Guelph (OHL),798,Rob Zamuner,38,1989
38,Medicine Hat (WHL),3,Jason Cirone,39,1989
39,Medicine Hat (WHL),536,Scott Pellerin,40,1989
40,Trois-Rivieres (QMJHL),401,Louie DeBrusk,41,1989
41,Fairfield Prep (High-CT),78,Pierre Sevigny,42,1989
42,Chicoutimi (QMJHL),196,Blair Atcheynum,43,1989
43,Nichols (High-NY),1564,Nicklas Lidstrom,44,1989
44,Guelph (OHL),21,John Tanner,45,1989
45,Cornwall (OHL),18,Denny Felsner,46,1989
46,U. of Maine (H-East),63,Scott Thomas,47,1989
47,Springfield Jr. B,607,Wes Walz,48,1989
48,London (OHL),2,Jim Mathieson,49,1989
49,HIFK Helsinki (Finland),718,Jason Woolley,50,1989
50,Trois-Rivieres (QMJHL),1157,Kris Draper,51,1989
51,Moose Jaw (WHL),97,Brent Grieve,52,1989
52,Vasteras (Sweden-2),76,Matt Martin,53,1989
53,Peterborough (OHL),511,Jim Cummins,54,1989
54,Michigan (CCHA),164,Niklas Andersson,55,1989
55,Nichols (High-NY),830,Robert Reichel,56,1989
56,Lethbridge (WHL),37,Brett Hauer,57,1989
57,Grand Rapids (High-MN),301,Reid Simpson,58,1989
58,Regina (WHL),880,Jim McKenzie,59,1989
59,Medicine Hat (WHL),1248,Sergei Fedorov,60,1989
60,Michigan State (CCHA),22,Jean-Francois Quintin,61,1989
61,Canadian National,11,Doug MacDonald,62,1989
62,Lethbridge (WHL),531,Josef Beranek,63,1989
63,Boston University (H-East),3,Todd Nelson,64,1989
64,Oshawa (OHL),782,Trent Klatt,65,1989
65,Avon Old Farms (High-CT),68,Andre Racicot,66,1989
66,Michigan State (CCHA),53,Pat MacLeod,67,1989
67,Vastra Frolunda (Sweden),677,Aaron Miller,68,1989
68,Harvard (ECAC),220,Peter White,69,1989
69,CHZ Litvinov (Czech),48,Daniel Laperriere,70,1989
70,Richfield (High-MN),352,James Black,71,1989
71,Prince Albert (WHL),9,Shawn McCosh,72,1989
72,Victoria (WHL),388,Ken Sutton,73,1989
73,CSKA Moscow (Russia),29,Dan Lambert,74,1989
74,Shawinigan (QMJHL),429,Dan Bylsma,75,1989
75,Laval (QMJHL),34,David Emma,76,1989
76,Wisconsin (WCHA),702,Pavel Bure,77,1989
77,CHZ Litvinov (Czech),125,David Roberts,78,1989
78,Prince Albert (WHL),1009,Dallas Drake,79,1989
79,Victoria (WHL),25,Joby Messier,80,1989
80,Illinois-Chicago (CCHA),362,Anatoli Semenov,81,1989
81,Osseo (High-MN),86,Mike Needham,82,1989
82,Granby (QMJHL),10,Sergei Mylnikov,83,1989
83,Hermantown (High-MN),78,Brett Harkins,84,1989
84,Minnesota-Duluth (WCHA),16,Jeff Batters,85,1989
85,Grand Rapids (High-MN),149,Scott Daniels,86,1989
86,Kamloops (WHL),22,Davis Payne,87,1989
87,Niagara (OJHL),27,Craig Ferguson,88,1989
88,Avon Old Farms (High-CT),16,Sergei Starikov,89,1989
89,Moose Jaw (WHL),23,Milan Tichy,90,1989
90,Minnetonka,450,Derek Plante,91,1989
91,Michigan State (CCHA),2,Darcy Martini,92,1989
92,St. Lawrence (ECAC),21,Sean Whyte,93,1989
93,Portland (WHL),15,Patrick Lebeau,94,1989
94,Niagara Falls (OHL),5,Kevin Wortman,95,1989
95,Mount St. Charles (High-RI),47,Andre Faust,96,1989
96,Miami (Ohio) (CCHA),236,Sandy Moger,97,1989
97,Saskatoon (WHL),166,Michel Picard,98,1989
98,Catholic Memorial (High-MA),735,Donald Audette,99,1989
99,Edina (High-MN),3,Roy Mitchell,100,1989
100,Kitchener (OHL),712,Vladimir Malakhov,101,1989
101,Granby (QMJHL),75,Mark Astley,102,1989
102,Blaine (High-MN),568,Arturs Irbe,103,1989
103,Cornell (ECAC),153,Roman Oksiuta,104,1989
104,Belmont Hill (High-MA),63,Jim Hiller,105,1989
105,Swift Current (WHL),5,Jason Simon,106,1989
106,Northern Michigan (WCHA),240,Tom Pederson,107,1989
107,Cornell (ECAC),446,Vladimir Konstantinov,108,1989
108,Bowling Green (CCHA),4,Justin Duberman,109,1989
109,Boston College (H-East),94,Iain Fraser,110,1989
110,Kanata (CJHL),155,Evgeny Davydov,111,1989
111,CSKA Moscow (Russia),26,Helmut Balderis,112,1989
112,Avon Old Farms (High-CT),7,Sergei Kharin,113,1989
113,Moose Jaw (WHL),,,114,1989
114,Northern Michigan (WCHA),,,115,1989
115,Michigan State (CCHA),,,116,1989
116,U. of Maine (H-East),,,117,1989
117,Dynamo Moscow (Russia),,,118,1989
118,Denver (WCHA),,,119,1989
119,Catholic Memorial (High-MA),,,120,1989
120,Farjestad (Sweden),,,121,1989
121,Ferris State (CCHA),,,122,1989
122,Northwood School (High-NY),,,123,1989
123,Kamloops (WHL),,,124,1989
124,Traktor Chelyabinsk (KHL),,,125,1989
125,Roseau (High-MN),,,126,1989
126,Portledge (High-NY),,,127,1989
127,HPK Hameenlinna (Finland),,,128,1989
128,Michigan (CCHA),,,129,1989
129,Prince Albert (WHL),,,130,1989
130,Detroit Compuware (NAHL),,,131,1989
131,Windsor (OHL),,,132,1989
132,Alaska-Anchorage (NCAA-Ind.),,,133,1989
133,Regina (WHL),,,134,1989
134,Culver Military Academy (High-IN),,,135,1989
135,Belmont Hill (High-MA),,,136,1989
136,Portland (WHL),,,137,1989
137,Michigan Tech (WCHA),,,138,1989
138,Dynamo Moscow (Russia),,,139,1989
139,Hill-Murray (High-MN),,,140,1989
140,Dukla Trencin (Slovakia),,,141,1989
141,Michigan (CCHA),,,142,1989
142,Peterborough (OHL),,,143,1989
143,Yale (ECAC),,,144,1989
144,Cornell (ECAC),,,145,1989
145,Alaska-Anchorage (NCAA-Ind.),,,146,1989
146,Kamloops (WHL),,,147,1989
147,North Bay (OHL),,,148,1989
148,Bowling Green (CCHA),,,149,1989
149,CSKA Moscow (Russia),,,150,1989
150,Skoda Plzen (Czech),,,151,1989
151,Pingree (High-MA),,,152,1989
152,Kitchener (OHL),,,153,1989
153,Parkway North (High-MO),,,154,1989
154,Trois-Rivieres (QMJHL),,,155,1989
155,Western Michigan (CCHA),,,156,1989
156,Belmont Hill (High-MA),,,157,1989
157,Tri-City (WHL),,,158,1989
158,Cloquet (High-MN),,,159,1989
159,Michigan Tech (WCHA),,,160,1989
160,Victoria (WHL),,,161,1989
161,Kitchener (OHL),,,162,1989
162,Guelph (OHL),,,163,1989
163,Saskatoon (WHL),,,164,1989
164,St. Jean (QMJHL),,,165,1989
165,American International (ECAC-3),,,166,1989
166,CSKA Moscow (Russia),,,167,1989
167,New Hampton School (High-NH),,,168,1989
168,Berwick,,,169,1989
169,Cornell (ECAC),,,170,1989
170,Princeton (ECAC),,,171,1989
171,Colgate (ECAC),,,172,1989
172,St. Joseph (High-MA),,,173,1989
173,Lake Superior State (CCHA),,,174,1989
174,Rindge & Latin (High-MA),,,175,1989
175,Trois-Rivieres (QMJHL),,,176,1989
