,Amateur Team,GP,Name,Overall Pick,Year
0,Rimouski (QMJHL),1212,Vincent Lecavalier,1,1998
1,Plymouth (OHL),1136,David Legwand,2,1998
2,Regina (WHL),1056,Brad Stuart,3,1998
3,Oshawa (OHL),721,Bryan Allen,4,1998
4,Torpedo Yaroslavl 2 (Russia-2),552,Vitaly Vishnevski,5,1998
5,London (OHL),230,Rico Fata,6,1998
6,Guelph (OHL),991,Manny Malhotra,7,1998
7,Ottawa (OHL),450,Mark Bell,8,1998
8,Erie (OHL),610,Mike Rupp,9,1998
9,Torpedo Ust-Kamenogorsk (Russia-2),788,Nik Antropov,10,1998
10,Sarnia (OHL),32,Jeff Heerema,11,1998
11,Halifax (QMJHL),1088,Alex Tanguay,12,1998
12,Barrie (OHL),11,Patrick DesRochers,13,1998
13,Sarnia (OHL),1,Mathieu Chouinard,14,1998
14,Shawinigan (QMJHL),90,Eric Chouinard,15,1998
15,Quebec (QMJHL),776,Martin Skoula,16,1998
16,Barrie (OHL),539,Dmitri Kalinin,17,1998
17,Traktor Chelyabinsk (KHL),1089,Robyn Regehr,18,1998
18,Kamloops (WHL),308,Scott Parker,19,1998
19,Kelowna (WHL),253,Mathieu Biron,20,1998
20,Shawinigan (QMJHL),822,Simon Gagne,21,1998
21,Quebec (QMJHL),207,Milan Kraft,22,1998
22,Keramika Plzen Jr. (Czech-Jr.),302,Christian Backman,23,1998
23,Vastra Frolunda Jr. (Sweden-Jr.),305,Jiri Fischer,24,1998
24,Hull (QMJHL),353,Mike Van Ryn,25,1998
25,Michigan (CCHA),1079,Scott Gomez,26,1998
26,Tri-City (WHL),68,Ramzi Abid,27,1998
27,Chicoutimi (QMJHL),501,Jonathan Cheechoo,28,1998
28,Belleville (OHL),11,Kyle Rossiter,29,1998
29,Spokane (WHL),228,Artem Chubarov,30,1998
30,Dynamo Moscow (Russia),130,Stephen Peat,31,1998
31,Red Deer (WHL),477,Blair Betts,32,1998
32,Prince George (WHL),229,Andrew Peters,33,1998
33,Oshawa (OHL),18,Petr Svoboda,34,1998
34,Havlickuv Brod,52,Chris Nielsen,35,1998
35,Calgary (WHL),86,Christian Berglund,36,1998
36,Farjestad Jr. (Sweden-Jr.),32,Philippe Sauve,37,1998
37,Rimouski (QMJHL),491,John Erskine,38,1998
