,Amateur Team,GP,Name,Overall Pick,Year
0,Laval (QMJHL),915,Mario Lemieux,1,1984
1,Guelph (OHL),1349,Kirk Muller,2,1984
2,Team USA,1031,Ed Olczyk,3,1984
3,Belleville (OHL),799,Al Iafrate,4,1984
4,CHZ Litvinov (Czech),1028,Petr Svoboda,5,1984
5,Denver (WCHA),191,Craig Redmond,6,1984
6,Kitchener (OHL),878,Shawn Burr,7,1984
7,Brantford (OHL),1156,Shayne Corson,8,1984
8,Kamloops (WHL),1071,Doug Bodger,9,1984
9,Longueuil (QMJHL),899,J.J. Daigneault,10,1984
10,Quebec (QMJHL),1171,Sylvain Cote,11,1984
11,Ottawa (OHL),1224,Gary Roberts,12,1984
12,Cranston (High-CT),858,Terry Carkner,13,1984
13,Peterborough (OHL),71,Trevor Stienburg,14,1984
14,Guelph (OHL),44,Roger Belanger,15,1984
15,Kingston (OHL),1157,Kevin Hatcher,16,1984
16,North Bay (OHL),761,Mikael Andersson,17,1984
17,Vastra Frolunda (Sweden),76,Dave Pasin,18,1984
18,Prince Albert (WHL),18,Selmar Odelein,19,1984
19,Saskatoon (WHL),229,Greg Smyth,20,1984
20,Regina (WHL),332,Craig Billington,21,1984
21,London (OHL),48,Brian Wilks,22,1984
22,Belleville (OHL),1007,Todd Gill,23,1984
23,Kitchener (OHL),568,Brian Benning,24,1984
24,Windsor (OHL),1431,Scott Mellanby,25,1984
25,Portland (WHL),561,Doug Houda,26,1984
26,Henry Carr Jr. B (MJHL),1054,Stephane Richer,27,1984
27,Calgary (WHL),321,Peter Douris,28,1984
28,Granby (QMJHL),9,Jeff Rohlicek,29,1984
29,New Hampshire (H-East),758,Tony Hrkac,30,1984
30,Portland (WHL),74,Ken Sabourin,31,1984
31,Orillia (OJHL),702,Stephen Leach,32,1984
32,Sault Ste. Marie (OHL),117,Raimo Helminen,33,1984
33,Matignon (High-MA),747,Jeff Brown,34,1984
34,Ilves Tampere (Finland),262,Jeff Chychrun,35,1984
35,Sudbury (OHL),1013,Paul Ranheim,36,1984
36,Kingston (OHL),2,Doug Trapp,37,1984
37,Edina (High-MN),8,Ray Podloski,38,1984
38,Regina (WHL),27,Daryl Reaugh,39,1984
39,Portland (WHL),593,Trent Yawney,40,1984
40,St. John,142,Ken Hodge,41,1984
41,Kamloops (WHL),53,John Stevens,42,1984
42,Chilliwack (BCHL),3,John English,43,1984
43,Michigan State (CCHA),14,Milan Chalupa,44,1984
44,Saskatoon (WHL),1029,Patrick Roy,45,1984
45,St. John's (High-MA),56,David Saunders,46,1984
46,Oshawa (OHL),402,Robert Dirk,47,1984
47,Sault Ste. Marie (OHL),725,Steven Finn,48,1984
48,Dukla Jihlava (Czech-2),23,Mike Stevens,49,1984
49,St. Albans (High-VT),825,Michal Pivonka,50,1984
50,Granby (QMJHL),817,Ray Sheppard,51,1984
51,St. Lawrence (ECAC),799,Jeff Norton,52,1984
52,Regina (WHL),174,Jeff Reese,53,1984
53,Windsor (OHL),532,Paul Ysebaert,54,1984
54,Calgary (WHL),322,Paul Broten,55,1984
55,Providence (High-RI),849,Kris King,56,1984
56,Laval (QMJHL),256,Bob Halkidis,57,1984
57,Kitchener (OHL),158,Bob Joyce,58,1984
58,Poldi SNOP Kladno (Czech),60,Ari Haanpaa,59,1984
59,Cornwall (OHL),14,Arto Javanainen,60,1984
60,Toronto (OHL),103,Jon Morris,61,1984
61,Cushing Academy (High-MA),6,Jack Capuano,62,1984
62,St. Paul (High-MN),1,Brett MacDonald,63,1984
63,Ottawa (OHL),142,Kari Takko,64,1984
64,Grafton H.S. (High-WI),35,Clark Donatelli,65,1984
65,Umea,328,Brent Severyn,66,1984
66,London (OHL),63,Brian Dobbin,67,1984
67,Scarborough,1,Darin Sceviour,68,1984
68,Concord (High-MA),1,Mike Murray,69,1984
69,Rochester (High-MN),29,Emanuel Viveiros,70,1984
70,Longueuil (QMJHL),612,Kirk McLean,71,1984
71,Brockville (CCHL),78,Mike Millar,72,1984
72,Kamloops (WHL),2,Chris Clifford,73,1984
73,Petrolia Jr. B (GOJHL),144,Steve Tuttle,74,1984
74,Dukla Jihlava (Czech-2),1269,Brett Hull,75,1984
75,Rakovnik,813,Kjell Samuelsson,76,1984
76,Roseau (High-MN),2,Mike Vellucci,77,1984
77,Campbell River,697,Mike Stapleton,78,1984
78,Grand Forks (KIJHL),1137,Cliff Ronning,79,1984
79,Peterborough (OHL),203,Luciano Borsato,80,1984
80,London (OHL),191,Darcy Wakaluk,81,1984
81,Notre Dame (SJHL),67,Derek Laxdal,82,1984
82,Ilves Tampere (Finland),15,Jim Vesey,83,1984
83,Squamish,148,Brad Jones,84,1984
84,Assat Pori (Finland),81,Jim Agnew,85,1984
85,Chelmsford H.S. (High-MA),250,Jiri Hrdina,86,1984
86,St. Paul (High-MN),1115,Don Sweeney,87,1984
87,Kent School (High-CT),518,Todd Ewen,88,1984
88,Pardubice (Czech),1431,Luc Robitaille,89,1984
89,Helsinki (Finland),1145,Gary Suter,90,1984
90,Skelleftea (Sweden),115,Jim Thomson,91,1984
91,Chicago (USHL),458,Mike Peluso,92,1984
92,Rochester (High-MN),174,Tom Tilley,93,1984
93,North Bay (OHL),620,Kevin Miller,94,1984
94,Meadow Lake,59,Ken Quinney,95,1984
95,Helsinki (Finland),564,Paul Cavallini,96,1984
96,Assat Pori (Finland),396,David Volek,97,1984
97,Stratford Jr. B (GOJHL),6,Jim Culhane,98,1984
98,Seattle (WHL),126,David Mackey,99,1984
99,London (OHL),161,Mikhail Tatarinov,100,1984
100,Lethbridge (WHL),15,Simon Wheeldon,101,1984
101,St. Paul (USHL),8,Peter Loob,102,1984
102,London (OHL),,,103,1984
103,London (OHL),,,104,1984
104,Toronto (OHL),,,105,1984
105,Prince Albert (WHL),,,106,1984
106,Oshawa (OHL),,,107,1984
107,Muenster,,,108,1984
108,Sydney,,,109,1984
109,Brantford (OHL),,,110,1984
110,Kingston (OHL),,,111,1984
111,Edmonton (WHL),,,112,1984
112,Richmond Jr.,,,113,1984
113,Providence (High-RI),,,114,1984
