,Amateur Team,GP,Name,Overall Pick,Year
0,BARRIE (OHL),286,Aaron Ekblad,1,2014
1,KOOTENAY (WHL),230,Sam Reinhart,2,2014
2,PRINCE ALBERT (WHL),249,Leon Draisaitl,3,2014
3,KINGSTON (OHL),222,Samuel Bennett,4,2014
4,OSHAWA (OHL),4,Michael Dal Colle,5,2014
5,CALGARY (WHL),121,Jake Virtanen,6,2014
6,RED DEER (WHL),49,Haydn Fleury,7,2014
7,MODO (Sweden),167,William Nylander,8,2014
8,HALIFAX (QMJHL),216,Nikolaj Ehlers,9,2014
9,PETERBOROUGH (OHL),168,Nicholas Ritchie,10,2014
10,HV 71 JR. (Sweden-Jr.),120,Kevin Fiala,11,2014
11,NIAGARA (OHL),112,Brendan Perlini,12,2014
12,LINKOPING (Sweden),77,Jakub Vrana,13,2014
13,SWIFT CURRENT (WHL),46,Julius Honka,14,2014
14,USA U-18 (USHL),222,Dylan Larkin,15,2014
15,USA U-18 (USHL),42,Sonny Milano,16,2014
16,CALGARY (WHL),35,Travis Sanheim,17,2014
17,USA U-18 (USHL),63,Alex Tuch,18,2014
18,SARNIA (OHL),64,Anthony Deangelo,19,2014
19,GREEN BAY (USHL),120,Nick Schmaltz,20,2014
20,GUELPH (OHL),123,Robert Fabbri,21,2014
21,KALPA (Finland),38,Kasperi Kapanen,22,2014
22,RED DEER (WHL),144,Conner Bleackley,23,2014
23,SAULT STE. MARIE (OHL),232,Jared McCann,24,2014
24,SODERTALJE (Sweden-2),12,David Pastrnak,25,2014
25,SASKATOON (WHL),42,Nikita Scherbak,26,2014
26,SARNIA (OHL),43,Nikolay Goldobin,27,2014
27,WINDSOR (OHL),86,Joshua Ho-Sang,28,2014
28,MODO (Sweden),14,Adrian Kempe,29,2014
29,BRANDON (WHL),9,John Quenneville,30,2014
30,BARRIE (OHL),64,Brendan Lemieux,31,2014
31,BRANDON (WHL),1,Jayce Hawryluk,32,2014
32,MONCTON (QMJHL),6,Ivan Barbashev,33,2014
33,CHARLOTTETOWN (QMJHL),5,Mason McDonald,34,2014
34,SLAVIA JR. (Czech),3,Dominik Masin,35,2014
35,BOSTON COLLEGE (H-East),3,Thatcher Demko,36,2014
36,PLYMOUTH (OHL),89,Alex Nedeljkovic,37,2014
37,SKELLEFTEA JR. (Sweden-Jr.),140,Marcus Pettersson,38,2014
38,LIBEREC JR. (Czech),1,Vitek Vanecek,39,2014
39,DJURGARDEN (Sweden-2),5,Andreas Englund,40,2014
40,INDIANA (USHL),79,Joshua Jacobs,41,2014
41,MAGNITOGORSK 2 (Russia-Jr.),10,Vladislav Kamenev,42,2014
42,KITCHENER (OHL),6,Ryan MacInnis,43,2014
43,PETERBOROUGH (OHL),130,Eric Cornel,44,2014
44,EDMONTON (WHL),9,Brett Pollock,45,2014
45,FROLUNDA JR. (Sweden-Jr.),23,Julius Bergman,46,2014
46,USA U-18 (USHL),14,Ryan Collins,47,2014
47,VAL-D'OR (QMJHL),2,Nicolas Aube-Kubel,48,2014
48,GATINEAU (QMJHL),10,Vaclav Karabacek,49,2014
49,KINGSTON (OHL),201,Roland McKeown,50,2014
50,USA U-18 (USHL),64,Jack Dougherty,51,2014
51,YOUNGSTOWN (USHL),79,Maxim Letunov,52,2014
52,GENEVE JR. (SWISS-JR.),3,Noah Rod,53,2014
53,OSHAWA (OHL),55,Hunter Smith,54,2014
54,WATERLOO (USHL),30,Brandon Montour,55,2014
55,Dexter School (High-MA),113,Ryan Donato,56,2014
56,USA U-18 (USHL),11,Johnathan McLeod,57,2014
57,LONDON (OHL),101,Christian Dvorak,58,2014
58,SAULT STE. MARIE (OHL),,Brandon Halverson,59,2014
59,OTTAWA (OHL),,Alex Lintuniemi,60,2014
60,BRYNAS JR. (Sweden-Jr.),,Jonas Johansson,61,2014
61,KELOWNA (WHL),,Justin Kirkland,62,2014
62,PORTLAND (WHL),,Dominic Turgeon,63,2014
63,SPRUCE GROVE (AJHL),,Brandon Hickey,64,2014
64,ASSAT JR. (Finland-Jr.),,Juho Lammikko,65,2014
65,YEKATERINBURG (Russia),,Nikita Tryamkin,66,2014
66,ST. ANDREWS (HIGH-ON),,Warren Foegele,67,2014
67,KOOTENAY (WHL),,Rinat Valiev,68,2014
68,USA U-18 (USHL),,Jack Glover,69,2014
69,RIVERS ACADEMY (High-MA),,Miles Gendron,70,2014
70,PLYMOUTH (OHL),,Connor Chatham,71,2014
71,PORTLAND (WHL),,Alex Schoenborn,72,2014
72,SWIFT CURRENT (WHL),,Brett Lernout,73,2014
73,SWIFT CURRENT (WHL),,Brycen Martin,74,2014
74,PLYMOUTH (OHL),,Alexander Peters,75,2014
75,LUGANO (Swiss),,Elvis Merzlikins,76,2014
76,NIAGARA (OHL),,Blake Siebenaler,77,2014
77,NOVOKUZNETSK (Russia),,Ilya Sorokin,78,2014
78,MOOSE JAW (WHL),,Brayden Point,79,2014
79,USA U-18 (USHL),,Louis Belpedio,80,2014
80,SAGINAW (OHL),,Dylan Sadowy,81,2014
81,TORONTO JC (OJHL),,Jake Walman,82,2014
82,MUSKEGON (USHL),,Matheson Iacopelli,83,2014
83,NORTH BAY (OHL),,Kyle Wood,84,2014
84,PORTLAND (WHL),,Keegan Iverson,85,2014
85,WATERLOO (USHL),,Mark Friedman,86,2014
86,FROLUNDA JR. (Sweden-Jr.),,Anton Karlsson,87,2014
87,SOUTH SHORE (USPHL),,Beau Starrett,88,2014
88,Hershey (AHL),,Nathan Walker,89,2014
89,NORTH BAY (OHL),,Michael Amadio,90,2014
90,FROLUNDA JR. (Sweden-Jr.),,William Lagesson,91,2014
91,USA U-18 (USHL),,Joe Wegwerth,92,2014
92,KITCHENER (OHL),,Nicholas Magyar,93,2014
93,HIFK (Finland),,Ville Husso,94,2014
94,DJURGARDEN JR. (Sweden-Jr.),,Linus Soderstrom,95,2014
95,PLYMOUTH (OHL),,Josh Wesley,96,2014
96,LULEA (Sweden),,Lucas Wallmark,97,2014
97,CHICAGO (USHL),,Frederik Olofsson,98,2014
98,PORTLAND (WHL),,Chase De Leo,99,2014
99,DUBUQUE (USHL),,Shane Eiserman,100,2014
100,SASKATOON (WHL),,Nelson Nogier,101,2014
101,BAIE-COMEAU (QMJHL),,Alexis Vanier,102,2014
102,YOUNGSTOWN (USHL),,John Piccinich,103,2014
103,INDIANA (USHL),,Ryan Mantha,104,2014
104,TORONTO LAKESHORE (OJHL),,Michael Prapavessis,105,2014
105,FROLUNDA JR. (Sweden-Jr.),,Christoffer Ehn,106,2014
106,CAPE BRETON (QMJHL),,Julien Pelletier,107,2014
107,Quinnipiac (ECAC),,Devon Toews,108,2014
108,BLUES JR. (Finland-Jr.),,Kaapo Kahkonen,109,2014
109,TRI-CITY (USHL),,Austin Poganski,110,2014
110,Michigan (Big Ten),,Zachary Nagelvoort,111,2014
111,SKELLEFTEA (Sweden),,Viktor Arvidsson,112,2014
112,Deerfield (High-MA),,Sam Lafferty,113,2014
113,GATINEAU (QMJHL),,Alexis Pepin,114,2014
114,NIAGARA (OHL),,Brent Moran,115,2014
115,SURREY (BCHL),,Danton Heinen,116,2014
116,SAULT STE. MARIE (OHL),,Michael Bunting,117,2014
117,SPARTAK 2 (Russia-Jr.),,Igor Shesterkin,118,2014
118,CALGARY (WHL),,Ben Thomas,119,2014
119,OMAHA (USHL),,Steven Johnson,120,2014
120,Williston-Northampton (High-MA),,Maxwell Willman,121,2014
121,BRANDON (WHL),,Richard Nejezchleb,122,2014
122,Ashwaubenon (High-WI),,Matthew Berkovitz,123,2014
123,KOOTENAY (WHL),,Jaedon Descheneau,124,2014
124,OLDS (AJHL),,Nikolas Koberstein,125,2014
125,LINKOPING JR. (Sweden-Jr.),,Gustav Forsling,126,2014
126,CAPE BRETON (QMJHL),,Clark Bishop,127,2014
127,SIOUX FALLS (USHL),,Dakota Joshua,128,2014
128,SIOUX FALLS (USHL),,Clinston Franklin,129,2014
129,VERNON (BCHL),,Liam Coughlin,130,2014
130,KAMLOOPS (WHL),,Ryan Rehill,131,2014
131,KALPA (Finland),,Joonas Lyytinen,132,2014
132,EDMONTON (WHL),,Dysin Mayo,133,2014
133,USA U-18 (USHL),,Shane Gersich,134,2014
134,Jokerit U18 (Finland-Jr.),,Miro Karjalainen,135,2014
135,WENATCHEE (NAHL),,Chase Perry,136,2014
136,KIMBALL UNION (High-NH),,Tyler Bird,137,2014
137,BRYNAS JR. (Sweden-Jr.),,Oskar Lindblom,138,2014
138,KOOTENAY (WHL),,Tanner Faith,139,2014
139,BLAINVILLE-BOISBRIAND (QMJHL),,Daniel Walcott,140,2014
