,Amateur Team,GP,Name,Overall Pick,Year
140,EDEN PRAIRIE (High-MN),,Luc Snuggerud,141,2014
141,EDINA HIGH (High-MN),,Tyler Nanne,142,2014
142,EDINA HIGH (High-MN),,Miguel Fidler,143,2014
143,SKELLEFTEA JR. (Sweden-Jr.),,Anton Lindholm,144,2014
144,OMAHA (USHL),,Anthony Angello,145,2014
145,USA U-18 (USHL),,Anders Bjork,146,2014
146,SHERBROOKE (QMJHL),,Daniel Audette,147,2014
147,SKELLEFTEA JR. (Sweden-Jr.),,Andreas Soderberg,148,2014
148,KELOWNA (WHL),,Rourke Chartier,149,2014
149,VICTORIA (WHL),,Alec Dillon,150,2014
150,Cranbrook Kingswood (HIGH-MI),,Christopher Brown,151,2014
151,KIMBALL UNION (High-NH),,Joey Dudek,152,2014
152,OMAHA (USHL),,Tyler Vesel,153,2014
153,NIAGARA (OHL),,Aaron Haydon,154,2014
154,Ferris State (WCHA),,Kyle Schempp,155,2014
155,ERIE (OHL),,Kyle Pettit,156,2014
156,BELLEVILLE (OHL),,Jake Marchment,157,2014
157,SOUTH SHORE (USPHL),,Nolan Vesey,158,2014
158,EDEN PRAIRIE (High-MN),,Steven Spinner,159,2014
