,Amateur Team,GP,Name,Overall Pick,Year
0,Cape Breton (QMJHL),721,Marc-Andre Fleury,1,2003
1,Peterborough (OHL),1073,Eric Staal,2,2003
2,Oshawa (OHL),627,Nathan Horton,3,2003
3,CSKA Moscow (Russia),421,Nikolai Zherdev,4,2003
4,Minnesota (WCHA),946,Thomas Vanek,5,2003
5,Ceske Budejovice (Czech-2),747,Milan Michalek,6,2003
6,USA U-18 (USNTDP),975,Ryan Suter,7,2003
7,Portland (WHL),833,Braydon Coburn,8,2003
8,Red Deer (WHL),961,Dion Phaneuf,9,2003
9,CSKA 2 (KHL),398,Andrei Kostitsyn,10,2003
10,Sault Ste. Marie (OHL),884,Jeff Carter,11,2003
11,Dartmouth (ECAC),2,Hugh Jessiman,12,2003
12,Guelph (OHL),1025,Dustin Brown,13,2003
13,Lethbridge (WHL),985,Brent Seabrook,14,2003
14,Leksand (Sweden),252,Robert Nilsson,15,2003
15,Moncton (QMJHL),637,Steve Bernier,16,2003
16,North Dakota (WCHA),853,Zach Parise,17,2003
17,Brandon (WHL),569,Eric Fehr,18,2003
18,Calgary (WHL),901,Ryan Getzlaf,19,2003
19,Brampton (OHL),942,Brent Burns,20,2003
20,Colorado College (WCHA),673,Mark Stuart,21,2003
21,Rimouski (QMJHL),192,Marc Pouliot,22,2003
22,Ohio State (CCHA),923,Ryan Kesler,23,2003
23,Kitchener (OHL),749,Mike Richards,24,2003
24,Kingston (OHL),262,Anthony Stewart,25,2003
25,St. Sebastian's (High-MA),673,Brian Boyle,26,2003
26,Michigan (CCHA),242,Jeff Tambellini,27,2003
27,London (OHL),939,Corey Perry,28,2003
28,Boston College (H-East),626,Patrick Eaves,29,2003
29,Tri-City (WHL),20,Shawn Belle,30,2003
30,Michigan (CCHA),49,Danny Richmond,31,2003
31,Brandon (WHL),35,Ryan Stone,32,2003
32,Vastra Frolunda Jr. (Sweden-Jr.),840,Loui Eriksson,33,2003
33,Calgary (WHL),5,Mike Egener,34,2003
34,Lokomotiv Yaroslavl (KHL),627,Konstantin Glazachev,35,2003
