,Amateur Team,GP,Name,Overall Pick,Year
0,London (OHL),1050,Rick Nash,1,2002
1,Jokerit Helsinki (KHL),634,Kari Lehtonen,2,2002
2,Medicine Hat (WHL),1103,Jay Bouwmeester,3,2002
3,Karpat Oulu (Finland),535,Joni Pitkanen,4,2002
4,Boston University (H-East),481,Ryan Whitney,5,2002
5,Kamloops (WHL),754,Scottie Upshall,6,2002
6,Medicine Hat (WHL),701,Joffrey Lupul,7,2002
7,Chicoutimi (QMJHL),593,Pierre-Marc Bouchard,8,2002
8,Sault Ste. Marie (OHL),3,Petr Taticek,9,2002
9,Michigan (CCHA),593,Eric Nystrom,10,2002
10,Minnesota (WCHA),604,Keith Ballard,11,2002
11,Kitchener (OHL),488,Steve Eminger,12,2002
12,Chelyabinsk (Russia-2),650,Alexander Semin,13,2002
13,Yale (ECAC),711,Chris Higgins,14,2002
14,Ilves Tampere (Finland),66,Jesse Niinimaki,15,2002
15,Portland (WHL),706,Jakub Klepis,16,2002
16,Red Deer (WHL),234,Boyd Gordon,17,2002
17,Lokomotiv Yaroslavl (KHL),582,Denis Grebeshkov,18,2002
18,Plzen (Czech),289,Jakub Koreis,19,2002
19,Guelph (OHL),506,Daniel Paille,20,2002
20,Elektrostal (Russia-2),407,Anton Babchuk,21,2002
21,Jokerit Helsinki (KHL),879,Sean Bergenheim,22,2002
22,Oshawa (OHL),657,Ben Eager,23,2002
23,Vastra Frolunda (Sweden),1,Alex Steen,24,2002
24,Red Deer (WHL),61,Cam Ward,25,2002
25,Hull (QMJHL),584,Martin Vagner,26,2002
26,St. Sebastian's (High-MA),62,Mike Morris,27,2002
27,HV 71 Jonkoping Jr. (Sweden-Jr.),11,Jonas Johansson,28,2002
28,HPK Hameenlinna (Finland),872,Hannu Toivonen,29,2002
29,Michigan State (CCHA),207,Jim Slater,30,2002
30,Chicoutimi (QMJHL),151,Jeff Deslauriers,31,2002
31,Malmo Jr. (Sweden-Jr.),46,Janos Vas,32,2002
32,Michigan State (CCHA),150,Lee Falardeau,33,2002
33,Chur,951,Tobias Stephan,34,2002
34,Vsetin (Czech),615,Ondrej Nemec,35,2002
35,Kootenay (WHL),22,Jarret Stoll,36,2002
36,St. Michaell's (OHL),6,Tim Brent,37,2002
37,Regina (WHL),20,Josh Harding,38,2002
38,Boston University (H-East),976,Brian McConnell,39,2002
39,Notre Dame (CCHA),988,Rob Globke,40,2002
40,MoDo Ornskoldsvik (Sweden),708,Joakim Lindstrom,41,2002
41,Farjestad Jr. (Sweden-Jr.),571,Marius Holtet,42,2002
42,Sault Ste. Marie (OHL),657,Trevor Daley,43,2002
43,Green Bay (USHL),8,Matt Greene,44,2002
44,Pardubice Jr. (Czech-Jr.),163,Tomas Linhart,45,2002
45,Cornell (ECAC),10,David LeNeveu,46,2002
46,Magnitogorsk (KHL),803,Alexei Kaigorodov,47,2002
47,Elektrostal Jr. (Russia-3),11,Alexei Shkotov,48,2002
48,Avangard Omsk (KHL),387,Kirill Koltsov,49,2002
49,CSKA Moscow (Russia),46,Sergei Anshakov,50,2002
50,Elektrostal (Russia-2),11,Anton Kadeykin,51,2002
51,Winchester (High-MA),106,Dan Spang,52,2002
52,Minnesota (WCHA),747,Barry Tallackson,53,2002
53,Michigan State (CCHA),536,Duncan Keith,54,2002
54,Elektrostal (Russia-2),857,Denis Grot,55,2002
55,CSKA Moscow (Russia),103,Vladislav Yevseyev,56,2002
56,Belleville (OHL),226,Matt Stajan,57,2002
57,Vsetin (Czech),416,Jiri Hudler,58,2002
58,Val d'Or (QMJHL),336,Maxime Daigneault,59,2002
59,Brampton (OHL),205,Adam Henrich,60,2002
60,Calgary (WHL),43,Johnny Boychuk,61,2002
61,Sudbury (OHL),655,Andrei Mikhnov,62,2002
62,Vitkovice Jr. (Czech-Jr.),90,Tomas Fleischmann,63,2002
63,Michigan (CCHA),146,Jason Ryznar,64,2002
64,Lillehammer (Norway),16,Ole-Kristian Tollefsen,65,2002
65,Kitchener (OHL),76,Petr Kanko,66,2002
66,Plymouth (OHL),1,Gregory Campbell,67,2002
67,Des Moines (USHL),552,Brett Skinner,68,2002
68,Kamloops (WHL),1,Erik Christensen,69,2002
69,Yale (ECAC),22,Joe Callahan,70,2002
70,Erie (OHL),56,Mike Erickson,71,2002
71,Minnesota (WCHA),179,Barry Brust,72,2002
72,Spokane (WHL),3,Todd Ford,73,2002
73,Swift Current (WHL),31,Arttu Luttinen,74,2002
74,HIFK Helsinki Jr. (Finland-Jr.),323,Michael Tessier,75,2002
75,Acadie-Bathurst (QMJHL),74,Patrick Wellar,76,2002
76,Portland (WHL),118,Geoff Waugh,77,2002
77,Kindersley (SJHL),503,Brock Radunske,78,2002
78,Michigan State (CCHA),1,Matt Jones,79,2002
79,North Dakota (WCHA),65,Marcus Jonasen,80,2002
80,Vasteras (Sweden-2),36,John Adams,81,2002
81,Boston College (H-East),49,Lukas Mensator,82,2002
82,Karlovy Vary (Czech),14,Marek Chvatal,83,2002
83,Trinec (Czech),7,Ahren Nittel,84,2002
84,Windsor (OHL),100,Jonas Fiedler,85,2002
85,Plymouth (OHL),59,Frans Nielsen,86,2002
86,Malmo (Sweden),31,Dominic D'Amour,87,2002
87,Hull (QMJHL),68,Tomas Troliga,88,2002
88,Nova Ves (Slovakia-2),179,Matthew Lombardi,89,2002
89,Victoriaville (QMJHL),144,Jesse Lane,90,2002
90,Hull (QMJHL),704,Derek Krestanovich,91,2002
91,Moose Jaw (WHL),35,Alexander Kojevnikov,92,2002
92,Krylja Sovetov 2 (Russia-2),346,Eric Lundberg,93,2002
93,Providence (H-East),815,Valtteri Filppula,94,2002
94,Jokerit Helsinki Jr. (Finland-Jr.),27,Jeff Genovy,95,2002
95,Des Moines (USHL),22,Lance Monych,96,2002
96,Brandon (WHL),20,Ivan Tkachenko,97,2002
97,Lokomotiv Yaroslavl (KHL),198,Michael Lambert,98,2002
98,Montreal (QMJHL),21,Dmitri Kazionov,99,2002
99,CSKA Moscow (Russia),91,Daniel Fernholm,100,2002
100,Djurgarden (Sweden),16,Brandon Segal,101,2002
101,Calgary (WHL),378,Joonas Vihko,102,2002
