,Amateur Team,GP,Name,Overall Pick,Year
0,London (OHL),803,Patrick Kane,1,2007
1,U.S. National U-18 (USNTDP),591,James van Riemsdyk,2,2007
2,Burnaby (BCHL),589,Kyle Turris,3,2007
3,Seattle (WHL),390,Thomas Hickey,4,2007
4,Calgary (WHL),652,Karl Alzner,5,2007
5,London (OHL),750,Sam Gagner,6,2007
6,Halifax (QMJHL),748,Jakub Voracek,7,2007
7,Everett (WHL),20,Zach Hamill,8,2007
8,Ottawa (OHL),563,Logan Couture,9,2007
9,Kamloops (WHL),212,Keaton Ellerby,10,2007
10,Red Deer (WHL),637,Brandon Sutter,11,2007
11,Cretin-Derham (High-MN),516,Ryan McDonagh,12,2007
12,Vastra Frolunda Jr. ( ),584,Lars Eller,13,2007
13,U.S. National U-18 (USNTDP),536,Kevin Shattenkirk,14,2007
14,Calgary (WHL),10,Alex Plante,15,2007
15,Saskatoon (WHL),154,Colton Gillies,16,2007
16,Avangard Omsk ( ),385,Alexei Cherepanov,17,2007
17,U.S. National U-18 (USNTDP),382,Ian Cole,18,2007
18,Halifax (QMJHL),623,Logan MacMillan,19,2007
19,Quebec (QMJHL),110,Angelo Esposito,20,2007
20,Salmon Arm (BCHL),524,Riley Nash,21,2007
21,Sioux City (USHL),707,Max Pacioretty,22,2007
22,Vancouver (WCHL),353,Jonathon Blum,23,2007
23,Vasteras (Sweden-2),1,Mikael Backlund,24,2007
24,Tri-City (USHL),67,Patrick White,25,2007
25,Lewiston (QMJHL),53,David Perron,26,2007
26,St. Michael's (OJHL),18,Brendan Smith,27,2007
27,Omaha (USHL),3,Nicholas Petrecki,28,2007
28,Minnesota (WCHA),3,Jim O'Brien,29,2007
29,Regina (WHL),72,Nick Ross,30,2007
30,St. John's (QMJHL),10,T.J. Brennan,31,2007
31,Oshawa (OHL),144,Brett Maclean,32,2007
32,Everett (WHL),561,Taylor Ellington,33,2007
33,Sault Ste. Marie (OHL),68,Josh Godfrey,34,2007
34,Westminster (High-CT),3,Tommy Cross,35,2007
35,Vastra Frolunda (Sweden),135,Joel Gistedt,36,2007
36,Mississauga (OHL),87,Stefan Legein,37,2007
37,Colorado College ( ),10,Bill Sweatt,38,2007
38,Vastra Frolunda Jr. ( ),321,Simon Hjalmarsson,39,2007
39,Vancouver (WCHL),7,Michal Repik,40,2007
40,Lewiston (QMJHL),437,Kevin Marshall,41,2007
41,Belleville (OHL),746,Eric Tangradi,42,2007
42,Belleville (OHL),11,P.K. Subban,43,2007
43,Des Moines (USHL),29,Aaron Palushaj,44,2007
44,Lincoln (USHL),25,Colby Cohen,45,2007
45,U.S. National U-18 (USNTDP),3,Theo Ruth,46,2007
46,Prince George (WHL),106,Dana Tyrell,47,2007
47,PEI (QMJHL),179,Antoine Lafleur,48,2007
48,Peterborough (OHL),385,Trevor Cann,49,2007
49,Virginia (High-MN),415,Nico Sacchetti,50,2007
50,Victoriaville (QMJHL),259,Keven Veilleux,51,2007
51,Chilliwack (WHL),87,Oscar Moller,52,2007
52,Gaylord (High-MI),1,Will Weber,53,2007
53,Plymouth (OHL),1,Jeremy Smith,54,2007
54,Dartmouth ( ),205,T.J. Galiardi,55,2007
55,Sudbury (OHL),149,Akim Aliu,56,2007
56,U.S. National U-18 (USNTDP),166,Mike Hoeffel,57,2007
57,Kitchener (OHL),22,Nick Spaling,58,2007
58,Mississauga (OHL),476,Drew Schiestel,59,2007
59,Quebec (QMJHL),5,Ruslan Bashkirov,60,2007
60,Owen Sound (OHL),79,Wayne Simmonds,61,2007
61,Sarnia (OHL),135,Mark Katic,62,2007
62,Rouyn-Noranda (QMJHL),183,Maxime Macenauer,63,2007
63,Dynamo Moscow ( ),365,Sergei Korostin,64,2007
64,Rimouski (QMJHL),257,Olivier Fortier,65,2007
65,Saskatoon (WHL),35,Garrett Klotz,66,2007
66,Vancouver (WCHL),303,Spencer Machacek,67,2007
67,Sioux Falls (USHL),167,Jake Hansen,68,2007
68,Rimouski (QMJHL),280,Maxime Tanguay,69,2007
69,Kootenay (WHL),7,John Negrin,70,2007
70,Chelyabinsk ( ),18,Evgeni Dadonov,71,2007
71,Spokane (WHL),1,Drayson Bowman,72,2007
72,Kitchener (OHL),647,Yannick Weber,73,2007
73,Oshawa (OHL),152,Dale Mitchell,74,2007
74,GCK Zurich Jr. (Swiss-Jr.),77,Luca Cunti,75,2007
75,Lincoln (USHL),25,Jason Gregoire,76,2007
76,Deerfield Academy (High-MA),431,Alex Killorn,77,2007
77,Kitchener (OHL),25,Robert Bortuzzo,78,2007
78,Erie (OHL),22,Nick Palmieri,79,2007
79,Merritt (BCHL),108,Casey Pierro-Zabotel,80,2007
80,Notre Dame (CCHA),11,Ryan Thang,81,2007
81,Belleville (OHL),144,Bryan Cameron,82,2007
82,Koln Jr. ( ),358,Timo Pielmeier,83,2007
83,Sioux City (USHL),121,Phil Desimone,84,2007
84,Calgary (WHL),27,Brett Sonne,85,2007
85,U.S. National U-18 (USNTDP),10,Josh Unice,86,2007
86,Cowichan Valley (BCHL),469,Corbin McPherson,87,2007
87,Vastra Frolunda Jr. ( ),131,Joakim Andersson,88,2007
88,Sioux Falls (USHL),147,Corey Tropp,89,2007
89,St. Michaels (OJHL),457,Louie Caporusso,90,2007
90,Vancouver (WCHL),9,Tyson Sexsmith,91,2007
91,U.S. National U-18 (USNTDP),342,Justin Vaive,92,2007
92,Michigan (CCHA),545,Steven Kampfer,93,2007
93,Almetjevsk (Russia-2),16,Maksim Mayorov,94,2007
94,Miami (Ohio) (CCHA),510,Alec Martinez,95,2007
95,U.S. National U-18 (USNTDP),102,Cade Fairchild,96,2007
96,Lulea (Sweden),203,Linus Omark,97,2007
97,Eisbaren Jrs. Berlin (German-3),,Sebastian Stefaniszin,98,2007
98,Fort Saskatchewan (AJHL),,Matt Frattin,99,2007
99,Lincoln (USHL),,Travis Erstad,100,2007
100,U.S. National U-18 (USNTDP),,Matt Rust,101,2007
101,Saskatoon (WHL),,Justin McCrae,102,2007
102,Slavia Praha Jr. ( ),,Vladimir Ruzicka,103,2007
103,Salmon Arm (BCHL),,Ben Winnett,104,2007
104,Sioux Falls (USHL),,Brad Malone,105,2007
105,Rimouski (QMJHL),,Maxim Gratchev,106,2007
106,Lethbridge (WHL),,Mitch Fadden,107,2007
107,Omaha (USHL),,Brett Bruneteau,108,2007
108,Lethbridge (WHL),,Dwight King,109,2007
109,Spokane (WHL),,Justin Falk,110,2007
110,Mississauga (OHL),,Luca Caputi,111,2007
111,Portland (WHL),,Colton Sceviour,112,2007
112,Cedar Rapids (USHL),,Kent Patterson,113,2007
113,Des Moines (USHL),,Ben Ryan,114,2007
114,Tappara Tampere Jr. (Finland-Jr.),,Niclas Lucenius ,115,2007
115,Brandon (WHL),,Keith Aulie,116,2007
116,Kitchener (OHL),,Matt Halischuk,117,2007
117,Saint John (QMJHL),,Alex Grant,118,2007
118,Chilliwack (WHL),,Mark Santorelli,119,2007
119,Shattuck-St. Mary's (High-MN),,Ben Blood,120,2007
120,Lulea (Sweden),,Mattias Modig,121,2007
121,St. John's (QMJHL),,Mario Kempe,122,2007
122,CSKA Moscow (Russia),,Maxim Goncharov,123,2007
123,Regina (WHL),,Linden Rowat,124,2007
124,Regina (WHL),,Brett Leffler,125,2007
125,U.S. National U-18 (USNTDP),,Joe Lavin,126,2007
126,Topolcany ( ),,Milan Kytnar,127,2007
127,The Gunnery (High-CT),,Austin Smith,128,2007
128,Victoria (WHL),,Jamie Benn,129,2007
129,Heil./Mann. Jr. ( ),,Denis Reul,130,2007
130,Waterloo (USHL),,John Lee,131,2007
131,Plymouth (OHL),,Chris Terry,132,2007
132,Grand Rapids (High-MN),,Joe Stejskal,133,2007
133,Dukla Trencin ( ),,Juraj Mikus,134,2007
134,Salisbury (High-CT),,Paul Carey,135,2007
135,Spokane (WHL),,Ondrej Roman,136,2007
136,Waterloo (USHL),,Joshua Turnbull,137,2007
137,Strathroy Jr. B ( ),,Max Campbell,138,2007
138,Okotoks (AJHL),,Brad Eidsness,139,2007
139,Kelowna (WHL),,Cody Almond,140,2007
140,Sault Ste. Marie (OHL),,Jake Muzzin,141,2007
141,Omaha (USHL),,Andrew Conboy,142,2007
142,Windsor (OHL),,Mickey Renaud,143,2007
143,Malmo ( ),,Andreas Thuresson,144,2007
144,Baie-Comeau (QMJHL),,Charles-Antoine Messier,145,2007
145,CSKA Moscow (Russia),,Ilja Kablukov,146,2007
146,St. John's (QMJHL),,Jean-Simon Allard,147,2007
147,Moncton (QMJHL),,Randy Cameron,148,2007
148,Belleville (OHL),,Michael Neal,149,2007
149,Nobles (High-MA),,Matt Marshall,150,2007
150,P.E.I. (QMJHL),,Brett Morrison,151,2007
151,Minnesota State (WCHA),,Jon Kalinski,152,2007
152,Capital District (EJHL),,Scott Darling,153,2007
153,Wellington (OPJHL),,Dan Dunn,154,2007
154,Vastra Frolunda Jr. ( ),,Jens Hellgren,155,2007
155,Windsor (OHL),,Richard Greenop,156,2007
156,Tingsryds (Sweden-3),,William Quist,157,2007
157,Camrose (AJHL),,Allen York,158,2007
158,Aurora (OPJHL),,Alain Goulet,159,2007
159,Erie (OHL),,Anthony Peluso,160,2007
160,St. Louis (NAHL),,Patrick Maroon,161,2007
161,Plymouth (OHL),,Brett Bellemore,162,2007
162,HV 71 Jonkoping Jr. (Sweden-Jr.),,Nichlas Torp,163,2007
163,Saint John (QMJHL),,Chris Didomenico,164,2007
164,Rogle Angelholm ( ),,Patrik Zackrisson,165,2007
165,Waterloo (USHL),,Blake Kessel,166,2007
166,Lulea (Sweden),,Johan Harju,167,2007
167,Sodertalje Jr. (Sweden-Jr.),,Carl Hagelin,168,2007
168,Vsetin (Czech),,Radim Ostrcil,169,2007
169,Tappara Tampere Jr. (Finland-Jr.),,Harri Ilvonen,170,2007
170,Sault Ste. Marie (OHL),,Dustin Jeffrey,171,2007
171,Erie (OHL),,Luke Gazdic,172,2007
172,Avon Old Farms (High-CT),,Nick Bonino,173,2007
173,Dusseldorf ( ),,Robert Dietrich,174,2007
174,U.S. National U-18 (USNTDP),,John Albert,175,2007
175,Des Moines (USHL),,Taylor Matson,176,2007
176,Pelicans Jr. (Finland-Jr.),,Vili Sopanen,177,2007
177,Erie (OHL),,Zack Torquato,178,2007
178,Gatineau (QMJHL),,Paul Byron,179,2007
179,London (OHL),,Justin Taylor,180,2007
180,Guelph (OHL),,Corey Syvret,181,2007
181,U.S. National U-18 (USNTDP),,Brad Phillips,182,2007
182,Kelowna (WHL),,Torrie Jung,183,2007
183,Erie (OHL),,Josh Kidd,184,2007
184,Omaha (USHL),,Nick Larson,185,2007
185,U.S. National U-18 (USNTDP),,C.J. Severyn,186,2007
186,Green Mountain (EJHL),,Nick Eno,187,2007
187,St. John's (QMJHL),,Matt Fillier,188,2007
188,Moose Jaw (WHL),,Jordan Knackstedt,189,2007
189,Det. Compuware Midgets (MWEHL),,Trevor Nill,190,2007
190,Cambridge Jr. B ( ),,Ryan Watson,191,2007
191,Virginia (High-MN),,Scott Kishel,192,2007
192,Rimouski (QMJHL),,David Skokan,193,2007
193,Linkoping ( ),,Carl Gunnarsson,194,2007
194,Brynas Gavle (Sweden),,Johan Alcen,195,2007
195,Shawinigan (QMJHL),,Simon Lacroix,196,2007
196,Lewiston (QMJHL),,Michael Ward,197,2007
197,Ohio (USHL),,Danny Hobbs,198,2007
198,Nobles (High-MA),,Andrew Glass,199,2007
199,Calgary (WHL),,Carson McMillan,200,2007
200,Massachusetts ( ),,Justin Braun,201,2007
201,Lokomotiv Yaroslavl 2 (Russia-3),,Sergei Gayduchenko,202,2007
202,Portland (WHL),,Frazer McLaren,203,2007
203,Lukko Rauma Jr. (Finland-Jr.),,Atte Engren,204,2007
204,Swift Current (WHL),,Paul Postma,205,2007
205,Everett (WHL),,Dan Gendur,206,2007
206,Swift Current (WHL),,Ryan Molle,207,2007
207,Lindsay ( ),,Bryan Rufenach,208,2007
208,Taft School (High-CT),,Drew Mackenzie,209,2007
209,Burnaby (BCHL),,Justin Courtnall,210,2007
210,St. Louis (NAHL),,Trent Vogelhuber,211,2007
