,Amateur Team,GP,Name,Overall Pick,Year
0,Windsor (OHL),1128,Ed Jovanovski,1,1994
1,Krylja Sovetov (Russia),713,Oleg Tverdovsky,2,1994
2,Las Vegas (IHL),969,Radek Bonk,3,1994
3,Niagara Falls (OHL),79,Jason Bonsignore,4,1994
4,Guelph (OHL),821,Jeff O'Neill,5,1994
5,Moose Jaw (WHL),1270,Ryan Smyth,6,1994
6,Owen Sound (OHL),219,Jamie Storr,7,1994
7,Portland (WHL),726,Jason Wiemer,8,1994
8,Kingston (OHL),51,Brett Lindros,9,1994
9,Kamloops (WHL),143,Nolan Baumgartner,10,1994
10,Regina (WHL),893,Jeff Friesen,11,1994
11,Saskatoon (WHL),549,Wade Belak,12,1994
12,Pitea (Sweden),909,Mattias Ohlund,13,1994
13,Niagara Falls (OHL),928,Ethan Moreau,14,1994
14,CSKA Moscow (Russia),95,Eric Fichaud,15,1994
15,Chictoutimi (QMJHL),774,Wayne Primeau,16,1994
16,Owen Sound (OHL),330,Brad Brown,17,1994
17,North Bay (OHL),385,Chris Dingman,18,1994
18,Brandon (WHL),88,Jason Botterill,19,1994
19,Michigan (CCHA),56,Yan Golubovsky,20,1994
20,Molot-Perm (Russia),195,Chris Wells,21,1994
21,Catholic Memorial (High-MA),92,Vadim Sharifijanov,22,1994
22,Dynamo-2 Moscow (Russia),351,Dan Cloutier,23,1994
23,Seattle (WHL),714,Rhett Warrener,24,1994
24,Salavat Yulayev Ufa (KHL),83,Johan Davidsson,25,1994
25,Sault Ste. Marie (OHL),510,Stan Neckar,26,1994
26,Saskatoon (WHL),463,Deron Quint,27,1994
27,HV 71 Jonkoping (Sweden),41,Jason Podollan,28,1994
28,Ceske Budejovice (Czech-2),157,Mike Watt,29,1994
29,Seattle (WHL),473,Matt Johnson,30,1994
30,Spokane (WHL),159,Josef Marha,31,1994
31,Stratford Jr. B (GOJHL),701,Ryan Johnson,32,1994
32,Peterborough (OHL),81,Jason Holland,33,1994
33,Brandon (WHL),4,Robb Gordon,34,1994
34,Dukla Jihlava (Czech-2),220,Jean-Yves Leroux,35,1994
35,Thunder Bay (USHL),659,Dave Scatchard,36,1994
36,Chemopetrol Litvinov (Russia),736,Curtis Brown,37,1994
37,Kamloops (WHL),648,Jose Theodore,38,1994
38,Powell River (BCHL),53,Daniel Goneau,39,1994
39,Beauport (QMJHL),14,Sean Haggerty,40,1994
40,North Bay (OHL),868,Mathieu Dandenault,41,1994
41,Portland (WHL),738,Richard Park,42,1994
42,Moose Jaw (WHL),1240,Patrik Elias,43,1994
43,St. Jean (QMJHL),242,Chris Murray,44,1994
44,Dynamo-2 Moscow (Russia),140,Sven Butenschon,45,1994
45,North Bay (OHL),34,Tavis Hansen,46,1994
46,Laval (QMJHL),487,Vitali Yachmenev,47,1994
47,Detroit (OHL),674,Jason Strudwick,48,1994
48,Sherbrooke (QMJHL),898,Fredrik Modin,49,1994
49,Belleville (OHL),11,Alexei Yegorov,50,1994
50,Kladno (Czech-2),3,Craig Reichert,51,1994
51,Slovan Bratislava (KHL),69,Rumun Ndur,52,1994
52,North Bay (OHL),51,Marko Kiprusoff,53,1994
53,Kamloops (WHL),758,Sheldon Souray,54,1994
54,Spartak Moscow (KHL),892,Chris Drury,55,1994
