,Amateur Team,GP,Name,Overall Pick,Year
0,Prince Albert (WHL),1499,Mike Modano,1,1988
1,Medicine Hat (WHL),1382,Trevor Linden,2,1988
2,Saskatoon (WHL),1033,Curtis Leschyshyn,3,1988
3,Windsor (OHL),506,Darrin Shannon,4,1988
4,Drummondville (QMJHL),17,Daniel Dore,5,1988
5,Kingston (OHL),292,Scott Pearson,6,1988
6,Hull (QMJHL),1273,Martin Gelinas,7,1988
7,Thayer Academy (High-MA),1363,Jeremy Roenick,8,1988
8,Notre Dame (SJHL),1484,Rod Brind'Amour,9,1988
9,Jokerit Helsinki (KHL),1451,Teemu Selanne,10,1988
10,Toronto (OHL),45,Chris Govedaris,11,1988
11,Peterborough (OHL),45,Corey Foster,12,1988
12,Victoria (WHL),3,Joel Savage,13,1988
13,Drummondville (QMJHL),132,Claude Boivin,14,1988
14,Victoriaville (QMJHL),34,Reggie Savage,15,1988
15,Brandon (WHL),103,Rob Cimetta,16,1988
16,Saskatoon (WHL),249,Francois Leroux,17,1988
17,Toronto (OHL),130,Eric Charron,18,1988
18,St. Jean (QMJHL),62,Jason Muzzatti,19,1988
19,Trois-Rivieres (QMJHL),456,Troy Mallette,20,1988
20,Michigan State (CCHA),18,Jeff Christian,21,1988
21,Sault Ste. Marie (OHL),390,Stephane Fiset,22,1988
22,London (OHL),2,Mark Major,23,1988
23,Victoriaville (QMJHL),1020,Tie Domi,24,1988
24,North Bay (OHL),214,Adrien Plavsic,25,1988
25,Spokane (WHL),102,Russell Romaniuk,26,1988
26,Peterborough (OHL),151,Barry Richter,27,1988
27,London (OHL),96,Leif Rohlin,28,1988
28,Hamilton (OHL),1,Martin St. Amour,29,1988
29,New Hampshire (H-East),25,Pat Murray,30,1988
30,St. Boniface,746,Tim Taylor,31,1988
31,Culver Military Academy (High-IN),65,Link Gaetz,32,1988
32,Vasteras (Sweden-2),48,Todd Harkins,33,1988
33,Verdun (QMJHL),45,Dane Jackson,34,1988
34,Michigan State (CCHA),74,Peter Ing,35,1988
35,London (OHL),90,Stephane Beauregard,36,1988
36,New Westminster (WCHL),3,Trevor Sim,37,1988
37,Drummondville (QMJHL),352,Zdeno Ciger,38,1988
38,Kiekko-Espoo (Finland),135,Darcy Loewen,39,1988
39,Spokane (WHL),12,Craig Fisher,40,1988
40,Dauphin,8,Danny Lorenz,41,1988
41,Miami (Ohio) (CCHA),694,Steve Heinze,42,1988
42,Springfield Jr. B,5,Daniel Gauthier,43,1988
43,Vernon (BCHL),205,Dominic Roussel,44,1988
44,HIFK Helsinki (Finland),311,Darin Kimble,45,1988
45,Verdun (QMJHL),1652,Mark Recchi,46,1988
46,Hull (QMJHL),1174,Tony Amonte,47,1988
47,Windsor (OHL),34,Ted Crowley,48,1988
48,North Bay (OHL),1270,Rob Blake,49,1988
49,London (OHL),1018,Keith Carney,50,1988
50,North Bay (OHL),310,Sheldon Kennedy,51,1988
51,St. Jean (QMJHL),828,Joe Juneau,52,1988
52,Seattle (WHL),394,Patric Kjellberg,53,1988
53,ZTS Martin (Slovakia),44,Tomas Forslund,54,1988
54,Spokane (WHL),27,Len Esau,55,1988
55,Oshawa Jr. B (MJHL),28,Greg Andrusak,56,1988
56,Winkler (MJHL),990,Alexander Mogilny,57,1988
57,Seattle (WHL),485,Peter Popovic,58,1988
58,Sparta Praha (Czech),2,Tony Joseph,59,1988
59,Lawrence Academy (High-MA),4,Scott Morrow,60,1988
60,Saskatoon (WHL),900,Rob Ray,61,1988
61,Victoriaville (QMJHL),72,Jean-Claude Bergeron,62,1988
62,Trois-Rivieres (QMJHL),1,Corrie D'Alessio,63,1988
63,Greenway (High-MN),278,Ed Ward,64,1988
64,Bowling Green (CCHA),92,Micah Aivazoff,65,1988
65,Prince Albert (WHL),242,Dennis Vial,66,1988
66,Kamloops (WHL),811,Dmitri Khristich,67,1988
67,Thayer Academy (High-MA),33,Phil Von Stefenelli,68,1988
68,Lawrence Academy (High-MA),184,Len Barrie,69,1988
69,Bowling Green (CCHA),154,Patrik Carnback,70,1988
70,Rogle Angelholm (Sweden),22,Jonas Bergqvist,71,1988
71,Miami (Ohio) (CCHA),537,Dixon Ward,72,1988
72,Oshawa (OHL),637,Valeri Kamensky,73,1988
73,Lake Superior State (CCHA),1,Mike Rosati,74,1988
74,Miami (Ohio) (CCHA),2,Chad Erickson,75,1988
75,Mount St. Charles H.S. (High-RI),491,Keith Jones,76,1988
76,Hotchkiss (High-CT),48,Brad Schlegel,77,1988
77,Lethbridge (WHL),796,Marty McInnis,78,1988
78,Trois-Rivieres (QMJHL),699,Shjon Podein,79,1988
79,Swift Current (WHL),876,Sean Hill,80,1988
80,RPI (ECAC),3,Travis Richards,81,1988
81,RPI (ECAC),231,Rob Gaudreau,82,1988
82,Falun (Sweden-2),445,Tony Twist,83,1988
83,Tabor Academy (High-MA),120,Wade Flaherty,84,1988
84,Leksand (Sweden),150,Jon Rohloff,85,1988
85,Humboldt (Sweden-Jr.),8,Harijs Vitolinsh,86,1988
86,Vermont (ECAC),35,David Sacco,87,1988
87,Minnesota-Duluth (WCHA),1039,Bret Hedican,88,1988
88,CSKA Moscow (Russia),17,Claudio Scremin,89,1988
89,Canterbury (High-CT),289,Alexander Semak,90,1988
90,Mount St. Charles (High-RI),607,Alexei Gusarov,91,1988
91,Stratford Jr. B (GOJHL),1,Peter Fiorentino,92,1988
92,Vasteras (Sweden-2),188,Kevin Dahl,93,1988
93,Oshawa (OHL),879,Claude Lapointe,94,1988
94,Northwood School (High-NY),46,Sergei Priakin,95,1988
95,Rochester (USHL),,,96,1988
96,Cornwall (OHL),,,97,1988
97,Cushing Academy (High-MA),,,98,1988
98,Drummondville (QMJHL),,,99,1988
99,Ohio State (CCHA),,,100,1988
100,Merrimack (H-East),,,101,1988
101,The Gunnery (High-CT),,,102,1988
102,London (OHL),,,103,1988
103,Verdun (QMJHL),,,104,1988
104,Natick (High-MA),,,105,1988
105,Lake Superior State (CCHA),,,106,1988
106,Cornell (ECAC),,,107,1988
107,Michigan (CCHA),,,108,1988
108,Victoria (WHL),,,109,1988
109,Hamilton (OHL),,,110,1988
110,Sparta Praha (Czech),,,111,1988
111,Skelleftea (Sweden),,,112,1988
112,Ferris State (CCHA),,,113,1988
113,U. of Maine (H-East),,,114,1988
114,Windsor (OHL),,,115,1988
115,Seattle (WHL),,,116,1988
116,Rochester (USHL),,,117,1988
117,Choate Academy (High-CT),,,118,1988
118,Calumet (High-MI),,,119,1988
119,Sokol Kiev (Russia),,,120,1988
120,Brookline (High-MA),,,121,1988
121,Boston University (H-East),,,122,1988
122,Gloucester (CCHL),,,123,1988
123,Victoria (WHL),,,124,1988
124,Vastra Frolunda (Sweden),,,125,1988
125,Leksand (Sweden),,,126,1988
126,Bjorkloven (Sweden-2),,,127,1988
127,Red Deer (AJHL),,,128,1988
128,CSKA Moscow (Russia),,,129,1988
129,Portland (WHL),,,130,1988
130,Hamilton (OHL),,,131,1988
131,St. Paul's (High-NH),,,132,1988
132,John Marshall (High-MN),,,133,1988
133,Colgate (ECAC),,,134,1988
134,New Hampton School (High-NH),,,135,1988
135,Tappara Tampere (Finland),,,136,1988
136,Michigan State (CCHA),,,137,1988
137,Warroad (High-MN),,,138,1988
138,Ottawa (OHL),,,139,1988
139,Bramalea Jr. B,,,140,1988
140,Niagara Falls Jr. B (GOJHL),,,141,1988
141,Chicoutimi (QMJHL),,,142,1988
142,Michigan Tech (WCHA),,,143,1988
143,London (OHL),,,144,1988
144,Sault Ste. Marie (OHL),,,145,1988
145,Tabor Academy (High-MA),,,146,1988
146,HV 71 Jonkoping (Sweden),,,147,1988
147,Denver (WCHA),,,148,1988
148,St. Albert (AJHL),,,149,1988
149,HIFK Helsinki (Finland),,,150,1988
150,St. John's (High-MA),,,151,1988
151,St. Jean (QMJHL),,,152,1988
152,Rogle Angelholm (Sweden),,,153,1988
153,Ilves Tampere (Finland),,,154,1988
154,Roseville (High-MN),,,155,1988
155,Edina (High-MN),,,156,1988
