,Amateur Team,GP,Name,Overall Pick,Year
0,Spartak Moscow (KHL),816,Ilya Kovalchuk,1,2001
1,Windsor (OHL),972,Jason Spezza,2,2001
2,Avangard Omsk (KHL),179,Alexander Svitov,3,2001
3,Plymouth (OHL),732,Stephen Weiss,4,2001
4,Avangard Omsk (KHL),196,Stanislav Chistov,5,2001
5,TPS Turku (Finland),905,Mikko Koivu,6,2001
6,Michigan (CCHA),551,Mike Komisarek,7,2001
7,Halifax (QMJHL),173,Pascal Leclaire,8,2001
8,Jokerit Helsinki (KHL),735,Tuomo Ruutu,9,2001
9,Kootenay (WHL),63,Dan Blackburn,10,2001
10,Vastra Frolunda (Sweden),489,Fredrik Sjostrom,11,2001
11,Prince George (WHL),1011,Dan Hamhuis,12,2001
12,Hull (QMJHL),845,Ales Hemsky,13,2001
13,Boston College (H-East),601,Chuck Kobasew,14,2001
14,Spartak Moscow (KHL),779,Igor Knyazev,15,2001
15,Ohio State (CCHA),470,R.J. Umberger,16,2001
16,Erie (OHL),480,Carlo Colaiacovo,17,2001
17,Vastra Frolunda (Sweden),636,Jens Karlsson,18,2001
18,Kamloops (WHL),476,Shaone Morrisonn,19,2001
19,Schwenningen (Germany),189,Marcel Goc,20,2001
20,Red Deer (WHL),727,Colby Armstrong,21,2001
21,Ceske Budejovice (Czech-2),328,Jiri Novotny,22,2001
22,Windsor (OHL),128,Tim Gleason,23,2001
23,Peterborough (OHL),38,Lukas Krajicek,24,2001
24,Avangard Omsk (KHL),278,Alexander Perezhogin,25,2001
25,Chicago Freeze (NAHL),17,Jason Bacashihua,26,2001
26,Red Deer (WHL),425,Jeff Woywitka,27,2001
27,Saskatoon (WHL),68,Adrian Foster,28,2001
28,Erie (OHL),738,Adam Munro,29,2001
29,Ohio State (CCHA),24,David Steckel,30,2001
30,Seattle (WHL),81,Matthew Spiller,31,2001
31,Kitchener (OHL),75,Derek Roy,32,2001
32,Spartak Moscow 2 (Russia-3),5,Timofei Shishkanov,33,2001
33,Prince Albert (WHL),483,Greg Watson,34,2001
34,St. Michael's (OJHL),90,Mark Popovic,35,2001
35,Red Deer (WHL),872,Kyle Wanvig,36,2001
36,Swift Current (WHL),2,Duncan Milroy,37,2001
37,Minnesota State (WCHA),197,Tim Jackman,38,2001
38,Chemopetrol Litvinov (Russia),15,Karel Pilar,39,2001
39,St. Petersburg (KHL),894,Fedor Tyutin,40,2001
40,Avangard Omsk (KHL),783,Andrei Taratukhin,41,2001
41,Kosice (Slovakia),102,Tomas Slovak,42,2001
42,Red Deer (WHL),75,Doug Lynch,43,2001
