,Amateur Team,GP,Name,Overall Pick,Year
0,Billings,299,Gord Kluzak,1,1982
1,Kitchener (OHL),1188,Brian Bellows,2,1982
2,Portland (WHL),608,Gary Nylund,3,1982
3,Lethbridge (WHL),1093,Ron Sutter,4,1982
4,Kitchener (OHL),1635,Scott Stevens,5,1982
5,South St. Paul (High-MN),1495,Phil Housley,6,1982
6,Portland (WHL),235,Ken Yaremchuk,7,1982
7,Billings,38,Rocky Trottier,8,1982
8,Victoria (WHL),470,Paul Cyr,9,1982
9,Lethbridge (WHL),874,Rich Sutter,10,1982
10,Sherbrooke (QMJHL),827,Michel Petit,11,1982
11,Cornwall (OHL),598,Jim Kyte,12,1982
12,Kitchener (OHL),769,David Shaw,13,1982
13,Windsor (OHL),239,Paul Lawless,14,1982
14,Toronto (OHL),230,Chris Kontos,15,1982
15,Oshawa (OHL),1639,Dave Andreychuk,16,1982
16,Medicine Hat (WHL),1071,Murray Craven,17,1982
17,Seattle (WHL),1283,Ken Daneyko,18,1982
18,Chicoutimi (QMJHL),21,Jim Playfair,19,1982
19,Portland (WHL),780,Pat Flatley,20,1982
20,Wisconsin (WCHA),381,Brian Curran,21,1982
21,Portland (WHL),22,Yves Courteau,22,1982
22,Laval (QMJHL),667,Gary Leeman,23,1982
23,Regina (WHL),417,Peter Ihnacak,24,1982
24,Sparta Praha (Czech),6,Mike Heidt,25,1982
25,St. Paul (High-MN),2,Dave Reierson,26,1982
26,Calgary (WHL),2,Jocelyn Gauvreau,27,1982
27,Quebec (QMJHL),113,Kent Carlson,28,1982
28,Prince Albert (WHL),466,David Maley,29,1982
29,Pitea (Sweden),624,Paul Gillis,30,1982
30,Granby (QMJHL),29,Mark Paterson,31,1982
31,St. Lawrence (ECAC),983,Tomas Sandstrom,32,1982
32,Edina (High-MN),372,Richard Kromm,33,1982
33,Niagara Falls (OHL),55,Tim Hrynewich,34,1982
34,Ottawa (OHL),279,Lyndon Byers,35,1982
35,Farjestad (Sweden),25,Scott Sandelin,36,1982
36,Portland (WHL),35,Steve Graves,37,1982
37,Sudbury (OHL),1,Vern Smith,38,1982
38,Regina (WHL),1424,Pat Verbeek,39,1982
