,Amateur Team,GP,Name,Overall Pick,Year
0,Zurich (Swiss),135,Auston Matthews,1,2016
1,Tappara (Finland),135,Patrik Laine,2,2016
2,Cape Breton (QMJHL),62,Pierre-Luc Dubois,3,2016
3,Karpat (Finland),73,Jesse Puljujarvi,4,2016
4,London (OHL),137,Olli Juolevi,5,2016
5,London (OHL),65,Matthew Tkachuk,6,2016
6,USA U-18 (USHL),4,Clayton Keller,7,2016
7,Mississauga (OHL),64,Alexander Nylander,8,2016
8,Windsor (OHL),50,Mikhail Sergachev,9,2016
9,Penticton (BCHL),4,Tyson Jost,10,2016
10,Windsor (OHL),56,Logan Brown,11,2016
11,Mississauga (OHL),17,Michael McLeod,12,2016
12,Calgary (WHL),100,Jake Bean,13,2016
13,Boston University (H-East),25,Charles McAvoy,14,2016
14,Wisconsin (Big Ten),63,Luke Kunin,15,2016
15,Sarnia (OHL),4,Jakob Chychrun,16,2016
16,Penticton (BCHL),52,Dante Fabbro,17,2016
17,Windsor (OHL),46,Logan Stanley,18,2016
18,USA U-18 (USHL),61,Kieffer Bellows,19,2016
19,Chilliwack (BCHL),9,Dennis Cholowski,20,2016
20,Val d'Or (QMJHL),,Julien Gauthier,21,2016
21,Team Russia U18 (Russia-Jr.),,German Rubtsov,22,2016
22,HIFK Jr. (Finland-Jr.),,Henrik Borgstrom,23,2016
23,London (OHL),,Max Jones,24,2016
24,Blaine (High-MN),,Riley Tufte,25,2016
25,Connecticut (H-East),,Tage Thompson,26,2016
26,Moose Jaw (WHL),,Brett Howden,27,2016
27,Kelowna (WHL),,Lucas Johansen,28,2016
28,USA U-18 (USHL),,Trent Frederic,29,2016
29,Regina (WHL),,Sam Steel,30,2016
30,Yaroslavl (Russia),,Yegor Korshkov,31,2016
31,Vancouver (WHL),,Tyler Benson,32,2016
32,Farjestad (Sweden),,Rasmus Asplund,33,2016
33,Green Bay (USHL),,Andrew Peeke,34,2016
34,Sarnia (OHL),,Jordan Kyrou,35,2016
35,Victoriaville (QMJHL),,Pascal Laberge,36,2016
36,Saskatoon (WHL),,Libor Hajek,37,2016
37,Kitchener (OHL),,Adam Mascherin,38,2016
38,Erie (OHL),,Alexander Debrincat,39,2016
39,Youngstown (USHL),,Cameron Morrison,40,2016
40,Mississauga (OHL),,Nathan Bastian,41,2016
41,Timra (Sweden-2),,Jonathan Dahlen,42,2016
42,Karpat Jr. (Finland-Jr.),,Janne Kuokkanen,43,2016
43,Sault Ste. Marie (OHL),,Boris Katchouk,44,2016
44,USA U-18 (USHL),,Chad Krys,45,2016
45,Guelph (OHL),,Givani Smith,46,2016
46,Shawinigan (QMJHL),,Samuel Girard,47,2016
47,Everett (WHL),,Carter Hart,48,2016
48,USA U-18 (USHL),,Ryan Lindgren,49,2016
49,Team Russia U18 (Russia-Jr.),,Artur Kayumov,50,2016
50,Brandon (WHL),,Kale Clague,51,2016
51,Tri-City (USHL),,Wade Allison,52,2016
52,HR. Kralove (Czech),,Filip Hronek,53,2016
53,London (OHL),,Tyler Parsons,54,2016
54,Lulea Jr. (Sweden-Jr.),,Filip Gustavsson,55,2016
55,Kelowna (WHL),,Dillon Dube,56,2016
56,Modo (Sweden),,Carl Grundstrom,57,2016
57,Erie (OHL),,Taylor Raddysh,58,2016
58,Sherbrooke (QMJHL),,Evan Fitzpatrick,59,2016
59,Denver (NCHC),,Dylan Gambrell,60,2016
60,Blues Jr. (Finland-Jr.),,Kasper Bjorkqvist,61,2016
61,USA U-18 (USHL),,Joseph Woll,62,2016
62,Saginaw (OHL),,Markus Niemelainen,63,2016
63,USA U-18 (USHL),,William Lockwood,64,2016
64,Gatineau (QMJHL),,Vitaly Abramov,65,2016
65,USA U-18 (USHL),,Adam Fox,66,2016
66,Cedar Rapids (USHL),,Matt Filipe,67,2016
67,North Bay (OHL),,Cam Dineen,68,2016
68,London (OHL),,Cliff Pu,69,2016
69,Flint (OHL),,William Bitten,70,2016
70,Prince George (WHL),,Josh Anderson,71,2016
71,USA U-18 (USHL),,James Greenway,72,2016
72,USA U-18 (USHL),,Joseph Anderson,73,2016
73,Spokane (WHL),,Hudson Elynuik,74,2016
74,Janesville (NAHL),,Jack LaFontaine,75,2016
75,Muskegon (USHL),,Rem Pitlick,76,2016
76,Kitchener (OHL),,Connor Hall,77,2016
77,Chicoutimi (QMJHL),,Frederic Allard,78,2016
78,Saint John (QMJHL),,Luke Green,79,2016
79,Shawinigan (QMJHL),,Brandon Gignac,80,2016
80,Mississauga (OHL),,Sean Day,81,2016
81,Calgary (WHL),,Carsen Twarynski,82,2016
82,Ec Salzburg 2 (Austria-Jr.),,Wouter Peeters,83,2016
83,Georgetown (OJHL),,Matthew Cairns,84,2016
84,Red Deer (WHL),,Joshua Mahura,85,2016
85,Boston College (H-East),,Casey Fitzgerald,86,2016
86,Kamloops (WHL),,Garrett Pilon,87,2016
87,Kamloops (WHL),,Connor Ingram,88,2016
88,Lulea Jr. (Sweden-Jr.),,Linus Nassen,89,2016
89,AIK Jr. (Sweden-Jr.),,Fredrik Karlstrom,90,2016
90,Skelleftea Jr. (Sweden-Jr.),,Filip Berglund,91,2016
91,Regina (WHL),,Adam Brooks,92,2016
92,Sault Ste. Marie (OHL),,Jack Kopacka,93,2016
93,Peterborough (OHL),,Jonathan Ang,94,2016
94,Yekaterinburg (Russia),,Anatoli Golyshev,95,2016
95,Skelleftea Jr. (Sweden-Jr.),,Linus Lindstrom,96,2016
96,HV 71 Jr. (Sweden-Jr.),,Jacob Cederholm,97,2016
97,TPS Jr. (Finland-Jr.),,Tarmo Reunanen,98,2016
98,Carleton Place (CCHL),,Brett Murray,99,2016
99,London (OHL),,Victor Mete,100,2016
100,Saginaw (OHL),,Keaton Middleton,101,2016
101,Team Russia U18 (Russia-Jr.),,Mikhail Maltsev,102,2016
102,Fairbanks (NAHL),,Todd Burgess,103,2016
103,Chicago (USHL),,Max Zimmer,104,2016
104,Saginaw (OHL),,Evan Cormier,105,2016
105,Tri-City (USHL),,Brandon Duhaime,106,2016
106,Orebro Jr. (Sweden-Jr.),,Alfons Malmstrom,107,2016
107,Skelleftea U18 (Sweden-Jr.),,Hardy Haman Aktell,108,2016
108,Kitchener (OHL),,Connor Bunnaman,109,2016
109,Brynas (Sweden),,Lucas Carlsson,110,2016
110,Moose Jaw (WHL),,Noah Gregor,111,2016
111,HV 71 Jr. (Sweden-Jr.),,Jacob Moverare,112,2016
112,Saint John (QMJHL),,Nathan Noel,113,2016
113,Oshawa (OHL),,Riley Stillman,114,2016
114,Gatineau (QMJHL),,Alex Dostie,115,2016
115,North Dakota (NCHC),,Rhett Gardner,116,2016
116,Geneve (Swiss),,Damien Riat,117,2016
117,Cedar Rapids (USHL),,Ross Colton,118,2016
118,Brandon (WHL),,Tanner Kaspick,119,2016
119,Ilves Jr. (Finland-Jr.),,Otto Koivula,120,2016
120,Lincoln (USHL),,Ryan Jones,121,2016
121,Victoria (WHL),,Vladimir Bobylev,122,2016
122,Peterborough (OHL),,Dylan Wells,123,2016
123,Hill-Murray (High-MN),,Casey Staum,124,2016
124,Northeastern (H-East),,Nolan Stevens,125,2016
125,Grand Rapids (High-MN),,Mitchell Mattson,126,2016
126,Calgary (WHL),,Jordan Stallard,127,2016
127,Carleton Place (CCHL),,Colton Point,128,2016
128,Linkoping Jr. (Sweden-Jr.),,Philip Nyberg,129,2016
129,Prince Albert (WHL),,Vojtech Budik,130,2016
130,Farjestad Jr. (Sweden-Jr.),,Adam Werner,131,2016
131,SKA St. Petersburg 2 (Russia-Jr.),,Yegor Rykov,132,2016
132,Swift Current (WHL),,Maxime Lajoie,133,2016
133,Kingston (OHL),,Jeremy Helvig,134,2016
134,Ilves Jr. (Finland-Jr.),,Joona Koppanen,135,2016
135,Lone Star (NAHL),,Cameron Clarke,136,2016
136,Erie (OHL),,Jordan Sambrook,137,2016
137,Avon Old Farms (HIGH-CT),,Patrick Harper,138,2016
138,Vaxjo Jr. (Sweden-Jr.),,Linus Hogberg,139,2016
139,Hamilton (OHL),,Cole Candella,140,2016
140,Sault Ste. Marie (OHL),,Timothy Gettinger,141,2016
141,St. Cloud State (NCHC),,Michael Eyssimont,142,2016
142,Rogle Jr. (Sweden-Jr.),,Mathias From,143,2016
143,Red Deer (WHL),,Conner Bleackley,144,2016
144,Calgary (WHL),,Beck Malenstyn,145,2016
145,Flint (OHL),,Nicholas Caamano,146,2016
146,Djurgarden Jr. (Sweden-Jr.),,Axel Jonsson-Fjallby,147,2016
147,Niagara (OHL),,Christopher Paquette,148,2016
148,USA U-18 (USHL),,Graham McPhee,149,2016
149,Moncton (QMJHL),,Manuel Wiederer,150,2016
150,Jokerit Jr. (Finland-Jr.),,Niclas Almari,151,2016
151,Victoria (WHL),,Jonathan Walker,152,2016
152,Tappara Jr. (Finland-Jr.),,Aapeli Rasanen,153,2016
153,Calgary (WHL),,Jakob Stukel,154,2016
