,Amateur Team,GP,Name,Overall Pick,Year
0,Sault Ste. Marie (OHL),1493,Joe Thornton,1,1997
1,Seattle (WHL),1557,Patrick Marleau,2,1997
2,HIFK Helsinki (Finland),1231,Olli Jokinen,3,1997
3,Val d'Or (QMJHL),985,Roberto Luongo,4,1997
4,Prince George (WHL),1009,Eric Brewer,5,1997
5,Barrie (OHL),19,Daniel Tkaczuk,6,1997
6,Sudbury (OHL),734,Paul Mara,7,1997
7,Detroit (OHL),888,Sergei Samsonov,8,1997
8,Ottawa (OHL),605,Nick Boynton,9,1997
9,Spokane (WHL),250,Brad Ference,10,1997
10,Erie (OHL),336,Jason Ward,11,1997
11,Dukla Trencin (Slovakia),1309,Marian Hossa,12,1997
12,Belleville (OHL),938,Dan Cleary,13,1997
13,Biel-Bienne (Swiss),12,Michel Riesen,14,1997
14,Ottawa (OHL),14,Ty Jones,15,1997
15,Spokane (WHL),53,Robert Dome,16,1997
16,Las Vegas (IHL),156,Michael Holmqvist,17,1997
17,Djurgarden (Sweden),34,Mike Brown,18,1997
18,Brandon (WHL),71,Mika Noronen,19,1997
19,Red Deer (WHL),2,Nikos Tselios,20,1997
20,Tappara Tampere (Finland),1055,Scott Hannan,21,1997
21,Belleville (OHL),6,Jean-Francois Damphousse,22,1997
22,Kelowna (WHL),991,Brenden Morrow,23,1997
23,Moncton (QMJHL),438,Ben Clymer,24,1997
24,Portland (WHL),9,Brad DeFauw,25,1997
25,Kingston (OHL),27,Scott Barney,26,1997
26,Minnesota (WCHA),7,Jean-Marc Pelletier,27,1997
27,North Dakota (WCHA),4,Jeff Zehr,28,1997
28,Peterborough (OHL),3,Ryan Bonni,29,1997
29,Cornell (ECAC),71,Jean-Francois Fortin,30,1997
30,Windsor (OHL),146,Harold Druken,31,1997
31,Prince Albert (WHL),1,Stanislav Gron,32,1997
32,Red Deer (WHL),99,Jeremy Reich,33,1997
33,Saskatoon (WHL),43,John Tripp,34,1997
34,Sherbrooke (QMJHL),6,Maxim Balmochnykh,35,1997
35,Detroit (OHL),662,Kristian Huselius,36,1997
36,Laval (QMJHL),678,Henrik Tallinder,37,1997
37,Slovan Bratislava (KHL),99,Yuri Butsayev,38,1997
38,Seattle (WHL),14,Pat Kavanagh,39,1997
39,North Bay (OHL),139,Roman Lyashenko,40,1997
40,Erie (OHL),197,Rick Berry,41,1997
41,Oshawa (OHL),11,Jeff Farkas,42,1997
42,Kiekko-Espoo (Finland),76,Jani Hurme,43,1997
43,North Iowa (NAHL),16,Matt Elich,44,1997
44,Lada Togliatti (KHL),67,Lee Goren,45,1997
45,Kitchener (OHL),23,Kyle Freadrich,46,1997
46,Farjestad (Sweden),143,Josh Langfeld,47,1997
47,AIK Solna (Sweden),651,Maxim Afinogenov,48,1997
48,Lada Togliatti (KHL),12,Erik Andersson,49,1997
49,Peterborough (OHL),349,Josef Melichar,50,1997
50,Dynamo-2 Moscow (Russia),39,Burke Henry,51,1997
51,Torpedo Yaroslavl (KHL),15,Nick Smith,52,1997
52,Edmonton (WHL),12,Petr Sykora,53,1997
53,MoDo Ornskoldsvik (Sweden),33,Steve Gainey,54,1997
54,Seattle (WHL),385,Ville Nieminen,55,1997
55,Kitchener (OHL),22,Robert Schnabel,56,1997
56,Boston College (H-East),115,Francis Lessard,57,1997
57,TPS Turku (Finland),708,Joe Corvo,58,1997
58,Prince George (WHL),615,Adam Mair,59,1997
59,Spokane (WHL),3,Petr Mika,60,1997
60,Windsor (OHL),294,Brad Larsen,61,1997
61,Kelowna (WHL),174,Shane Willis,62,1997
62,North Dakota (WCHA),234,Ivan Novoseltsev,63,1997
63,Regina (WHL),7,Ryan Ready,64,1997
64,Karpat Oulu (Finland),79,Quintin Laing,65,1997
65,Lincoln (USHL),9,Jame Pollock,66,1997
66,New Hampshire (H-East),81,Ben Simon,67,1997
67,Las Vegas (IHL),3,Karel Betik,68,1997
68,Dynamo Moscow (Russia),434,Magnus Arvedson,69,1997
69,Denver (WCHA),1091,Jason Chimera,70,1997
70,Ceske Budejovice (Czech-2),590,Kyle Calder,71,1997
71,London (OHL),62,Jiri Bicek,72,1997
72,Brandon (WHL),38,Johan Lindbom,73,1997
73,Barrie (OHL),579,Mike York,74,1997
74,Windsor (OHL),7,Peter Sarno,75,1997
75,Pardubice (Czech),1046,Matt Cooke,76,1997
76,Kamloops (WHL),40,Andrei Skopintsev,77,1997
77,Tappara Tampere (Finland),1082,Brian Campbell,78,1997
78,Slavia Praha (Czech-2),1,B.J. Young,79,1997
79,Val d'Or (QMJHL),22,Sascha Goc,80,1997
80,Drummondville (QMJHL),214,David Aebischer,81,1997
81,Oshawa (OHL),545,Todd Fedoruk,82,1997
82,Western Michigan (CCHA),175,Ben Guite,83,1997
83,Owen Sound (OHL),99,Johan Holmqvist,84,1997
84,Slavia Praha (Czech-2),435,Ladislav Nagy,85,1997
85,Halifax (QMJHL),321,Mike Mottau,86,1997
