,Amateur Team,GP,Name,Overall Pick,Year
0,Sarnia (OHL),648,Steven Stamkos,1,2008
1,Guelph (OHL),750,Drew Doughty,2,2008
2,Peterborough (OHL),552,Zach Bogosian,3,2008
3,Niagara (OHL),598,Alex Pietrangelo,4,2008
4,Kelowna (WHL),695,Luke Schenn,5,2008
5,CSKA Moscow 2 (Russia-3),53,Nikita Filatov,6,2008
6,Boston University (H-East),550,Colin Wilson,7,2008
7,Kitchener (OHL),599,Mikkel Boedker,8,2008
8,Windsor (OHL),698,Josh Bailey,9,2008
9,Brampton (OHL),328,Cody Hodgson,10,2008
10,Everett (WHL),535,Kyle Beach,11,2008
11,Kelowna (WHL),24,Tyler Myers,12,2008
12,Regina (WHL),127,Colten Teubert,13,2008
13,Lethbridge (WHL),612,Zach Boychuk,14,2008
14,Vastra Frolunda Jr. ( ),295,Erik Karlsson,15,2008
15,Camrose (AJHL),471,Joe Colborne,16,2008
16,Minnetonka (High-MN),493,Jake Gardiner,17,2008
17,Tri-City (WHL),546,Chet Pickard,18,2008
18,Lethbridge (WHL),570,Luca Sbisa,19,2008
19,Oshawa (OHL),1,Michael Del Zotto,20,2008
20,Vastra Frolunda Jr. ( ),120,Anton Gustafsson,21,2008
21,Regina (WHL),15,Jordan Eberle,22,2008
22,Ottawa (OHL),478,Tyler Cuma,23,2008
23,HV 71 Jonkoping ( ),588,Mattias Tedenby,24,2008
24,Windsor (OHL),111,Greg Nemisz,25,2008
25,Medicine Hat (WHL),3,Tyler Ennis,26,2008
26,Indiana (USHL),154,John Carlson,27,2008
27,Cherepovets (Russia),190,Viktor Tikhonov,28,2008
28,St. Catharines (GOJHL),15,Daultan Leveille,29,2008
29,Guelph (OHL),203,Thomas McCollum,30,2008
30,Brynas Gavle (Sweden),3,Jacob Markstrom,31,2008
31,Chelyabinsk ( ),129,Slava Voynov,32,2008
32,London (OHL),464,Philip McRae,33,2008
33,St. John's (QMJHL),41,Jake Allen,34,2008
34,Chicoutimi (QMJHL),47,Nicolas Deschamps,35,2008
35,Stouffville (OPJHL),8,Corey Trivino,36,2008
36,Wisconsin (WCHA),268,Cody Goloubef,37,2008
37,Bern (Swiss),388,Roman Josi,38,2008
38,Sudbury (OHL),90,Eric O'Dell,39,2008
39,Roseau (High-MN),140,Aaron Ness,40,2008
40,Saint John (QMJHL),47,Yann Sauve,41,2008
41,Omaha (USHL),1,Patrick Wiercioch,42,2008
42,Westside (BCHL),2,Justin Schultz,43,2008
43,St. John's (QMJHL),32,Luke Adam,44,2008
44,Penticton (BCHL),577,Zac Dalpe,45,2008
45,Brandon (WHL),503,Colby Robak,46,2008
46,Val d'Or (QMJHL),52,Max Sauve,47,2008
47,Spokane (WHL),436,Mitch Wahl,48,2008
48,Sudbury (OHL),333,Jared Staal,49,2008
49,Mississauga St. Michael's (OHL),262,Cameron Gaunce,50,2008
50,Shattuck-St. Mary's (High-MN),45,Derek Stepan,51,2008
51,St. Michael's (OPJHL),1,Brandon Burlon,52,2008
52,Moose Jaw (WHL),406,Travis Hamonic,53,2008
53,Rimouski (QMJHL),42,Patrice Cormier,54,2008
54,Val d'Or (QMJHL),34,Marco Scandella,55,2008
55,USA U-18 (USNTDP),101,Danny Kristo,56,2008
56,Tri-City (WHL),357,Eric Mestery,57,2008
57,CSKA Moscow 2 (Russia-3),521,Dmitry Kugryshev,58,2008
58,Owen Sound (OHL),494,Tyler Beskorowany,59,2008
59,Lincoln (USHL),171,Jimmy Hayes,60,2008
60,Lewiston (QMJHL),30,Peter Delmas,61,2008
61,Kent School (High-CT),352,Justin Daniels,62,2008
62,U.S. National U-18 (USNTDP),43,Robert Czarnik,63,2008
63,Lewiston (QMJHL),67,Danick Paquette,64,2008
64,Tappara Tampere (Finland),1,Jori Lehtera,65,2008
65,Shattuck-St. Mary's (High-MN),49,David Toews,66,2008
66,Rouyn-Noranda (QMJHL),1,Marc-Andre Bourdon,67,2008
67,Belleville (OHL),79,Shawn Lalonde,68,2008
68,Calgary (WHL),9,Michael Stone,69,2008
69,Sault Ste. Marie (OHL),1,James Livingston,70,2008
70,Kingston (OHL),436,Josh Brittain,71,2008
71,Saskatoon (WHL),481,Jyri Niemi,72,2008
72,Ak Bars Kazan (Russia),146,Kirill Petrov,73,2008
73,Sault Ste. Marie (OHL),135,Andrew Campbell,74,2008
74,Lokomotiv Yaroslavl 2 (Russia-3),399,Evgeny Grachev,75,2008
75,Cape Breton (QMJHL),34,Mathieu Brodeur,76,2008
76,Barrie (OHL),155,Michael Hutchinson,77,2008
77,Vancouver (WCHL),50,Lance Bouma,78,2008
78,Swift Current (WHL),397,Zack Smith,79,2008
79,Saginaw (OHL),147,Adam Comrie,80,2008
80,Eastview High (High-MN),2,Corey Fienhage,81,2008
81,Windsor (OHL),12,Adam Henrique,82,2008
82,Baie-Comeau (QMJHL),7,Marco Cousineau,83,2008
83,Seattle (WHL),248,Jacob Deserres,84,2008
84,Kelowna (WHL),74,Brandon McMillan,85,2008
85,Sioux City (USHL),567,Steve Quailer,86,2008
86,Calgary (WHL),151,Ian Schultz,87,2008
87,Swift Current (WHL),1,Geordie Wudrick,88,2008
88,Russell Stover (MWEHL),237,Scott Winkler,89,2008
89,Trinec (Czech),501,Tomas Kundratek,90,2008
90,Chicago (USHL),428,Max Nicastro,91,2008
91,Quebec (QMJHL),76,Samuel Groulx,92,2008
92,Saskatoon (WHL),52,Braden Holtby,93,2008
93,U.S. National U-18 (USNTDP),2,Vinny Saponari,94,2008
94,U.S. National U-18 (USNTDP),237,David Warsofsky,95,2008
95,Cedar Rapids (USHL),39,Matt Donovan,96,2008
96,Sarnia (OHL),8,Jamie Arniel,97,2008
97,Quebec (QMJHL),430,Mikhail Stefanovich,98,2008
98,Kelowna (WHL),319,Colin Long,99,2008
99,Plymouth (OHL),133,A.J. Jenks,100,2008
100,Cloquet (High-MN),563,Justin Jokinen,101,2008
101,HV 71 Jonkoping Jr. (Sweden-Jr.),21,David Ullstrom,102,2008
102,Bofors (Sweden-2),12,Johan Motin,103,2008
103,PEI (QMJHL),249,Jordon Southorn,104,2008
104,Plymouth (OHL),1,Michal Jordan,105,2008
105,Tappara Tampere Jr. (Finland-Jr.),7,Harri Sateri,106,2008
106,Gatineau (QMJHL),130,Steven Delisle,107,2008
107,Waterloo (USHL),,Nicholas Larson,108,2008
108,HV 71 Jonkoping Jr. (Sweden-Jr.),,Andre Petersson,109,2008
109,Quebec (QMJHL),,Kelsey Tessier,110,2008
110,Swift Current (WHL),,Dale Weise,111,2008
111,Regina (WHL),,Matt Delahey,112,2008
112,U.S. National U-18 (USNTDP),,Ryan Hegarty,113,2008
113,Saginaw (OHL),,T.J. Brodie,114,2008
114,U.S. National U-18 (USNTDP),,Sean Lorenz,115,2008
115,Peterborough (OHL),,Jason Missiaen,116,2008
116,Vancouver (WCHL),,James Wright,117,2008
117,Brainerd (High-MN),,Drew Olson,118,2008
118,Langley (BCHL),,Derek Grant,119,2008
119,Kingston (OHL),,Nathan Moon,120,2008
120,Malmo Jr. ( ),,Gustav Nyquist,121,2008
121,Spokane (WHL),,Dustin Tokarski,122,2008
122,Lokomotiv Yaroslavl 2 (Russia-3),,Andrei Loktionov,123,2008
