,Amateur Team,GP,Name,Overall Pick,Year
0,Halifax (QMJHL),353,Nathan MacKinnon,1,2013
1,Tappara (Finland),310,Aleksander Barkov,2,2013
2,Halifax (QMJHL),220,Jonathan Drouin,3,2013
3,Portland (WHL),377,Seth Jones,4,2013
4,Brynas (Sweden),354,Elias Lindholm,5,2013
5,Ottawa (OHL),381,Sean Monahan,6,2013
6,Sault Ste. Marie (OHL),177,Darnell Nurse,7,2013
7,TPS (Finland),327,Rasmus Ristolainen,8,2013
8,London (OHL),275,Bo Horvat,9,2013
9,Chelyabinsk (KHL),166,Valeri Nichushkin,10,2013
10,Rimouski (QMJHL),3,Samuel Morin,11,2013
11,London (OHL),202,Max Domi,12,2013
12,Prince Albert (WHL),145,Josh Morrissey,13,2013
13,Djurgarden (Sweden-2),265,Alexander Wennberg,14,2013
14,Brandon (WHL),65,Ryan Pulock,15,2013
15,London (OHL),201,Nikita Zadorov,16,2013
16,Edmonton (WHL),228,Curtis Lazar,17,2013
17,Everett (WHL),74,Mirco Mueller,18,2013
18,Windsor (OHL),37,Kerby Rychel,19,2013
19,Val-D'Or (QMJHL),130,Anthony Mantha,20,2013
20,Rimouski (QMJHL),37,Frederik Gauthier,21,2013
21,Gatineau (QMJHL),8,Emile Poirier,22,2013
22,Malmo (Sweden-2),232,Andre Burakovsky,23,2013
23,Medicine Hat (WHL),15,Hunter Shinkaruk,24,2013
24,USA U-18 (USHL),59,Michael McCarron,25,2013
25,Seattle (WHL),95,Shea Theodore,26,2013
26,Bratislava (KHL),127,Marko Dano,27,2013
27,Regina (WHL),1,Morgan Klimchuk,28,2013
28,Guelph (OHL),24,Jason Dickinson,29,2013
29,Plymouth (OHL),141,Ryan Hartman,30,2013
30,Waterloo (USHL),37,Ian McCoshen,31,2013
31,Owen Sound (OHL),46,Chris Bigras,32,2013
32,Quebec (QMJHL),35,Adam Erne,33,2013
33,Leksand (Sweden-2),98,Jacob de La Rose,34,2013
34,USA U-18 (USHL),69,J.T. Compher,35,2013
35,Halifax (QMJHL),2,Zachary Fucale,36,2013
36,Baie-Comeau (QMJHL),32,Valentin Zykov,37,2013
37,Edina High (High-MN),72,Connor Hurley,38,2013
38,Chicoutimi (QMJHL),63,Laurent Dauphin,39,2013
39,London (OHL),75,Remi Elie,40,2013
40,Modo Jr. (Sweden-Jr.),95,Robert Hagg,41,2013
41,USA U-18 (USHL),21,Steven Santini,42,2013
42,Portland (WHL),5,Nic Petan,43,2013
43,Edmonton (WHL),50,Tristan Jarry,44,2013
44,Quebec (QMJHL),5,Nick Sorensen,45,2013
45,Green Bay (USHL),7,Gustav Olofsson,46,2013
46,Minnetonka (High-MN),47,Thomas Vannelli,47,2013
47,Owen Sound (OHL),51,Zach Nastasiuk,48,2013
48,Baie-Comeau (QMJHL),118,Gabryel Boudreau,49,2013
49,Swift Current (WHL),75,Dillon Heatherington,50,2013
50,Linkoping Jr. (Sweden-Jr.),35,Carl Dahlstrom,51,2013
51,Kitchener (OHL),2,Justin Bailey,52,2013
52,Kelowna (WHL),39,Madison Bowey,53,2013
53,Rimouski (QMJHL),3,Philippe Desrosiers,54,2013
54,Kalpa (Finland),205,Artturi Lehkonen,55,2013
55,Blainville-Boisbriand (QMJHL),28,Marc-Olivier Roy,56,2013
56,Cape Breton (QMJHL),9,William Carrier,57,2013
57,Guelph (OHL),51,Tyler Bertuzzi,58,2013
58,Tri-City (WHL),96,Eric Comrie,59,2013
59,Djurgarden (Sweden-2),103,Linus Arnesson,60,2013
60,Islanders (EJHL),135,Zachary Sanford,61,2013
61,PEI (QMJHL),207,Pavel Laplante,62,2013
62,Mississauga (OHL),16,Spencer Martin,63,2013
63,Victoriaville (QMJHL),1,Jonathan Diaby,64,2013
64,Surrey (BCHL),139,Adam Tambellini,65,2013
65,New Hampshire (H-East),84,Brett Pesce,66,2013
66,Victoria (WHL),100,Keegan Kanzig,67,2013
67,Rogle Jr. (Sweden-Jr.),17,Niklas Hansson,68,2013
68,Sudbury (OHL),9,Nicholas Baptiste,69,2013
69,Waterloo (USHL),39,Eamon McAdam,70,2013
70,Erie (OHL),120,Connor Crisp,71,2013
71,Kelowna (WHL),36,Tyrell Goulbourne,72,2013
72,Kingston (OHL),6,Ryan Kujawinski,73,2013
73,USA U-18 (USHL),2,John Hayden,74,2013
74,Cherepovets 2 (Russia-Jr.),204,Pavel Buchnevich,75,2013
75,Waterloo (USHL),35,Taylor Cammarata,76,2013
76,Sioux City (USHL),22,Jake Guentzel,77,2013
77,Linkoping Jr. (Sweden-Jr.),64,Marcus Hogberg,78,2013
78,AIK (Sweden),61,Mattias Janmark,79,2013
79,Quebec (QMJHL),3,Anthony Duclair,80,2013
80,Owen Sound (OHL),15,Kurtis Gabriel,81,2013
81,Niagara (OHL),40,Carter Verhaeghe,82,2013
82,Nizhnekamsk 2 (Russia-Jr.),1,Bogdan Yakimov,83,2013
83,Saginaw (OHL),84,Jimmy Lodge,84,2013
84,Oshawa (OHL),2,Cole Cassels,85,2013
85,Rouyn-Noranda (QMJHL),2,Sven Andrighetto,86,2013
86,USA U-18 (USHL),19,Keaton Thompson,87,2013
87,Ufa (Russia),24,Anton Slepyshev,88,2013
88,Portland (WHL),9,Oliver Bjorkstrand,89,2013
89,Lulea Jr. (Sweden-Jr.),40,Peter Cehlarik,90,2013
90,Kamloops (WHL),,J.C. Lipon,91,2013
91,Wichita Falls (NAHL),,Evan Cowley,92,2013
92,Vancouver (WCHL),,Mason Geertsen,93,2013
93,Vancouver (WCHL),,Jackson Houck,94,2013
94,Baie-Comeau (QMJHL),,Felix Girard,95,2013
95,London (OHL),,Kyle Platzer,96,2013
96,Dubuque (USHL),,Michael Downing,97,2013
97,St. Michaels (OJHL),,Matt Buckles,98,2013
98,HPK Jr. (Finland-Jr.),,Juuse Saros,99,2013
99,Nobles (High-MA),,Miles Wood,100,2013
100,Brampton (OHL),,Nicholas Paul,101,2013
101,Djurgarden Jr. (Sweden-Jr.),,Tobias Lindberg,102,2013
102,Guelph (OHL),,Justin Auger,103,2013
103,Michigan (CCHA),,Andrew Copp,104,2013
104,Saginaw (OHL),,Nick Moutrey,105,2013
105,Minnesota State (WCHA),,Stephon Williams,106,2013
106,Shawinigan (QMJHL),,Dylan Labbe,107,2013
107,Guelph (OHL),,Ben Harpur,108,2013
108,West Kelowna (BCHL),,David Pope,109,2013
109,PEI (QMJHL),,Ryan Graves,110,2013
110,Djurgarden Jr. (Sweden-Jr.),,Robin Norell,111,2013
111,Prince George (WHL),,Zach Pochiro,112,2013
112,Victory Honda Midget (MWEHL),,Aidan Muir,113,2013
113,Rimouski (QMJHL),,Jan Kostalek,114,2013
114,Belleville (OHL),,Jordan Subban,115,2013
115,Gatineau (QMJHL),,Martin Reway,116,2013
116,Frolunda Jr. (Sweden-Jr.),,Fredrik Bergvik,117,2013
117,USA U-18 (USHL),,Hudson Fasching,118,2013
118,Salisbury (HIGH-CT),,Ryan Segalla,119,2013
119,Valley (EJHL),,Ryan Fitzgerald,120,2013
120,USA U-18 (USHL),,Tyler Motte,121,2013
121,Blainville-Boisbriand (QMJHL),,Christopher Clapperton,122,2013
122,USA U-18 (USHL),,Will Butcher,123,2013
123,Riga 2 (Russia-Jr.),,Kristers Gudlevskis,124,2013
124,Karpat Jr. (Finland-Jr.),,Saku Maenalanen,125,2013
125,Kitchener (OHL),,Brent Pedersen,126,2013
126,Omaha (USHL),,Tucker Poolman,127,2013
127,Langley (BCHL),,Evan Campbell,128,2013
128,Waterloo (USHL),,Calvin Petersen,129,2013
129,Modo Jr. (Sweden-Jr.),,Gustav Possler,130,2013
130,Kamloops (WHL),,Cole Ully,131,2013
131,Holderness (High-NH),,Terrance Amorosa,132,2013
132,USA U-18 (USHL),,Connor Clifton,133,2013
133,Lincoln (USHL),,Luke Johnson,134,2013
134,Brandon (WHL),,Eric Roy,135,2013
135,Linkoping Jr. (Sweden-Jr.),,Victor CrusRydberg,136,2013
136,Spruce Grove (AJHL),,Carson Soucy,137,2013
137,Val-D'Or (QMJHL),,Vincent Dunn,138,2013
138,Kelowna (WHL),,Mitchell Wheaton,139,2013
139,Burnsville (High-MN),,Teemu Kivihalme,140,2013
140,Muskegon (USHL),,Michael Brodzinski,141,2013
141,Zug Jr. (Swiss-Jr.),,Fabrice Herzog,142,2013
142,Selects U18 - South Kent (HIGH-CT),,Anthony Florentino,143,2013
143,Sioux City (USHL),,Blake Heinrich,144,2013
144,Rogle Jr. (Sweden-Jr.),,Anton Cederholm,145,2013
145,Red Deer (WHL),,Patrik Bartosak,146,2013
146,Benilde-St.Margaret's (High-MN),,Grant Besse,147,2013
147,St. Cloud State (WCHA),,Jonny Brodzinski,148,2013
148,Farjestad Jr. (Sweden-Jr.),,Matej Paulovic,149,2013
149,Hotchkiss School (HIGH-CT),,Wiley Sherman,150,2013
150,USA U-18 (USHL),,Gage Ausmus,151,2013
151,Oshawa (OHL),,Joshua Brown,152,2013
152,Muskegon (USHL),,Ben Storm,153,2013
153,Kingston (OHL),,Henri Ikonen,154,2013
154,Timra Jr. (Sweden-Jr.),,Emil Pettersson,155,2013
155,Sault Ste. Marie (OHL),,Tyler Ganly,156,2013
156,Dexter Prep (High-MA),,Tim Harrison,157,2013
157,Everett (WHL),,Ben Betker,158,2013
158,USA U-18 (USHL),,Sean Malone,159,2013
159,Kelowna (WHL),,Myles Bell,160,2013
160,South Shore (EJHL),,Chris Leblanc,161,2013
161,Proctor Academy (High-NH),,Merrick Madsen,162,2013
162,Portland (WHL),,Brendan Burke,163,2013
163,Merritt (BCHL),,Dane Birks,164,2013
164,Frolunda Jr. (Sweden-Jr.),,Markus Soberg,165,2013
165,Belleville (OHL),,Alan Quine,166,2013
166,Grand Rapids (High-MN),,Avery Peterson,167,2013
167,Denver (WCHA),,Quentin Shore,168,2013
168,Prince George (WHL),,Marc McNulty,169,2013
169,Kootenay (WHL),,Mackenzie Skapski,170,2013
170,Victoriaville (QMJHL),,Tommy Veilleux,171,2013
171,PEI (QMJHL),,Antoine Bibeau,172,2013
172,Jokerit Jr. (Finland-Jr.),,Santeri Saari,173,2013
173,St. John'S Prep (High-MA),,Brian Pinho,174,2013
174,Spruce Grove (AJHL),,Mike Williamson,175,2013
175,Baie-Comeau (QMJHL),,Jeremy Gregoire,176,2013
176,Blues (Finland),,Miro Aaltonen,177,2013
177,Guelph (OHL),,Zachary Leslie,178,2013
178,Smiths Falls (CCHL),,Blaine Byron,179,2013
179,Frolunda Jr. (Sweden-Jr.),,Anton Blidh,180,2013
180,USA U-18 (USHL),,Anthony Louis,181,2013
181,Ilves Jr. (Finland-Jr.),,Aleksi Makela,182,2013
182,Farjestad Jr. (Sweden-Jr.),,Wilhelm Westlund,183,2013
183,K-Vantaa (Finland-2),,Saku Salminen,184,2013
184,Penticton (BCHL),,Wade Murphy,185,2013
185,Bern (Swiss),,Joel Vermin,186,2013
186,Yaroslavl 2 (Russia-Jr.),,Rushan Rafikov,187,2013
187,Calgary (WHL),,Gregory Chase,188,2013
188,Saginaw (OHL),,Eric Locke,189,2013
189,Spokane (WHL),,Brenden Kichton,190,2013
190,Sudbury (OHL),,Dominik Kubalik,191,2013
191,Des Moines (USHL),,David Drake,192,2013
192,Penticton (BCHL),,Jedd Soleway,193,2013
193,AIK U18 (Sweden-Jr.),,Marcus Karlstrom,194,2013
194,Dubuque (USHL),,Peter Quenneville,195,2013
195,Regina (WHL),,Kyle Burroughs,196,2013
196,Victoria (WHL),,Nolan De Jong,197,2013
197,Providence (H-East),,John Gilmour,198,2013
198,Tingsryd (Sweden-Jr.),,Hampus Melen,199,2013
199,Rouyn-Noranda (QMJHL),,Alexandre Belanger,200,2013
200,Tartan (High-MN),,Jacob Jackson,201,2013
201,Frolunda Jr. (Sweden-Jr.),,Andreas Johnson,202,2013
202,Pelicans Jr. (Finland-Jr.),,Janne Juvonen,203,2013
203,Medicine Hat (WHL),,Tyler Lewington,204,2013
204,London (OHL),,Miles Liberati,205,2013
205,Halifax (QMJHL),,MacKenzie Weegar,206,2013
206,Yaroslavl (Russia),,Emil Galimov,207,2013
207,Shattuck-St.Marys Prep (High-MN),,Anthony Brodeur,208,2013
208,St. Michaels (OJHL),,Troy Josephs,209,2013
209,Sault Ste. Marie (OHL),,Mitchell Dempsey,210,2013
210,Sodertalje (Sweden-2),,Robin Press,211,2013
