,Amateur Team,GP,Name,Overall Pick,Year
0,Boston University (H-East),318,Rick DiPietro,1,2000
1,Wisconsin (WCHA),869,Dany Heatley,2,2000
2,Dukla Trencin (Slovakia),1025,Marian Gaborik,3,2000
3,Brampton (OHL),659,Rostislav Klesla,4,2000
4,Brampton (OHL),635,Raffi Torres,5,2000
5,Prince Albert (WHL),1234,Scott Hartnell,6,2000
6,Leksand (Sweden),8,Lars Jonsson,7,2000
7,Erie (OHL),159,Nikita Alexeev,8,2000
8,Calgary (WHL),1,Brent Krahn,9,2000
9,Lada Togliatti (KHL),53,Mikhail Yakubov,10,2000
10,Torpedo Yaroslavl 2 (Russia-2),57,Pavel Vorobiev,11,2000
11,Tver (Russia-2),52,Alexei Smirnov,12,2000
12,U. Mass-Lowell (H-East),969,Ron Hainsey,13,2000
13,Ceske Budejovice (Czech-2),99,Vaclav Nedorost,14,2000
14,Torpedo Yaroslavl 2 (Russia-2),237,Marcel Hossa,15,2000
15,Portland (WHL),2,Alexei Mikhnov,16,2000
16,Torpedo Yaroslavl 2 (Russia-2),963,Brooks Orpik,17,2000
17,Boston College (H-East),149,Krys Kolanos,18,2000
18,Boston College (H-East),579,Alex Frolov,19,2000
19,Lokomotiv Yaroslavl 2 (Russia-3),696,Anton Volchenkov,20,2000
20,HK Moscow (KHL),327,David Hale,21,2000
21,Sioux City (USHL),26,Nathan Smith,22,2000
22,Swift Current (WHL),822,Brad Boyes,23,2000
23,Erie (OHL),848,Steve Ott,24,2000
24,Windsor (OHL),460,Brian Sutherby,25,2000
25,Moose Jaw (WHL),14,Martin Samuelsson,26,2000
26,MoDo Ornskoldsvik (Sweden),1142,Justin Williams,27,2000
27,Plymouth (OHL),854,Niklas Kronwall,28,2000
28,Djurgarden (Sweden),180,Jeff Taffe,29,2000
29,Minnesota (WCHA),17,Tomas Kurka,30,2000
30,Tver (Russia-2),1069,Nick Schultz,31,2000
31,Plymouth (OHL),390,Brad Winchester,32,2000
32,Prince Albert (WHL),307,Andy Hilbert,33,2000
33,Ak Bars Kazan (Russia),578,Tomas Kopecky,34,2000
34,Wisconsin (WCHA),405,Kurtis Foster,35,2000
35,Leksand (Sweden),422,Matt Pettinger,36,2000
