,Amateur Team,GP,Name,Overall Pick,Year
0,Detroit (OHL),619,Bryan Berard,1,1995
1,Brandon (WHL),1023,Wade Redden,2,1995
2,"Kiekko-67 Turku, FIN (Finland-Jr.)",606,Aki Berg,3,1995
3,Kingston (OHL),714,Chad Kilger,4,1995
4,Tri-City (WHL),1090,Daymond Langkow,5,1995
5,Prince Albert (WHL),149,Steve Kelly,6,1995
6,Kamloops (WHL),1540,Shane Doan,7,1995
7,Tri-City (WHL),8,Terry Ryan,8,1995
8,Tacoma (WHL),719,Kyle McLaren,9,1995
9,Ceske Budejovice (Czech-2),1260,Radek Dvorak,10,1995
10,Kamloops (WHL),1554,Jarome Iginla,11,1995
11,Kiekko-Espoo (Finland),597,Jean-Sebastien Giguere,12,1995
12,Halifax (QMJHL),802,Jay McKee,13,1995
13,Niagara Falls (OHL),21,Jeff Ware,14,1995
14,Oshawa (OHL),508,Martin Biron,15,1995
15,Beauport (QMJHL),2,Brad Church,16,1995
16,Prince Albert (WHL),1017,Petr Sykora,17,1995
17,Detroit (OHL),55,Dmitri Nabokov,18,1995
18,Krylja Sovetov (Russia),554,Denis Gauthier,19,1995
19,Drummondville (QMJHL),436,Sean Brown,20,1995
20,Belleville (OHL),328,Brian Boucher,21,1995
21,Tri-City (WHL),2,Miika Elomo,22,1995
22,"Kiekko-67 Turku, FIN (Finland-Jr.)",451,Aleksey Morozov,23,1995
23,Krylja Sovetov (Russia),349,Marc Denis,24,1995
24,Chicoutimi (QMJHL),136,Maxim Kuznetsov,25,1995
25,Dynamo Moscow (Russia),30,Marc Moro,26,1995
26,Kingston (OHL),436,Jan Hlavac,27,1995
27,Sparta Praha (Czech),1,Brian Wesenberg,28,1995
28,Guelph (OHL),64,Mike McBain,29,1995
29,Red Deer (WHL),695,Georges Laraque,30,1995
30,St. Jean (QMJHL),320,Marc Chouinard,31,1995
31,Beauport (QMJHL),41,Don MacLean,32,1995
32,Beauport (QMJHL),158,Jason Doig,33,1995
33,Laval (QMJHL),105,Patrick Cote,34,1995
34,Dynamo Moscow (Russia),33,Christian Dube,35,1995
35,Swift Current (WHL),301,Chris McAllister,36,1995
36,Beauport (QMJHL),45,D.J. Smith,37,1995
37,White Bear (High-MN),79,Dwayne Hay,38,1995
38,Sherbrooke (QMJHL),89,Nathan Perrott,39,1995
39,Saskatoon (WHL),324,Christian Laflamme,40,1995
40,Windsor (OHL),3,Paxton Schafer,41,1995
41,Brandon (WHL),833,Jochen Hecht,42,1995
42,Guelph (OHL),36,Pavel Rosa,43,1995
43,Oshawa (OHL),4,Philippe Audet,44,1995
44,Beauport (QMJHL),294,Brad Larsen,45,1995
45,Moscow (KHL),341,Mike Leclerc,46,1995
46,Medicine Hat (WHL),174,Shane Willis,47,1995
47,Owen Sound (OHL),35,Darryl Laplante,48,1995
48,Mannheim (Germany),331,Vladimir Tsyplakov,49,1995
49,Chemopetrol Litvinov (Russia),36,Miloslav Guren,50,1995
50,Detroit (OHL),33,Larry Courville,51,1995
51,Granby (QMJHL),157,Petr Buzek,52,1995
52,Swift Current (WHL),572,Peter Schaefer,53,1995
53,Kitchener (OHL),541,Brad Isbister,54,1995
54,Brandon (WHL),89,Sergey Gusev,55,1995
55,Prince Albert (WHL),30,Sergei Vyshedkevich,56,1995
56,Ceske Budejovice (Czech-2),25,Rocky Thompson,57,1995
57,Moose Jaw (WHL),218,Jean-Sebastien Aubin,58,1995
58,Fort Wayne (IHL),43,John Tripp,59,1995
59,ZPS Zlin (Czech),13,David Gosselin,60,1995
60,Oshawa (OHL),488,Alyn McCauley,61,1995
61,Lethbridge (WHL),2,Dave Duerden,62,1995
62,Dukla Jihlava (Czech-2),140,Tomi Kallio,63,1995
63,TPS Turku (Finland),1,Mike Minard,64,1995
64,Windsor (OHL),27,Justin Kurtz,65,1995
