,Amateur Team,GP,Name,Overall Pick,Year
0,Windsor (OHL),510,Taylor Hall,1,2010
1,Plymouth (OHL),570,Tyler Seguin,2,2010
2,Kingston (OHL),383,Erik Gudbranson,3,2010
3,Portland (WHL),491,Ryan Johansen,4,2010
4,Portland (WHL),432,Nino Niederreiter,5,2010
5,Prince George (WHL),329,Brett Connolly,6,2010
6,Kitchener (OHL),559,Jeff Skinner,7,2010
7,Barrie (OHL),348,Alexander Burmistrov,8,2010
8,HIFK Helsinki (Finland),378,Mikael Granlund,9,2010
9,Moose Jaw (WHL),43,Dylan McIlrath,10,2010
10,USA U-18 (USHL),2,Jack Campbell,11,2010
11,Windsor (OHL),546,Cam Fowler,12,2010
12,Moncton (QMJHL),58,Brandon Gormley,13,2010
13,Tri-City (USHL),361,Jaden Schwartz,14,2010
14,USA U-18 (USHL),156,Derek Forbort,15,2010
15,Novosibirsk (Russia),404,Vladimir Tarasenko,16,2010
16,Owen Sound (OHL),13,Joey Hishon,17,2010
17,Peterborough (OHL),199,Austin Watson,18,2010
18,Blaine (High-MN),339,Nick Bjugstad,19,2010
19,Penticton (BCHL),200,Beau Bennett,20,2010
20,Notre Dame (CCHA),346,Riley Sheahan,21,2010
21,USA U-18 (USHL),53,Jarred Tinordi,22,2010
22,Edmonton (WHL),266,Mark Pysyk,23,2010
23,Nobles (High-MA),291,Kevin Hayes,24,2010
24,Moose Jaw (WHL),97,Quinton Howden,25,2010
25,Chelyabinsk (Russia),323,Evgeny Kuznetsov,26,2010
26,Niagara (OHL),1,Mark Visentin,27,2010
27,South Shore (EJHL),399,Charlie Coyle,28,2010
28,Medicine Hat (WHL),173,Emerson Etem,29,2010
29,Warroad (High-MN),379,Brock Nelson,30,2010
30,Minnesota State (WCHA),118,Tyler Pitlick,31,2010
31,London (OHL),3,Jared Knight,32,2010
32,Sudbury (OHL),209,John McFarland,33,2010
33,Ottawa (OHL),463,Dalton Smith,34,2010
34,Brynas Jr. (Sweden-Jr.),232,Ludvig Rensfeldt,35,2010
35,Red Deer (WHL),17,Alex Petrovic,36,2010
36,USA U-18 (USHL),27,Justin Faulk,37,2010
37,USA U-18 (USHL),155,Jon Merrill,38,2010
38,Kelowna (WHL),324,Brett Bulmer,39,2010
39,Oshawa (OHL),254,Christian Thomas,40,2010
40,AIK (Sweden-2),177,Patrik Nemeth,41,2010
41,Mississauga (OHL),355,Devante Smith-Pelly,42,2010
42,Portland (WHL),1,Brad Ross,43,2010
43,Brynas (Sweden),87,Sebastian Wannstrom,44,2010
44,Peterborough (OHL),63,Ryan Spooner,45,2010
45,Slovakia U20 (Slovakia),309,Martin Marincin,46,2010
46,Ottawa (OHL),9,Tyler Toffoli,47,2010
47,Saskatoon (WHL),2,Curtis Hamilton,48,2010
48,Seattle (WHL),3,Calvin Pickard,49,2010
49,Des Moines (USHL),239,Connor Brickley,50,2010
50,Brynas (Sweden),190,Calle Jarnkrok,51,2010
51,Brampton (OHL),1,Phil Lane,52,2010
52,Cretin-Derham (High-MN),310,Mark Alt,53,2010
53,Minnetonka (High-MN),134,Justin Holl,54,2010
54,Rimouski (QMJHL),91,Petr Straka,55,2010
55,Brynas Jr. (Sweden-Jr.),23,Johan Larsson,56,2010
56,Skelleftea (Sweden),319,Oscar Lindberg,57,2010
57,Everett (WHL),10,Kent Simpson,58,2010
58,USA U-18 (USHL),93,Jason Zucker,59,2010
59,USA U-18 (USHL),112,Stephen Johns,60,2010
60,Ottawa (OHL),164,Ryan Martindale,61,2010
61,Erie (OHL),24,Greg McKegg,62,2010
62,Sault Ste. Marie (OHL),26,Brock Beukeboom,63,2010
63,Kootenay (WHL),30,Max Reinhart,64,2010
64,Moncton (QMJHL),135,Kirill Kabanov,65,2010
65,Everett (WHL),268,Radko Gudas,66,2010
66,Harvard (ECAC),63,Danny Biega,67,2010
67,Rouyn-Noranda (QMJHL),192,Jerome Gauthier-Leduc,68,2010
