,Amateur Team,GP,Name,Overall Pick,Year
0,Dynamo Moscow (Russia),983,Alex Ovechkin,1,2004
1,Magnitogorsk (KHL),765,Evgeni Malkin,2,2004
2,Medicine Hat (WHL),310,Cam Barker,3,2004
3,Calgary (WHL),901,Andrew Ladd,4,2004
4,Breck (High-MN),759,Blake Wheeler,5,2004
5,Michigan (CCHA),166,Al Montoya,6,2004
6,Vitkovice (Czech),365,Rostislav Olesz,7,2004
7,Lewiston (QMJHL),67,Alexandre Picard,8,2004
8,Liberec (Czech),583,Ladislav Smid,9,2004
9,Kitchener (OHL),80,Boris Valabik,10,2004
10,Blues Espoo (Finland),5,Lauri Tukonen,11,2004
11,Michigan State (CCHA),775,A.J. Thelen,12,2004
12,North Dakota (WCHA),407,Drew Stafford,13,2004
13,Kamloops (WHL),292,Devan Dubnyk,14,2004
14,Tver (Russia-2),245,Alexander Radulov,15,2004
15,SaiPa (Finland),6,Petteri Nokelainen,16,2004
16,Sparta Praha (Czech),482,Marek Schwarz,17,2004
17,Prince Albert (WHL),609,Kyle Chipchura,18,2004
18,TPS Turku Jr. (Finland-Jr.),824,Lauri Korpikoski,19,2004
19,Salmon Arm (BCHL),451,Travis Zajac,20,2004
20,Brampton (OHL),16,Wojtek Wolski,21,2004
21,Chemopetrol Litvinov (Russia),645,Lukas Kaspar,22,2004
22,Dukla Trencin (Slovakia),2,Andrej Meszaros,23,2004
23,Salmon Arm (BCHL),114,Kris Chucko,24,2004
24,London (OHL),365,Rob Schremp,25,2004
25,Andover (High-MA),409,Cory Schneider,26,2004
26,Calgary (WHL),325,Jeff Schultz,27,2004
27,Vancouver (WCHL),777,Mark Fistric,28,2004
28,Saskatoon (WHL),433,Mike Green,29,2004
29,Calgary (WHL),51,Andy Rogers,30,2004
30,Djurgarden (Sweden),83,Johannes Salmonsson,31,2004
31,London (OHL),1,Dave Bolland,32,2004
32,Cushing Academy (High-MA),395,Chris Bourque,33,2004
33,Lulea (Sweden),9,Johan Fransson,34,2004
34,Tri-City (WHL),3,Logan Stephenson,35,2004
35,Northern Michigan (CCHA),699,Darin Olver,36,2004
36,Mississauga (OHL),14,David Shantz,37,2004
37,St. Michael's (OJHL),381,Justin Peters,38,2004
38,Sault Ste. Marie (OHL),135,Jordan Smith,39,2004
39,Dartmouth (ECAC),11,Grant Lewis,40,2004
40,Ottawa (OHL),526,Bryan Bickell,41,2004
41,Krylja Sovetov (Russia),67,Roman Voloshenko,42,2004
42,Portland (WHL),592,Michael Funk,43,2004
43,Kamloops (WHL),744,Roman Tesliuk,44,2004
44,Windsor (OHL),705,Ryan Garlock,45,2004
45,Boston College (H-East),747,Adam Pineault,46,2004
46,Kelowna (WHL),24,Blake Comeau,47,2004
47,Prince Albert (WHL),176,Dane Byers,48,2004
48,Malmo (Sweden),113,Carl Soderberg,49,2004
49,Saratov (Russia-2),2,Enver Lisin,50,2004
50,Moncton (QMJHL),16,Bruce Graham,51,2004
51,Nanaimo (BCHL),486,Raymond Sawada,52,2004
52,Michigan State (CCHA),667,David Booth,53,2004
53,Sparta Praha (Czech),207,Jakub Sindel,54,2004
54,Green Bay (USHL),1,Victor Oreskovich,55,2004
