,Amateur Team,GP,Name,Overall Pick,Year
0,Mount St. Charles (High-RI),483,Brian Lawton,1,1983
1,Hull (QMJHL),669,Sylvain Turgeon,2,1983
2,Verdun (QMJHL),865,Pat LaFontaine,3,1983
3,Peterborough (OHL),1514,Steve Yzerman,4,1983
4,Acton-Boxborough (High-MA),777,Tom Barrasso,5,1983
5,Oshawa (OHL),1194,John MacLean,6,1983
6,Victoria (WHL),1029,Russ Courtnall,7,1983
7,North Bay (OHL),608,Andrew McBain,8,1983
8,Portland (WHL),726,Cam Neely,9,1983
9,New Hampshire (H-East),319,Normand Lacombe,10,1983
10,Ottawa (OHL),708,Adam Creighton,11,1983
11,Brantford (OHL),946,Dave Gagner,12,1983
12,Belleville (OHL),805,Dan Quinn,13,1983
13,Laval (QMJHL),646,Bobby Dollas,14,1983
14,Peterborough (OHL),895,Bob Errey,15,1983
15,Lethbridge (WHL),932,Gerald Diduck,16,1983
16,Portland (WHL),112,Alfie Turcotte,17,1983
17,Ottawa (OHL),36,Bruce Cassidy,18,1983
18,Sault Ste. Marie (OHL),804,Jeff Beukeboom,19,1983
19,Lawrence Academy (High-MA),69,David Jensen,20,1983
20,Regina (WHL),309,Nevin Markwart,21,1983
21,Oshawa (OHL),93,Todd Charlesworth,22,1983
22,Ilves Tampere (Finland),290,Ville Siren,23,1983
23,Peterborough (OHL),9,Shawn Evans,24,1983
24,Saskatoon (WHL),283,Lane Lambert,25,1983
25,Trois-Rivieres (QMJHL),1215,Claude Lemieux,26,1983
26,Shawinigan (QMJHL),710,Sergio Momesso,27,1983
27,Brantford (OHL),263,Jeff Jackson,28,1983
28,St. Albert (AJHL),241,Brad Berry,29,1983
29,Kitchener (OHL),234,David Bruce,30,1983
30,Kitchener (OHL),656,John Tucker,31,1983
31,Chicoutimi (QMJHL),1,Yves Heroux,32,1983
32,Portland (WHL),13,Randy Heath,33,1983
33,Kamloops (WHL),5,Richard Hajdu,34,1983
34,Kitchener (OHL),797,Frantisek Musil,35,1983
35,Edmonton (WHL),684,Wayne Presley,36,1983
36,Swift Current (WHL),873,Peter Zezel,37,1983
37,Tesla Pardubice (Czech),187,Greg Johnston,38,1983
38,Kitchener (OHL),451,Peter Taglianetti,39,1983
39,Boston (High-MA),537,Derrick Smith,40,1983
40,Toronto (OHL),935,Bob Probert,41,1983
41,Toronto (OHL),35,Bruce Shoebottom,42,1983
42,Providence (ECAC),219,Allan Bester,43,1983
43,Peterborough (OHL),651,Brian Bradley,44,1983
44,Quebec (QMJHL),209,Bruce Bell,45,1983
45,Brantford (OHL),31,Gord Walker,46,1983
46,Peterborough (OHL),116,Iiro Jarvi,47,1983
47,Brantford (OHL),378,Perry Berezan,48,1983
48,Lukko Rauma (Finland),20,Mitch Messier,49,1983
49,Brantford (OHL),11,Mike Rowe,50,1983
50,London (OHL),1191,Marc Bergevin,51,1983
51,Windsor (OHL),141,Frank Pietrangelo,52,1983
52,Portland (WHL),423,Mikko Makela,53,1983
53,HIFK Helsinki (Finland),446,Bob Essensa,54,1983
54,St. Albert (AJHL),156,Kevan Guy,55,1983
55,Notre Dame Juveniles (SJHL),47,Peter Andersson,56,1983
56,Kenora (MJHL),429,Daren Puppa,57,1983
57,Toronto (OHL),182,Tim Bergland,58,1983
58,Chicoutimi (QMJHL),244,John Kordic,59,1983
59,Boston (High-MA),877,Esa Tikkanen,60,1983
60,Ludvika,114,Dan Hodgson,61,1983
61,Kitchener (OHL),406,Chris Terreri,62,1983
62,Minnesota (WCHA),786,Petr Klima,63,1983
63,Newmarket (OHL),5,Bob LaForest,64,1983
64,Ilves Tampere (Finland),820,Joe Kocur,65,1983
65,Regina (WHL),37,Igor Liba,66,1983
66,Shawinigan (QMJHL),1149,Garry Galley,67,1983
67,Winnipeg (WHL),428,Allen Pedersen,68,1983
